,plant_name,agent,basin,capacity,start_time,plant_id,phase,type,primary,auction,geometry
0,Bocaiúva,Cravari Geração de Energia S.A.,Rio Cravari,30.0,2010-06-24,PCH.PH.MT.029184-6,operation,small_hydro,,,POINT (-6443265.539084259 -1394861.3717823345)
1,Moinho,Cooperativa de Eletrificação e Desenvolvimento Econômico de Marechal Cândido Rondon ? CERCAR,Arroio Guaçu,3.7,2015-07-18,PCH.PH.PR.030836-6,operation,small_hydro,,,POINT (-6014415.327459958 -2718351.794151481)
2,Capão Preto,Chimay Empreendimentos e Participações Ltda,Rio Quilombo/Negro,4.3,1899-12-30,PCH.PH.SP.027107-1,operation,small_hydro,,,POINT (-5319370.942000155 -2436195.0384101616)
3,Lajes (Fontes Velha),Lajes Energia S.A.,Ribeirão das Lajes,17.0,2018-07-21,PCH.PH.RJ.001306-4,operation,small_hydro,,,POINT (-4884872.307945891 -2527313.5970576755)
4,Cotiporã,Cotiporã Energética S.A.,Rio Carreiro,19.5,2008-12-23,PCH.PH.RS.027877-7,operation,small_hydro,,,POINT (-5761644.649264762 -3224127.4601475513)
5,São José,AES Tietê S.A.,Rio Jaguari-mirim,4.0,2012-03-17,PCH.PH.SP.028823-3,operation,small_hydro,,,POINT (-5211522.193445291 -2442184.206016583)
6,Furquim,Maynart Energética Ltda.,Rio do Carmo,6.0,2003-11-05,PCH.PH.MG.028175-1,operation,small_hydro,,,POINT (-4810378.93409042 -2266743.300706292)
7,Rio São Marcos,Hidrelétrica Rio São Marcos Ltda.,Rio São Marcos,2.2,2004-12-31,PCH.PH.RS.029077-7,operation,small_hydro,,,POINT (-5687900.266895796 -3232352.149218982)
8,Derivação do Rio Jordão,Copel Geração e Transmissão S.A.,Rio Jordão,6.5,1997-12-02,PCH.PH.PR.002398-1,operation,small_hydro,,,POINT (-5798458.063201512 -2868236.0156272063)
9,Jui 117,PCH Juína S.A,Rio Juína,25.0,2019-12-17,PCH.PH.MT.034966-6,operation,small_hydro,,,POINT (-6611527.086641192 -1490080.9589497067)
10,Boa Fé,Boa Fé Energética S.A.,Rio Carreiro,24.0,2011-10-20,PCH.PH.RS.029063-7,operation,small_hydro,,,POINT (-5771236.053031695 -3200741.8744056905)
11,Rio Timbó,Companhia Bom Sucesso de Eletricidade,Rio Timbó,5.5,1959-08-15,PCH.PH.SC.028744-0,operation,small_hydro,,,POINT (-5653575.274941298 -2949326.4773924127)
12,Santa Gabriela,Santa Gabriela Energética S.A.,Rio Correntes,24.0,2009-09-18,PCH.PH.MT.028996-5,operation,small_hydro,,,POINT (-6059405.508317906 -1952293.2606216874)
13,Bonfante,Bonfante Energética S.a.,Rio Paraibuna,19.0,2008-08-02,PCH.PH.MG.000291-7,operation,small_hydro,,,POINT (-4816838.3081014985 -2450369.7013877435)
14,Varginha,SPE Varginha Energia S.A.,Rio José Pedro,9.0,2010-10-15,PCH.PH.MG.027729-0,operation,small_hydro,,,POINT (-4646846.610643438 -2231646.569572634)
15,Rio do Sapo,Rio do Sapo Energia S.A.,Ribeirão do Sapo,5.76,2016-02-27,PCH.PH.MT.030408-5,operation,small_hydro,,,POINT (-6428141.189827176 -1626520.104611281)
16,Queluz,Usina Paulista Queluz de Energia Ltda.,Rio Paraíba do Sul,30.0,2011-08-12,PCH.PH.SP.029115-3,operation,small_hydro,,,POINT (-4986665.290116543 -2509560.362550894)
17,Figueirópolis,Companhia Hidroelétrica Figueirópolis,Rio Jauru,19.41,2010-09-28,PCH.PH.MT.029145-5,operation,small_hydro,,,POINT (-6527526.044430317 -1713494.5515356474)
18,Faxinal II,Centrais Elétricas Salto dos Dardanelos S.A.,Rio Aripuanã,30.0,2005-11-22,PCH.PH.MT.028780-6,operation,small_hydro,,,POINT (-6618718.013272626 -1131531.9361356327)
19,São Luiz,Celulose Irani S.A.,Rio Irani,1.8,1899-12-30,PCH.PH.SC.026867-4,operation,small_hydro,,,POINT (-5783325.846439416 -2998947.081080231)
20,Areia,Areia Energia S.A.,Rio Palmeiras,11.4,2011-02-25,PCH.PH.TO.028446-7,operation,small_hydro,,,POINT (-5202706.837478412 -1302161.5961332752)
21,Braço Norte II,Eletricidade da Amazônia S/A,Rio Braço Norte,15.1,1899-12-30,PCH.PH.MT.002832-0,operation,small_hydro,,,POINT (-6121304.18830586 -1088550.0095419644)
22,Caju,Energisa Geração Rio Grande S.A.,Rio Grande,10.0,2011-03-17,PCH.PH.RJ.029726-7,operation,small_hydro,,,POINT (-4680842.679774037 -2437790.023962933)
23,Braço Norte III,Guarantã Energética Ltda.,Rio Braço Norte,14.16,2003-10-03,PCH.PH.MT.027176-4,operation,small_hydro,,,POINT (-6119617.564548273 -1072189.8302599154)
24,Salto Donner I,Cooperativa de Geração de Energia Elétrica Salto Donner,Rio Benedito,1.907,2007-05-10,PCH.PH.SC.028931-0,operation,small_hydro,,,POINT (-5505217.31637598 -2978625.1049069185)
25,Dourados,Chimay Empreendimentos e Participações Ltda,Rio Sapucaí Mirim,10.8,2002-07-27,PCH.PH.SP.027065-2,operation,small_hydro,,,POINT (-5304817.069956429 -2300625.3656539395)
26,Paranoá,CEB Geração S.A.,Rio Paranoá,30.0,1962-01-01,PCH.PH.DF.001975-5,operation,small_hydro,,,POINT (-5319285.909716553 -1758604.5977703782)
27,Pau Sangue,Mercantil Energia Ltda,Rio Serinhaém,1.224,1939-01-01,PCH.PH.PE.002008-7,operation,small_hydro,,,POINT (-3939672.571160573 -956775.6983478452)
28,Mata Cobra,"Libraga, Brandão e Cia. Ltda.",Rio da Várzea,2.88,1899-12-30,PCH.PH.RS.001433-8,operation,small_hydro,,,POINT (-5901597.564708284 -3128412.400724646)
29,Lambari,Mauê S.A. Geradora e Fornecedora de Insumos,Rio Pesqueiro,4.5,2020-03-03,PCH.PH.SC.035120-2,operation,small_hydro,,,POINT (-5889668.736501261 -2978604.4654940884)
30,Casca II,Apiacás Energia S.A.,Rio Casca,3.52,1899-12-30,PCH.PH.MT.027110-1,operation,small_hydro,,,POINT (-6171013.403755498 -1710368.3093914362)
31,Santa Maria,Cooperativa Geradora de Energia Elétrica e Desenvolvimento Santa Maria ? CEESAM,Rio Santa Maria,3.2,1999-01-01,PCH.PH.SC.030681-9,operation,small_hydro,,,POINT (-5501282.365293113 -2978190.8816370936)
32,Doido,São Sebastião Energia Ltda.,Rio Palmeiras,6.0,2015-10-10,PCH.PH.TO.031244-4,operation,small_hydro,,,POINT (-5204316.051220573 -1303649.8757202297)
33,Novo Horizonte,Companhia Energética Novo Horizonte,Rio Capivari,23.0,2011-06-04,PCH.PH.PR.028782-2,operation,small_hydro,,,POINT (-5412659.938393151 -2783049.748229999)
34,Pai Joaquim,Cemig PCH S.A.,Rio Araguari,23.0,2004-03-31,PCH.PH.MG.001934-8,operation,small_hydro,,,POINT (-5292322.298133637 -2169179.0744826407)
35,Pulo,Hidrelétrica Pulo Ltda. - ME,Rio Iapó,8.4,2019-05-22,PCH.PH.PR.034438-9,operation,small_hydro,,,POINT (-5580933.405484562 -2752023.7534676855)
36,Cachoeira da Lixa,ESPRA - Energética Serra da Prata S.A.,Rio Jucuruçu do Sul,14.8,2008-05-24,PCH.PH.BA.028999-0,operation,small_hydro,,,POINT (-4460499.27607251 -1900757.7972733423)
37,Baruíto,Global Energia Elétrica S.A.,Rio do Sangue,18.0,2003-04-29,PCH.PH.MT.000233-0,operation,small_hydro,,,POINT (-6411731.43073636 -1482812.5940276964)
38,Tigre,Tigre Produção de Energia Elétrica Ltda.,Rio Marrecas,9.0,2016-10-27,PCH.PH.PR.029222-2,operation,small_hydro,,,POINT (-5808617.952008198 -2899815.12899808)
39,Jataí,Jataí Energética S.A.,Rio Claro,30.0,2008-07-30,PCH.PH.GO.028834-9,operation,small_hydro,,,POINT (-5758137.928789568 -1997597.6513177506)
40,Madame Denise (Cachoeira do Furado),Arcelormittal Brasil S.A.,Rio Taquaruçu,2.88,1935-11-26,PCH.PH.MG.028218-9,operation,small_hydro,,,POINT (-4863753.237130352 -2187342.2311030854)
41,Lageado,Alvorada Energia S.A.,Rio Lageado Grande,1.8,1971-03-01,PCH.PH.TO.027013-0,operation,small_hydro,,,POINT (-5375966.69106373 -1095564.9841409703)
42,Rio Tigre,Centrais Elétricas Rio Tigre S.A.,Lajeado do Tigre,2.08,1964-04-01,PCH.PH.SC.002514-3,operation,small_hydro,,,POINT (-5873866.343454022 -3019321.963066059)
43,Indaiá Grande,Indaiá Grande Energia S.A.,Rio Indaiá Grande,20.0,2012-04-26,PCH.PH.MS.030078-0,operation,small_hydro,,,POINT (-5832956.430476175 -2146638.999457817)
44,Rio Fortuna,Geradora de Energia Rio Fortuna S.A.,Rio Braço do Norte,6.99,2012-10-30,PCH.PH.SC.029140-4,operation,small_hydro,,,POINT (-5469488.206377081 -3130785.628741233)
45,Alta Floresta,Eletricidade de Rondônia Ltda.,Rio Branco,5.0,1899-12-30,PCH.PH.RO.000058-2,operation,small_hydro,,,POINT (-6906316.858875289 -1328993.8291210835)
46,Paracambi,Lightger S.A.,Ribeirão das Lajes,25.0,2012-05-18,PCH.PH.RJ.001959-3,operation,small_hydro,,,POINT (-4870851.999015778 -2523730.2125189644)
47,Santa Cruz de Monte Negro,Canaã Geração de Energia S.A,Rio Jamari,17.01,2014-06-19,PCH.PH.RO.029434-9,operation,small_hydro,,,POINT (-7039056.7149235755 -1138773.6698732264)
48,Linha Emília,Linha Emília Energética S.A.,Rio Carreiro,19.5,2009-01-31,PCH.PH.RS.027876-9,operation,small_hydro,,,POINT (-5763383.757713231 -3221663.003693188)
49,Recanto,Recanto Energética SPE S.A.,Rio Água Limpa,9.11,2019-12-21,PCH.PH.MT.034865-1,operation,small_hydro,,,POINT (-6436353.706112289 -1605282.719099469)
50,Fruteiras,EDP Pequenas Centrais Hidrelétricas S.A.,Rio Fruteiras,8.736,1899-12-30,PCH.PH.ES.000999-7,operation,small_hydro,,,POINT (-4573161.117843573 -2303863.5495648948)
51,Lajes,Alvorada Energia S.A.,Rio Lajes,2.07,1899-12-30,PCH.PH.TO.001305-6,operation,small_hydro,,,POINT (-5360158.089060571 -755014.4241002976)
52,Passo Ferraz,Passo Ferraz Energia S.A,Rio Chapecozinho,4.0,2011-06-03,PCH.PH.SC.030183-3,operation,small_hydro,,,POINT (-5831603.8647105945 -2978852.1254236586)
53,Alto Irani,SPE Alto Irani Energia S.A.,Rio Irani,21.0,2008-09-27,PCH.PH.SC.028748-2,operation,small_hydro,,,POINT (-5836202.030046332 -3006946.0697727604)
54,Ilha Comprida,Ilha Comprida Energia S.A.,Rio Juruena,20.16,2013-07-04,PCH.PH.MT.028835-7,operation,small_hydro,,,POINT (-6566201.481678447 -1469227.5935097956)
55,Jacaré Pepira,Água Paulista Geração de Energia Ltda.,Jacaré Pepira,2.0,2010-06-26,PCH.PH.SP.029296-6,operation,small_hydro,,,POINT (-5345561.947670352 -2496339.581373116)
56,Ypê,Santa Helena Energia S.A.,Rio Verde ou Verdão,30.0,2017-12-30,PCH.PH.GO.031327-0,operation,small_hydro,,,POINT (-5616283.308755027 -1973444.5239207675)
57,Isamu Ikeda,Isamu Ikeda Energia S.A.,Rio Balsas Mineiro,27.6,1982-11-04,PCH.PH.TO.001149-5,operation,small_hydro,,,POINT (-5320394.151352424 -1190988.130129208)
58,Mata Velha,Mata Vermelha Energética S.A,Rio Preto,24.0,2016-05-07,PCH.PH.MG.028607-9,operation,small_hydro,,,POINT (-5251282.489781566 -1802700.1846987766)
59,Salto Donner II,Cooperativa de Geração de Energia Elétrica Salto Donner,Rio Benedito,2.89,2012-07-31,PCH.PH.SC.030353-4,operation,small_hydro,,,POINT (-5504463.712811653 -2978682.8954186863)
60,Mucuri,Mucuri Energética S.A,Rio Mucuri,19.1,2013-05-10,PCH.PH.MG.028842-0,operation,small_hydro,,,POINT (-4562554.202578471 -1958676.896636096)
61,Unaí Baixo,Unaí Baixo Energética S.A.,Rio Preto,26.0,2012-05-04,PCH.PH.MG.028673-7,operation,small_hydro,,,POINT (-5235242.101785582 -1802032.5835674102)
62,Coronel Américo Teixeira,Horizonte Têxtil Ltda.,Ribeirão Riachinho,5.6,1899-12-30,PCH.PH.MG.000836-2,operation,small_hydro,,,POINT (-4861522.886233048 -2133311.6514635826)
63,Fagundes,Quanta Geração S.A.,Rio Fagundes,4.8,1899-12-30,PCH.PH.RJ.000928-8,operation,small_hydro,,,POINT (-4805155.698014013 -2473373.480868411)
64,Salto Curuá,Curuá Energia S.A.,Rio Curuá,30.0,2008-10-15,PCH.PH.PA.028672-9,operation,small_hydro,,,POINT (-6118192.330198335 -973185.9344426788)
65,Guary,Brookfield Energia Renovável Minas Gerais S/A,Rio do Pinho,5.4,1914-01-01,PCH.PH.MG.001078-2,operation,small_hydro,,,POINT (-4837410.976213357 -2392136.459980442)
66,Franca Amaral,Quanta Geração S.A.,Rio Itabapoana,4.5,1899-12-30,PCH.PH.RJ.000992-0,operation,small_hydro,,,POINT (-4644449.811726552 -2345779.385313928)
67,Ponte Alta,Energética Ponte Alta S.A,Rio Coxim,13.0,2007-06-05,PCH.PH.MS.029013-0,operation,small_hydro,,,POINT (-6066106.731937745 -2160784.498064642)
68,Salto Três de Maio,Eletricidade Paraense S.A.,Rio Três de Maio,20.0,2010-01-13,PCH.PH.PA.028653-2,operation,small_hydro,,,POINT (-6126370.111796699 -974011.0901681824)
69,Carlos Gonzatto,CN Energia S.A.,Rio Turvo,9.0,2006-04-01,PCH.PH.RS.028030-5,operation,small_hydro,,,POINT (-5989414.719881505 -3074877.1599799255)
70,Albano Machado,Cervejaria Petrópolis do Centro Oeste Ltda,Lajeado do Lobo,3.0,2011-02-11,PCH.PH.RS.029514-0,operation,small_hydro,,,POINT (-5878948.7304296335 -3061588.0702682883)
71,São Bernardo,CJ Energética S..A.,Rio Bernardo José,15.0,2006-08-05,PCH.PH.RS.028431-9,operation,small_hydro,,,POINT (-5712185.516502093 -3087829.619106126)
72,Alto Jatapu,Companhia Energética de Roraima,Rio Jatapu,5.0,1899-12-30,PCH.PH.RR.000076-0,operation,small_hydro,,,POINT (-6600650.100495311 95565.50057383237)
73,Bela União (Trincheira),Cooperativa de Geração de Energia e Desenvolvimento,Rio Santa Rosa,2.25,2015-04-10,PCH.PH.RS.030879-0,operation,small_hydro,,,POINT (-6052852.958779838 -3092629.0174646084)
74,San Juan,Ferro Ligas Piracicaba Ltda.,Rio Sorocaba,4.87,1911-01-01,PCH.PH.SP.002688-3,operation,small_hydro,,,POINT (-5320459.283161976 -2576982.2284265948)
75,Rondonópolis,Tupan Energia Elétrica Ltda,Ribeirão Ponte de Pedra,26.6,2007-12-12,PCH.PH.MT.028848-9,operation,small_hydro,,,POINT (-6093136.338835502 -1855363.5032867172)
76,Segredo,Segredo Energia S.A.,Rio Juruena,26.118,2013-04-25,PCH.PH.MT.028822-5,operation,small_hydro,,,POINT (-6570830.564110317 -1472138.6833534513)
77,Graça Brennand (Antiga Terra Santa),Várzea do Juba Energética S.A.,Rio Juba,27.4,2008-06-28,PCH.PH.MT.029367-9,operation,small_hydro,,,POINT (-6452879.832587529 -1646744.9111142769)
78,Santa Ana,Santa Ana Energética Ltda.,Rio Engano,6.304,2010-04-27,PCH.PH.SC.029778-0,operation,small_hydro,,,POINT (-5458637.22780383 -3061153.1120671933)
79,Oliveira,Luzboa S.A.,Rio Jacaré,2.88,2010-07-31,PCH.PH.MG.030148-5,operation,small_hydro,,,POINT (-4975533.074204393 -2312664.3676515524)
80,Candengo,Candengo Energias Renovávéis Ltda.,Rio Una,10.98,2017-03-10,PCH.PH.BA.033901-6,operation,small_hydro,,,POINT (-4352947.468474473 -1485696.2681071598)
81,Fazenda Velha,Energética Fazenda Velha S.A.,Rio Ariranha,16.5,2016-05-11,PCH.PH.GO.031575-3,operation,small_hydro,,,POINT (-5762162.202409211 -2000533.0429854845)
82,São Tadeu I,São Tadeu Energética S.A.,Rio Aricá-Mirim,18.0,2010-12-24,PCH.PH.MT.028806-3,operation,small_hydro,,,POINT (-6181594.264025861 -1752173.0368227535)
83,Cachoeira do Lavrinha (Antiga São Patrício),Companhia São Patrício de Geração e Transmissão de Energia Elétrica,Rio das Almas,3.01,2004-04-16,PCH.PH.GO.026879-8,operation,small_hydro,,,POINT (-5508669.555645224 -1727287.7151598667)
84,Barrinha,Mauê S.A. ? Geradora e Fornecedora de Insumos,Rio Pesqueiro,3.3,2019-07-27,PCH.PH.SC.034743-4,operation,small_hydro,,,POINT (-5888890.737047893 -2971438.7989249052)
85,Dores de Guanhães,PCH Dores de Guanhães S.A,Rio Guanhães,14.0,2018-10-03,PCH.PH.MG.028781-4,operation,small_hydro,,,POINT (-4774488.641261217 -2122649.1754161166)
86,Americana,Jayaditya Empreedimentos e Participações Ltda,Rio Atibaia,30.0,1949-01-01,PCH.PH.SP.000089-2,operation,small_hydro,,,POINT (-5263650.00171908 -2526841.44378644)
87,Santa Rosa II,Santa Rosa S.A.,Rio Grande,30.0,2008-06-25,PCH.PH.RJ.026732-5,operation,small_hydro,,,POINT (-4709895.2748499205 -2462626.487056031)
88,Juliões,MF Projetos em Energia Ltda.,Rio Macaúbas,3.4,2017-03-23,PCH.PH.MG.030542-1,operation,small_hydro,,,POINT (-4919857.665598807 -2267361.5701600374)
89,Nova Aurora,Goiás Sul Geração de Energia S.A.,Rio Veríssimo,21.0,2011-01-19,PCH.PH.GO.029066-1,operation,small_hydro,,,POINT (-5366697.867247421 -2010639.9470541344)
90,Vitorino,Hidrelétrica Rio Vitorino Ltda.,Rio Vitorino,5.28,2002-09-12,PCH.PH.PR.027549-2,operation,small_hydro,,,POINT (-5876047.630508402 -2893981.766822639)
91,Viçosa (Bicame),EDP Pequenas Centrais Hidrelátricas S.A.,Rio Castelo,4.5,1899-12-30,PCH.PH.ES.000261-5,operation,small_hydro,,,POINT (-4593765.176048083 -2270912.3695913577)
92,São Valentim,Fundação Patrimônio Histórico da Energia de São Paulo,Rio Claro,1.45,2009-12-05,PCH.PH.SP.002707-3,operation,small_hydro,,,POINT (-5277807.275145044 -2420585.9352947213)
93,Esperança,Hidrelétrica Águas Claras Ltda.,Rio Piolhinho,2.4,2012-09-27,PCH.PH.MT.030042-0,operation,small_hydro,,,POINT (-6653801.9181745555 -1533882.3162187934)
94,Chibarro,Chimay Empreendimentos e Participações Ltda,Ribeirão Chibarro,2.6,1899-12-30,PCH.PH.SP.000768-4,operation,small_hydro,,,POINT (-5359754.04316887 -2436556.217503672)
95,Salto Corgão,Galera Centrais Elétricas S.A.,Rio Corgão,27.0,2005-06-29,PCH.PH.MT.027326-0,operation,small_hydro,,,POINT (-6624349.2666748855 -1609380.0011618605)
96,Alto Benedito Novo I,CEESAM Geradora S.A.,Rio Benedito,15.0,2008-07-08,PCH.PH.SC.028802-0,operation,small_hydro,,,POINT (-5502843.283519475 -2980422.91412663)
97,Salto do Paraopeba,Horizontes Energia S.A.,Rio Paraopeba,2.46,1899-12-30,PCH.PH.MG.002633-6,operation,small_hydro,,,POINT (-4896511.490852868 -2282791.691126511)
98,Porto das Pedras,Empresa Energética Porto das Pedras S.A.,Rio Sucuriú,28.03,2008-10-14,PCH.PH.MS.028995-7,operation,small_hydro,,,POINT (-5848887.543252494 -2167834.202786307)
99,Eloy Chaves,Mohini Empreendimentos e Participações Ltda,Rio Moji-Guaçu,19.0,1954-01-01,PCH.PH.SP.027108-0,operation,small_hydro,,,POINT (-5200727.529064724 -2478011.531421097)
100,Lajari,Lajari Energética S.A.,Rio Taquari,20.88,2019-05-10,PCH.PH.MT.033386-7,operation,small_hydro,,,POINT (-5942389.028961184 -1996113.0803396378)
101,Ombreiras,Ombreiras Energética S.A.,Rio Jauru,26.0,2005-07-23,PCH.PH.MT.027216-7,operation,small_hydro,,,POINT (-6537768.084460857 -1684269.6291012757)
102,Inxú,Inxú Geradora e Comercializadora de Energia Elétrica S.A.,Rio do Sangue,21.8,2016-06-30,PCH.PH.MT.030642-8,operation,small_hydro,,,POINT (-6413546.31759047 -1486730.8948316863)
103,Mello,Vale S/A,Rio Santana,10.685,1899-12-30,PCH.PH.MG.001454-0,operation,small_hydro,,,POINT (-4873855.367262643 -2452746.0188541566)
104,Santa Carolina,Carolina Geração de Energia Ltda.,Rio Turvo,10.5,2016-03-11,PCH.PH.RS.030723-8,operation,small_hydro,,,POINT (-5722200.9278605 -3185417.7468489665)
105,Padre Carlos (Antiga Rolador),DME Energética S.A.,Rio das Antas,7.8,2003-06-15,PCH.PH.MG.027870-0,operation,small_hydro,,,POINT (-5184800.770995566 -2415954.450699557)
106,Aquarius,Aquarius Energética S.A.,Rio Correntes,4.2,2006-09-19,PCH.PH.MS.000859-1,operation,small_hydro,,,POINT (-6110142.8791561145 -1961326.6994860317)
107,Capivari,"Cerbranorte Geração S.A., Urbano Agroindustrial Ltda",Rio Capivari,18.738,2017-02-23,PCH.PH.SC.000659-9,operation,small_hydro,,,POINT (-5450171.345574683 -3128943.508575568)
108,Nova Maurício,Vale S.A.,Rio Novo,29.232,1956-01-01,PCH.PH.MG.027722-3,operation,small_hydro,,,POINT (-4769506.955232811 -2391050.6858460777)
109,Rio dos Índios,Casa de Pedra Energia S.A.,Rio dos Índios,8.0,2013-05-04,PCH.PH.RS.030057-8,operation,small_hydro,,,POINT (-5877131.404676791 -3036994.8567378614)
110,Pesqueiro,Pesqueiro Energia S.A.,Rio Jaguariaíva,10.96,2003-01-27,PCH.PH.PR.002046-0,operation,small_hydro,,,POINT (-5526336.9307645885 -2686505.361828953)
111,Palanquinho,Serrana Energética S.A.,Lajeado Grande,24.165,2010-07-13,PCH.PH.RS.029001-7,operation,small_hydro,,,POINT (-5656360.427486545 -3216689.52235653)
112,Figueira,Centrais Elétricas Figueirão Ltda.,Igarapé Saldanha,1.4,2017-07-26,PCH.PH.RO.029758-5,operation,small_hydro,,,POINT (-6920887.353034061 -1335339.136276337)
113,Autódromo,Autódromo Energética S.A.,Rio Carreiro,24.0,2011-11-18,PCH.PH.RS.029071-8,operation,small_hydro,,,POINT (-5771042.955126026 -3209144.5273867054)
114,Itatinga,Companhia Docas do Estado de São Paulo - CODESP,Rio Itatinga,15.0,1899-12-30,PCH.PH.SP.001185-1,operation,small_hydro,,,POINT (-5134901.352503609 -2643252.002249213)
115,Cabixi,Cassol Centrais Elétricas Ltda,Rio Cabixi,2.7,1899-12-30,PCH.PH.RO.027042-3,operation,small_hydro,,,POINT (-6692278.5378102595 -1442452.8488013449)
116,Paina II,Paraná Indústria e Comércio de Pasta Mecânica,Rio Socavão,1.2,2004-07-05,PCH.PH.PR.001937-2,operation,small_hydro,,,POINT (-5520508.384159006 -2770649.873601439)
117,Indaiazinho (Antiga Indaiazinho Grande),Indaiazinho Energia S.A.,Rio Indaiá Grande,12.5,2012-05-31,PCH.PH.MS.030079-9,operation,small_hydro,,,POINT (-5828039.819929658 -2137424.2194731794)
118,Palmeiras,Duke Energy International Geração Sapucaí-Mirim,Rio Sapucaí-Mirim,16.5,2012-02-07,PCH.PH.SP.028800-4,operation,small_hydro,,,POINT (-5322638.957753532 -2287429.7511413614)
119,São Pedro,Eletricidade São Pedro Ltda.,Rio Tietê,2.16,2007-12-25,PCH.PH.SP.027096-2,operation,small_hydro,,,POINT (-5258796.813893969 -2591649.5901345913)
120,G,Anglogold Ashanti Córrego do Sítio Mineração S.A,Córrego Capitão do Mato,1.44,1899-12-30,PCH.PH.MG.000010-8,operation,small_hydro,,,POINT (-4883772.926784889 -2241569.10017806)
121,Santa Rosa,Companhia Estadual de Geração e Transmissão de Energia Elétrica-CEEE,Rio Santa Rosa,1.58,1955-01-01,PCH.PH.RS.026730-9,operation,small_hydro,,,POINT (-6054502.4092859095 -3091525.972445207)
122,Tudelândia,Tudelândia Central Elétrica S.A.,Rio Santíssimo,2.547,2010-05-22,PCH.PH.RJ.028798-9,operation,small_hydro,,,POINT (-4670631.505743985 -2439299.927917565)
123,Luiz Dias Lins (Antiga Manopla),Brennand Energia Manopla S.A.,Rio Sirinhaém,5.751,2016-07-08,PCH.PH.PE.030572-3,operation,small_hydro,,,POINT (-3920486.9332173304 -963284.6602940183)
124,Abranjo I,Abranjo Geração de Energia S.A.,Rio Abranjo,4.86,2014-05-01,PCH.PH.RS.030400-0,operation,small_hydro,,,POINT (-5858720.177246534 -3427302.8681880464)
125,Santa Helena,Santa Helena Energia S.A.,Córrego da Corrente,5.335,2014-07-18,PCH.PH.MG.030961-3,operation,small_hydro,,,POINT (-4950747.303335734 -1976581.1590752685)
126,Passo do Meio,Energética Campos de Cima da Serra Ltda,Rio das Antas,30.0,2003-10-17,PCH.PH.RS.001999-2,operation,small_hydro,,,POINT (-5634215.245998847 -3206712.682756407)
127,Cantú 2,Cantú Energética S.A.,Rio Cantu,19.8071,2015-12-25,PCH.PH.PR.029180-3,operation,small_hydro,,,POINT (-5841247.633945235 -2754866.6764871953)
128,Rio Bonito,EDP Pequenas Centrais Hidrelétricas S.A.,Rio Santa Maria,22.5,1959-01-01,PCH.PH.ES.002293-4,operation,small_hydro,,,POINT (-4524312.011882951 -2233077.3282636167)
129,Cachoeira Cachimbo Alto,Hidroelétrica Cachimbo Alto Ltda.,Rio Branco,9.801,2017-09-01,PCH.PH.RO.030573-1,operation,small_hydro,,,POINT (-6918353.426204319 -1327904.9766688382)
130,Paes Leme,GESM - Geração de Energia Sul de Minas S.A.,Rio Bananal,1.92,2001-06-21,PCH.PH.MG.001932-1,operation,small_hydro,,,POINT (-4928979.613477086 -2469106.3191404906)
131,Anhanguera,Central Elétrica Anhanguera S.A.,Rio Sapucaí,22.68,2010-12-03,PCH.PH.SP.028734-2,operation,small_hydro,,,POINT (-5327658.4066927945 -2281394.2414535615)
132,Riacho Preto,Riacho Preto Energética S.A.,Rio Palmeiras,9.3,2008-09-04,PCH.PH.TO.029058-0,operation,small_hydro,,,POINT (-5204798.001163596 -1330331.3087579517)
133,Jorda Flor,Alteso Geração e Comercialização de Energia Ltda.,Rio Turvo,1.55,1949-01-01,PCH.PH.SP.001257-2,operation,small_hydro,,,POINT (-5307048.9858944565 -2650922.71889159)
134,Lajeado,Hidroelétrica Lajeado Ltda.,Rio Indaiá Grande,8.838,2016-07-12,PCH.PH.MS.031438-2,operation,small_hydro,,,POINT (-5847786.786961824 -2121543.455834629)
135,Beleza,Energética PCH Beleza Ltda.,Córrego Beleza,6.5,2020-08-07,PCH.PH.MT.037309-5,operation,small_hydro,,,POINT (-6124241.785991944 -1801427.6597621436)
136,Chupinguaia,"Jurema Energia S.A, Usina Hidrelétrica Cachoeira Ltda.",Rio Chupinguaia,1.26,1995-01-01,PCH.PH.RO.000775-7,operation,small_hydro,,,POINT (-6782763.056483085 -1401038.3536261239)
137,João Borges,Eletrosul Centrais Elétricas S.A.,Rio das Caveiras,19.0,2013-07-27,PCH.PH.SC.029332-6,operation,small_hydro,,,POINT (-5639163.915222881 -3085464.9508904666)
138,São Sebastião,São Sebastião Empreendimentos S.A.,Rio Boa Esperança,9.9,2012-12-22,PCH.PH.SC.030526-0,operation,small_hydro,,,POINT (-5458273.926292916 -3050104.2701121876)
139,Salto Mauá,Klabin S.A.,Rio Tibagi,16.319,1899-12-30,PCH.PH.PR.002654-9,operation,small_hydro,,,POINT (-5644977.518745302 -2678033.5961420774)
140,Ângelo Cassol,Hidroelétrica Ângelo Cassol Ltda,Rio Branco,3.6,2011-04-20,PCH.PH.RO.028849-7,operation,small_hydro,,,POINT (-6913382.372857075 -1328174.9037248371)
141,Cocais Grande,SPE Cocais Grande Energia S.A.,Ribeirão Grande,10.0,2009-03-05,PCH.PH.MG.027728-2,operation,small_hydro,,,POINT (-4760764.010590944 -2172951.9227909297)
