,region,state,grid_mode,agent,type,plant_name,plant_id,ons_name,ons_id,operation,primary,auction_start_time,start_time,end_time,capacity
15,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                 1 AL,ALBERL0UG1,1,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
16,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                10 AL,ALBERL0UG10,10,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
17,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                11 AL,ALBERL0UG11,11,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
18,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                12 AL,ALBERL0UG12,12,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
19,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                13 AL,ALBERL0UG13,13,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
20,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                14 AL,ALBERL0UG14,14,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
21,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                15 AL,ALBERL0UG15,15,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
22,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                16 AL,ALBERL0UG16,16,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
23,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                17 AL,ALBERL0UG17,17,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
24,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                18 AL,ALBERL0UG18,18,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
25,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                19 AL,ALBERL0UG19,19,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
26,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                 2 AL,ALBERL0UG2,2,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
27,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO                20 AL,ALBERL0UG20,20,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
