,distance_sub_0,distance_sub_1
count,2316.0,2316.0
mean,1227.5474956822106,1361.39896373057
std,1829.8086705886303,2822.5036040669133
min,1000.0,1000.0
50%,1000.0,1000.0
90%,1000.0,1000.0
95%,1000.0,2000.0
max,41000.0,82000.0
