,PA,TO,MA,AP,AM,RR,PI,CE,RN,PB,PE,AL,SE,BA,ES,RJ,MG,SP,GO,DF,MT,AC,RO,MS,RS,SC,PR
2018-01-01 00:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 01:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 02:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 03:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 04:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 05:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 06:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 07:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 08:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 09:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 10:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
2018-01-01 11:00:00,4455.806625028883,1113.2632211540217,0.027445917735503977,182.40099495053687,104.71761196000413,3.8119330188199974,0.0,0.0,49.01348768917725,36.70797375870296,267.66933044764403,31.851467116820018,5.73562089979734,8442.490870087859,704.8082385541146,1551.5580206887932,12080.531628656268,7858.775472289762,6906.434969924732,0.0,7075.035554268849,0.0,9753.804209171916,8640.48159394557,1402.210586855312,3402.69235373757,9202.013075037119
