,PA,TO,MA,AP,AM,RR,PI,CE,RN,PB,PE,AL,SE,BA,ES,RJ,MG,SP,GO,DF,MT,AC,RO,MS,RS,SC,PR
2018-01-01 00:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 01:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 02:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 03:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 04:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 05:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 06:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 07:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 08:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
2018-01-01 09:00:00,4460.855713803644,1110.7466232703766,0.027477018024814778,179.74549291232998,104.83627252217872,3.816252503446497,0.0,0.0,50.01736761710095,37.459815747275606,273.1516554325787,32.503839555938605,5.853096210511814,8434.482975436595,697.8667992529239,1365.8783206271426,12158.106521379823,8008.554818557094,6733.59919886227,0.0,6931.355389092826,0.0,9880.71230621023,8795.35633351769,1328.3788396165394,3349.024649319454,9329.512526694007
