;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
2013-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013-01-01 09:00:00;0.0;0.0247;0.0;0.0;0.0144;0.0069;0.0016;0.033;0.0009;0.0004;0.015;0.0;0.0;0.0;0.0201;0.0178;0.0046;0.0014;0.0354;0.0209;0.0;0.0;0.0017;0.0071;0.0247;0.004;0.0002
2013-01-01 10:00:00;0.0;0.141;0.0001;0.0071;0.135;0.0916;0.1015;0.1805;0.082;0.0649;0.1477;0.0289;0.0217;0.0237;0.1307;0.129;0.1094;0.037;0.1895;0.1401;0.0004;0.0;0.0298;0.0875;0.1505;0.0787;0.0708
2013-01-01 11:00:00;0.0169;0.2675;0.0251;0.0909;0.2948;0.2207;0.274;0.3627;0.2692;0.2128;0.3366;0.1215;0.1321;0.1337;0.2817;0.2688;0.2759;0.0935;0.3794;0.2946;0.0362;0.0259;0.0911;0.1861;0.2871;0.2227;0.2344
2013-01-01 12:00:00;0.082;0.3647;0.0987;0.1941;0.4363;0.363;0.399;0.5045;0.448;0.3424;0.4982;0.2222;0.2679;0.2675;0.3964;0.3892;0.4355;0.1839;0.5314;0.4319;0.1204;0.1389;0.1778;0.285;0.4077;0.3538;0.4033
2013-01-01 13:00:00;0.1996;0.4265;0.1727;0.3431;0.5545;0.4764;0.4864;0.5955;0.5947;0.4507;0.6266;0.3021;0.3828;0.3897;0.5159;0.4963;0.5476;0.2174;0.6461;0.5591;0.2189;0.292;0.2806;0.359;0.4738;0.4345;0.5459
2013-01-01 14:00:00;0.355;0.4498;0.2595;0.435;0.6003;0.539;0.5376;0.6376;0.6942;0.4871;0.6978;0.4195;0.4979;0.4399;0.5996;0.5561;0.5795;0.2356;0.7316;0.6495;0.3786;0.3579;0.3545;0.3872;0.5434;0.5515;0.5794
2013-01-01 15:00:00;0.3363;0.4815;0.3677;0.5239;0.5912;0.5703;0.5478;0.6268;0.7087;0.5369;0.7039;0.4875;0.5637;0.5111;0.6085;0.5621;0.5849;0.2803;0.7464;0.6519;0.4297;0.4262;0.4467;0.3903;0.5738;0.6172;0.6014
2013-01-01 16:00:00;0.3946;0.4549;0.4202;0.5286;0.5966;0.5654;0.5572;0.6287;0.7034;0.4743;0.6928;0.5154;0.5993;0.5268;0.5488;0.5504;0.5945;0.2471;0.7356;0.5914;0.4632;0.4606;0.4934;0.325;0.5634;0.6197;0.6144
2013-01-01 17:00:00;0.4575;0.4188;0.4633;0.4855;0.582;0.5184;0.5419;0.5977;0.664;0.5001;0.629;0.4545;0.5902;0.5301;0.5086;0.5224;0.5748;0.2161;0.6675;0.57;0.4587;0.4791;0.4905;0.2841;0.5171;0.5535;0.5773
2013-01-01 18:00:00;0.4807;0.3364;0.4385;0.4454;0.4775;0.3761;0.4965;0.4718;0.5732;0.4364;0.5309;0.4004;0.5282;0.4839;0.3902;0.405;0.4805;0.1802;0.594;0.43;0.439;0.4718;0.4944;0.1923;0.3809;0.4392;0.5387
2013-01-01 19:00:00;0.3937;0.2349;0.4028;0.3179;0.3433;0.2612;0.4708;0.3483;0.4846;0.3174;0.436;0.3923;0.4439;0.3733;0.2762;0.2885;0.3182;0.2284;0.5004;0.3208;0.3735;0.3414;0.4058;0.2085;0.2033;0.3893;0.4075
2013-01-01 20:00:00;0.3612;0.1117;0.3158;0.2257;0.2149;0.142;0.3747;0.2604;0.3302;0.2083;0.2991;0.304;0.3269;0.2696;0.142;0.1516;0.2006;0.1534;0.3479;0.1608;0.2788;0.2763;0.3515;0.1517;0.1208;0.2389;0.2938
2013-01-01 21:00:00;0.2508;0.0;0.1962;0.1064;0.0653;0.0;0.2766;0.1124;0.1848;0.078;0.1488;0.1887;0.1995;0.1218;0.0;0.0039;0.0584;0.1109;0.1612;0.0;0.2131;0.1655;0.255;0.1111;0.0;0.121;0.1315
2013-01-01 22:00:00;0.1485;0.0;0.0848;0.0;0.0;0.0;0.0;0.0;0.0058;0.0;0.0001;0.0626;0.0523;0.001;0.0;0.0;0.0;0.0635;0.0;0.0;0.0921;0.0237;0.1539;0.0663;0.0;0.0133;0.0
