;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
2012-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-01 09:00:00;0.0;0.0308;0.0;0.0;0.0126;0.0096;0.0006;0.0179;0.0;0.0;0.0051;0.0;0.0;0.0;0.0231;0.0218;0.0035;0.0014;0.0109;0.0256;0.0;0.0;0.0023;0.0026;0.0242;0.0018;0.0
2012-01-01 10:00:00;0.0;0.1803;0.0;0.008;0.1138;0.1263;0.0271;0.0961;0.0311;0.034;0.0487;0.023;0.0119;0.0194;0.1555;0.1613;0.0762;0.0575;0.0637;0.1745;0.0007;0.0;0.0512;0.0487;0.1551;0.0296;0.0324
2012-01-01 11:00:00;0.0159;0.3117;0.0361;0.08;0.2461;0.2902;0.0634;0.1571;0.0843;0.0956;0.0992;0.0958;0.0855;0.1006;0.3294;0.3383;0.1738;0.1813;0.0907;0.3471;0.0546;0.0288;0.1562;0.1483;0.3124;0.0683;0.0934
2012-01-01 12:00:00;0.0932;0.5015;0.1615;0.1979;0.3608;0.4483;0.1163;0.2021;0.1587;0.1607;0.1738;0.1897;0.1873;0.2093;0.4726;0.4902;0.2824;0.3121;0.1392;0.482;0.1739;0.158;0.2525;0.2533;0.4469;0.1215;0.168
2012-01-01 13:00:00;0.2008;0.5975;0.2995;0.3807;0.4534;0.5733;0.2314;0.2843;0.2142;0.2594;0.2175;0.2895;0.288;0.314;0.5647;0.6038;0.4118;0.4504;0.1498;0.575;0.3031;0.3178;0.3298;0.3449;0.5408;0.1832;0.2081
2012-01-01 14:00:00;0.3436;0.6566;0.4429;0.4079;0.4647;0.5911;0.2703;0.3409;0.2845;0.2988;0.2736;0.3885;0.3809;0.3725;0.6158;0.6386;0.438;0.5485;0.1762;0.6256;0.3435;0.4161;0.4411;0.4687;0.581;0.2379;0.2685
2012-01-01 15:00:00;0.3669;0.6807;0.5342;0.4966;0.5204;0.6314;0.282;0.2936;0.3207;0.3733;0.3064;0.4427;0.4535;0.4533;0.6088;0.6416;0.5018;0.5888;0.2228;0.5865;0.4684;0.4729;0.4837;0.5395;0.5349;0.2787;0.3301
2012-01-01 16:00:00;0.4451;0.5995;0.5625;0.4471;0.5149;0.5861;0.3385;0.2868;0.3499;0.4058;0.3284;0.5018;0.4924;0.4958;0.5753;0.6197;0.5027;0.6092;0.2097;0.5413;0.5178;0.5177;0.5323;0.5033;0.4704;0.3176;0.3392
2012-01-01 17:00:00;0.4066;0.4851;0.5389;0.4013;0.4876;0.5424;0.3529;0.2068;0.338;0.3626;0.3236;0.5167;0.4819;0.5015;0.5443;0.5733;0.4394;0.604;0.2456;0.5226;0.5263;0.5405;0.5459;0.4804;0.4436;0.348;0.4128
2012-01-01 18:00:00;0.4914;0.4477;0.4863;0.4181;0.4119;0.4941;0.2569;0.1211;0.3222;0.3463;0.2624;0.4798;0.4262;0.4483;0.4569;0.4745;0.3656;0.5652;0.2391;0.4408;0.517;0.4928;0.5116;0.4812;0.4196;0.3759;0.3346
2012-01-01 19:00:00;0.3801;0.3182;0.4012;0.2742;0.2844;0.3424;0.2535;0.1168;0.2648;0.198;0.2049;0.4199;0.3499;0.2711;0.3181;0.3592;0.2665;0.4501;0.0908;0.3079;0.4118;0.2879;0.4634;0.4158;0.3283;0.2787;0.2284
2012-01-01 20:00:00;0.2935;0.1896;0.3306;0.1876;0.182;0.1893;0.2589;0.0924;0.2232;0.1327;0.1387;0.3586;0.2603;0.2;0.164;0.1966;0.1592;0.3679;0.0607;0.1564;0.3318;0.2598;0.351;0.3084;0.1959;0.2275;0.181
2012-01-01 21:00:00;0.2014;0.0;0.2112;0.0918;0.048;0.0;0.1968;0.0353;0.1166;0.0504;0.0536;0.2574;0.1525;0.0879;0.0;0.003;0.0399;0.2426;0.0271;0.0;0.1962;0.1524;0.2376;0.212;0.0;0.138;0.0826
2012-01-01 22:00:00;0.0738;0.0;0.0872;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.101;0.0457;0.0009;0.0;0.0;0.0;0.09;0.0;0.0;0.0919;0.0244;0.147;0.0892;0.0;0.0249;0.0
2012-01-01 23:00:00;0.0055;0.0;0.0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-02 09:00:00;0.0;0.0341;0.0;0.0;0.0109;0.0097;0.0002;0.012;0.0;0.0;0.0047;0.0;0.0;0.0;0.024;0.0201;0.0036;0.0019;0.0103;0.0264;0.0;0.0;0.003;0.0059;0.0329;0.0032;0.0
2012-01-02 10:00:00;0.0;0.1812;0.0;0.0102;0.0979;0.1222;0.0112;0.0723;0.0228;0.0454;0.0514;0.0562;0.0166;0.0186;0.1563;0.1463;0.0841;0.0815;0.0629;0.1778;0.0004;0.0;0.0796;0.1;0.1923;0.0794;0.0313
2012-01-02 11:00:00;0.0075;0.3502;0.0227;0.1083;0.2285;0.2824;0.0418;0.1783;0.0877;0.1548;0.1124;0.2342;0.1059;0.097;0.3331;0.324;0.2277;0.2501;0.1224;0.3539;0.0336;0.0335;0.2373;0.2705;0.3732;0.2192;0.1049
2012-01-02 12:00:00;0.0605;0.4804;0.1099;0.2598;0.3516;0.4273;0.0736;0.2456;0.1813;0.2604;0.1938;0.4145;0.2286;0.1991;0.4961;0.4705;0.3685;0.409;0.1322;0.5139;0.1076;0.1466;0.3763;0.3963;0.4952;0.3736;0.1921
2012-01-02 13:00:00;0.1835;0.5954;0.207;0.3989;0.4406;0.568;0.0768;0.2759;0.2631;0.3731;0.2567;0.5662;0.3277;0.2752;0.6178;0.5893;0.5022;0.5545;0.1039;0.6172;0.2076;0.2891;0.5004;0.5072;0.6;0.4538;0.2539
2012-01-02 14:00:00;0.2807;0.6947;0.2945;0.4819;0.4826;0.6352;0.1329;0.3478;0.3554;0.4718;0.3259;0.6478;0.429;0.3585;0.6811;0.6507;0.5612;0.6346;0.1699;0.6311;0.3286;0.3357;0.5871;0.573;0.6527;0.5609;0.3132
2012-01-02 15:00:00;0.318;0.6838;0.3707;0.4648;0.4879;0.6543;0.2033;0.3697;0.4334;0.4767;0.35;0.6298;0.4975;0.397;0.71;0.6679;0.5541;0.6614;0.151;0.6621;0.3749;0.4156;0.6182;0.63;0.6628;0.5836;0.3526
2012-01-02 16:00:00;0.3265;0.6872;0.416;0.4992;0.502;0.6319;0.1902;0.5154;0.4846;0.4857;0.3638;0.6667;0.5142;0.4352;0.6598;0.6416;0.5683;0.6627;0.2654;0.5901;0.4164;0.4849;0.6556;0.6105;0.6424;0.5744;0.3241
2012-01-02 17:00:00;0.4584;0.5556;0.3873;0.5238;0.4745;0.5689;0.1573;0.4616;0.4662;0.4605;0.3388;0.6233;0.4846;0.4223;0.6083;0.5585;0.53;0.6269;0.247;0.5302;0.3942;0.5432;0.6574;0.6314;0.5318;0.5615;0.3514
2012-01-02 18:00:00;0.4728;0.4876;0.3687;0.4531;0.3906;0.4961;0.2757;0.4366;0.4426;0.3966;0.2966;0.516;0.4721;0.407;0.5045;0.4953;0.4703;0.5412;0.2501;0.4253;0.3647;0.4972;0.6315;0.5376;0.5058;0.4895;0.3354
2012-01-02 19:00:00;0.4918;0.3452;0.3319;0.3329;0.2609;0.325;0.0961;0.2071;0.3405;0.2841;0.1967;0.4227;0.4185;0.254;0.3066;0.3282;0.3032;0.4699;0.0919;0.2596;0.3918;0.3481;0.5791;0.5013;0.3488;0.4515;0.1903
2012-01-02 20:00:00;0.4607;0.185;0.2652;0.2345;0.1651;0.174;0.1475;0.155;0.2642;0.184;0.1308;0.3351;0.3335;0.1876;0.1604;0.174;0.1801;0.3843;0.058;0.1453;0.3045;0.3049;0.4816;0.4203;0.1975;0.3305;0.1253
2012-01-02 21:00:00;0.2793;0.0;0.1405;0.1001;0.0496;0.0;0.0454;0.0467;0.1386;0.0691;0.065;0.2251;0.1854;0.0907;0.0;0.0039;0.0491;0.2434;0.0205;0.0;0.1882;0.1936;0.3582;0.2895;0.0;0.204;0.0519
2012-01-02 22:00:00;0.1355;0.0;0.0607;0.0;0.0;0.0;0.0;0.0;0.0066;0.0;0.0002;0.0933;0.0571;0.0003;0.0;0.0;0.0;0.0883;0.0;0.0;0.077;0.0281;0.1738;0.1027;0.0;0.0247;0.0
2012-01-02 23:00:00;0.0074;0.0;0.0006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-01-03 09:00:00;0.0;0.0357;0.0;0.0;0.0103;0.0081;0.0004;0.0079;0.0004;0.0;0.0055;0.0;0.0;0.0;0.0245;0.0233;0.0037;0.0022;0.0081;0.0245;0.0;0.0;0.0044;0.0075;0.0303;0.0047;0.0
2012-01-03 10:00:00;0.0;0.1957;0.0;0.0065;0.0793;0.1075;0.0164;0.0561;0.0422;0.0537;0.0676;0.0562;0.0145;0.0205;0.1592;0.1605;0.0873;0.0985;0.0497;0.1763;0.0;0.0;0.1105;0.1269;0.1827;0.107;0.0184
2012-01-03 11:00:00;0.0114;0.3781;0.0207;0.0625;0.1843;0.2344;0.0664;0.121;0.1407;0.1848;0.1723;0.238;0.0994;0.1196;0.3251;0.3421;0.2224;0.2882;0.1201;0.3461;0.0308;0.0294;0.293;0.3203;0.3698;0.2885;0.098
2012-01-03 12:00:00;0.0765;0.5202;0.0869;0.1856;0.2806;0.3958;0.1097;0.2027;0.2394;0.3283;0.2671;0.4176;0.213;0.232;0.4851;0.5001;0.3602;0.4658;0.1893;0.4898;0.1155;0.1509;0.4593;0.4907;0.5194;0.4689;0.1866
2012-01-03 13:00:00;0.1342;0.6225;0.1746;0.3401;0.3764;0.5442;0.2577;0.2788;0.3795;0.4666;0.3926;0.5722;0.331;0.3315;0.6297;0.6286;0.4929;0.6108;0.2899;0.6194;0.2022;0.2773;0.5883;0.635;0.6462;0.601;0.2738
2012-01-03 14:00:00;0.2003;0.6902;0.2533;0.3965;0.4209;0.6353;0.3551;0.2672;0.4549;0.5413;0.4563;0.6389;0.3977;0.4047;0.7;0.6617;0.5167;0.6845;0.439;0.6853;0.2687;0.377;0.6777;0.7383;0.7185;0.6747;0.2342
2012-01-03 15:00:00;0.3235;0.7191;0.3014;0.4596;0.453;0.6795;0.4184;0.2125;0.5222;0.6066;0.4688;0.6274;0.4668;0.4607;0.7145;0.6979;0.5762;0.6868;0.5004;0.6899;0.3145;0.4494;0.711;0.7725;0.7246;0.7057;0.2745
2012-01-03 16:00:00;0.2448;0.658;0.3472;0.3859;0.431;0.6254;0.3682;0.2734;0.5084;0.5744;0.4885;0.6427;0.5083;0.5061;0.6927;0.6464;0.5473;0.7145;0.5009;0.6673;0.3371;0.5464;0.7218;0.7899;0.6105;0.6926;0.3147
2012-01-03 17:00:00;0.2928;0.5772;0.387;0.3836;0.39;0.5955;0.383;0.1882;0.5151;0.5281;0.472;0.6192;0.5254;0.5059;0.607;0.5611;0.5294;0.6917;0.4749;0.597;0.3965;0.5946;0.7051;0.7668;0.5659;0.6618;0.3342
2012-01-03 18:00:00;0.2523;0.4556;0.3461;0.3091;0.3204;0.4735;0.2024;0.1374;0.4262;0.4576;0.3991;0.5722;0.4794;0.4207;0.4387;0.4254;0.4403;0.6128;0.386;0.4854;0.3764;0.5217;0.6627;0.7095;0.4608;0.5803;0.2778
