,node0,node1,transfer_capacity,efficiency,name,length,carrier
10,BA,MG,13127.121909995703,0.9994035315849366,"LT 500 kV Igaporã III - Janaúba 3, C1_LT 500 kV Rio das Éguas - Arinos 2, C1_LT 500 kV Poções III - Padre Paraíso 2, C1_LT 500 kV Igaporã III - Janaúba 3, C2_LT 500 kV Poções III - Padre Paraíso 2, C2_LT 500 kV Bom Jesus da Lapa II - Janaúba 3, C1_LT 500 kV Bom Jesus da Lapa II – Jaíba, C1 e C2 (CS)_LT 500 kV Bom Jesus da Lapa II – Jaíba, C1 e C2 (CS)_LT 500 kV Correntina - Arinos 2, C1_LT 500 kV Jussiape - São João do Paraíso, C1_LT 500 kV Jussiape - São João do Paraíso, C2_LT 500 kV Serra das Almas I - Serra das Almas II, C1",250.97177555666667,ac
11,BA,PE,4375.707303331901,0.9994035315849366,"LT 500 kV Luiz Gonzaga - Sobradinho C2_LT 500 kV Olindina - Luiz Gonzaga C1_LT 500 kV Juazeiro III - Luiz Gonzaga, C1_LT 500 kV Bom Nome II - Campo Formoso II, C1",300.6920146925,ac
12,BA,PI,8982.88952301006,0.9991566004263375,"LT 500 kV Sobradinho - São João do Piauí C2_LT 500 kV Sobradinho - São João do Piauí C1_LT 500 kV Buritirama - Gilbués II, C1_LT 500 kV Queimada Nova II - Buritirama, C2_LT 500 kV Queimada Nova II - Buritirama, C1_LT 500 kV Barreiras II - Gilbués II, C2_LT 230 kV Formosa do Rio Preto - Gilbués II, C1_LT 500 kV Altitude - Buritirama, C1_LT 500 kV Campos - Altitude, C1",216.01759936555555,ac
13,BA,SE,4838.657136024416,0.9985742262554863,"LT 230 kV Itabaianinha - Catu C1_LT 500 kV Camaçari IV - Jardim C1_LT 500 kV Xingó – Camaçari II, C1 e C2 (CD)_LT 230 kV Olindina - Itabaianinha, C1_LT 500 kV Porto de Sergipe - Olindina, C1",204.39183042,ac
14,BA,TO,462.94983269251503,0.997181151157545,"LT 230 kV Dianópolis II - Barreiras II, C1_LT 230 kV Formosa do Rio Preto - Dianópolis II, C1",201.46724079,ac
15,CE,PB,1556.8766585254903,0.9979219446333422,"LT 230 kV Milagres - Coremas, C1_LT 230 kV Milagres - Coremas, C2_LT 500 kV Santa Luzia II - Milagres II, C1",154.38509386333334,ac
16,CE,PE,1788.3515748717477,0.9977367462643929,LT 500 kV Luiz Gonzaga - Milagres C1_LT 230 kV Bom Nome - Milagres C3_LT 230 kV Bom Nome - Milagres C2_LT 230 kV Bom Nome - Milagres C1,124.09565735,ac
17,CE,PI,8351.9125298696,0.998736817456719,"LT 230 kV Picos - Tauá II C1_LT 230 kV Ibiapina II - Piripiri, C1_LT 500 kV Parnaíba III - Acaraú III, C1_LT 500 kV Teresina II - Tianguá II, C1_LT 500 kV Parnaíba III - Tianguá II, C1_LT 230 kV Ibiapina II - Piripiri, C2_LT 500 kV Milagres II - Queimada Nova II, C1_LT 500 kV Tianguá II - Teresina II, C2_LT 500 kV Curral Novo do Piauí II - Milagres II, C1_LT 500 kV Crateús - Teresina IV, C1",196.62523026,ac
18,CE,RN,5365.054724615244,0.9979153844033088,"LT 500 kV Açu III - Quixadá, C1_LT 230 kV Quixeré - Mossoró II C1_LT 230 kV Santo Inácio - Mossoró IV C1_LT 230 kV Alex - Mossoró II, C1_LT 230 kV Banabuiú - Mossoró II, C1_LT 500 kV Açu III - Milagres II, C2_LT 500 kV Jaguaruana II - Açu III, C1_LT 230 kV Jaguaruana II - Mossoró IV, C1 e C2 (CD)_LT 230 kV SE UFV Cascudo - SE Jaguaruana II, C1_LT 230 kV UFV Jaguar - Jaguaruana II, C1_LT 230 kV EOLs Kairós Wind - SE Mossoró IV",96.95419063272729,ac
19,DF,GO,8588.966473027605,0.9988204569728579,"LT 230 kV Brasília Sul - Pirineus C1_LT 500 kV Luziâna - Samambaia C1_LT 500 kV Serra da Mesa - Samambaia C3_LT 230 kV Brasilia Sul - Águas Lindas C1_LT 345 kV Bandeirantes - Samambaia C2_LT 345 kV UHE Corumbá - Brasilia Sul C1_LT 500 kV Serra da Mesa - Samambaia C2_LT 500 kV Serra da Mesa - Samambaia C1_LT 500 kV Luziânia - Brasília Leste, C2_LT 500 kV Luziânia - Brasília Leste, C1_LT 345 kV Pirineus - Samambaia, C1",145.46460307454547,ac
20,DF,MG,2187.8536516659506,0.9994035315849366,LT 500 kV Samambaia - Emborcação C1_LT 500 kV Samambaia - Itumbiara C1,291.88707015,ac
21,ES,MG,4497.023788316778,0.998357318074241,"LT 345 kV Padre Fialho - Vitória C1_LT 230 kV Aimores - Mascarenhas C2_LT 230 kV Aimores - Mascarenhas C1_LT 500 kV Mutum - Rio Novo do Sul, C1_LT 500 kV Mutum - Viana 2, C1_LT 500 kV Mesquita - João Neiva 2, C1_LT 230 kV Governador Valadares 6 - Verona, C1",128.58991398428572,ac
22,ES,RJ,1041.637123558159,0.9987471782922422,"LT 345 kV Campos dos Goytacazes - Rio Novo do Sul, C1_LT 345 kV Campos dos Goytacazes - Rio Novo do Sul, C2",123.920156605,ac
23,GO,MA,2800.4526741324157,0.9997670045253658,LT 800 kV Graça Aranha – Silvânia,1476.28409695,ac
24,GO,MG,18034.80582873018,0.9987948302607695,"LT 500 kV São Simão - UHE São Simão C1_LT 500 kV São Simão - UHE São Simão C2_LT 500 kV São Simão - UHE São Simão C3_LT 500 kV São Simão - UHE São Simão C4_LT 500 kV São Simão - UHE São Simão C5_LT 500 kV São Simão - UHE São Simão C6_LT 230 kV Itumbiara - Cachoeira Dourada C1_LT 230 kV Itumbiara - Rio Verde C1_LT 230 kV Itumbiara - Rio Verde C2_LT 345 kV Itumbiara - Bandeirantes C1_LT 345 kV Itumbiara - Bandeirantes C2_LT 345 kV UHE Corumbá - Itumbiara C1_LT 500 kV São Simão - Itaguaçu C1_LT 500 kV Rio Verde Norte - Itumbiara C1_LT 230 kV Paranaíba - Itumbiara, C1_LT 500 kV Luziânia - Paracatu 4 C1_LT 500 kV Luziânia - Pirapora 2 C1_LT 500 kV Marimbondo 2 - Rio Verde Norte, C2_LT 500 kV Marimbondo 2 - Rio Verde Norte, C1_LT 230 kV Itumbiara - Paranaíba, C2_LT 500 kV Silvânia – Nova Ponte 3 C1/C2 (CD)",124.93066109428571,ac
25,GO,MS,462.94983269251503,0.997181151157545,"LT 230 kV Chapadão - Jataí, C1_LT 230 kV Chapadão - Jataí, C2",138.08768945499997,ac
26,GO,MT,3976.2052265376983,0.9982923413712408,"LT 500 kV Ribeirãozinho - Rio Verde Norte C1_LT 500 kV Ribeirãozinho - Rio Verde Norte C2_LT 230 kV Rio Verde - Rondonópolis C1_LT 230 kV Rio Verde - Barra do Peixe C1_LT 230 kV Rio Verde - Barra do Peixe C2_LT 500 kV Ribeirãozinho - Rio Verde Norte, C3",273.6495628033333,ac
27,GO,TO,4607.182219678159,0.9989590554994582,"LT 500 kV Gurupi - UHE Serra da Mesa, C2_LT 500 kV Gurupi - UHE Serra da Mesa C1_LT 230 kV UHE Cana Brava - UHE São Salvador C1_LT 500 kV Peixe 2 - Serra da Mesa 2 C1_LT 500 kV Gurupi – Porangatu 2 C1",195.40581391400002,ac
28,MA,PA,4838.657136024416,0.9992409403837037,"LT 500 kV Açailândia - Marabá C2_LT 500 kV Açailândia - Marabá C1_LT 500 kV Imperatriz - Marabá C1_LT 500 kV Imperatriz - Marabá C2_LT 230 kV Açailândia - Dom Eliseu II, C1 e C2 (CD)",182.11374374,ac
29,MA,PI,7952.410453075397,0.9982923413712408,"LT 230 kV UHE Boa Esperança - Boa Esperança C1_LT 230 kV Teresina - Coelho Neto C1_LT 230 kV Balsas - Ribeiro Gonçalves C1_LT 500 kV Teresina II - Presidente Dutra C1_LT 230 kV Boa Esperança - Teresina C2_LT 230 kV Boa Esperança - Teresina C1_LT 500 kV Teresina II - Presidente Dutra C2_LT 500 kV São João do Piauí - Boa Esperança C1_LT 500 kV Bacabeira - Parnaíba III, C2_LT 500 kV Bacabeira - Parnaíba III, C1_LT 230 kV Ribeiro Gonçalves - Balsas, C2_LT 500 kV Teresina IV - Graça Aranha, C1",180.98574107166667,ac
30,MA,TO,2187.8536516659506,0.9994035315849366,LT 500 kV Imperatriz - Colinas C1_LT 500 kV Imperatriz - Colinas C2,344.611452515,ac
31,MG,MS,847.1369339250559,0.9992297670260027,LT 440 kV Ilha Solteira - Água Vermelha C1,142.40690944,ac
32,MG,RJ,8126.01664033509,0.9992244720423553,"LT 345 kV Adrianópolis - Itutinga C2_LT 345 kV Adrianópolis - Itutinga C1_LT 500 kV Campos 2 - Mutum, C1 e C2 (CD)_LT 500 kV Campos 2 - Mutum, C1 e C2 (CD)_LT 345 kV Leopoldina 2 - Lagos, C1_LT 500 kV Leopoldina 2 - Terminal Rio, C1 e C2 (CD)",198.1524079,ac
33,MG,SP,32010.486777524522,0.9991770877442889,"LT 440 kV Água Vermelha - Ribeirão Preto C1_LT 500 kV Araraquara FUR - Poços de Caldas C1_LT 500 kV Cachoeira Paulista - Itajubá 3 C1_LT 440 kV Água Vermelha - Araraquara CTP C1_LT 345 kV Estreito - UHE Luiz Carlos Barreto de Carvalho C2_LT 345 kV Estreito - UHE Luiz Carlos Barreto de Carvalho C1_LT 345 kV UHE Jaguara - Pimenta, C1_LT 345 kV UHE Jaguara - Pimenta, C2_LT 500 kV Estreito - Ribeirão Preto C1_LT 500 kV Jaguara - Nova Ponte, C1_LT 500 kV Jaguara - São Simão, C1_LT 500 kV Bom Despacho 3 - Jaguara, C1_LT 500 kV Bom Despacho 3 - Jaguara, C2_LT 345 kV Atibaia II - Poços de Caldas C1_LT 345 kV Campinas - Poços de Caldas C1_LT 345 kV Guarulhos - Poços de Caldas C1_LT 345 kV Guarulhos - Poços de Caldas C2_LT 345 kV UHE Porto Colômbia - Volta Grande C1_LT 345 kV UHE Luiz Carlos Barreto de Carvalho - Poços de Caldas C1_LT 345 kV UHE Luiz Carlos Barreto de Carvalho - Poços de Caldas C2_LT 500 kV Estreito - Jaguara, C1_LT 500 kV Poços de Caldas - Ribeirão Preto C1_LT 500 kV Marimbondo 2 - Assis, C1_LT 500 kV Marimbondo - Morro Agudo C1_LT 500 kV Marimbondo 2 - Araraquara FUR, C1_LT 500 kV Marimbondo 2 - Araraquara FUR, C2_LT 500 kV Fernão Dias - Estreito, C2_LT 500 kV Fernão Dias - Estreito, C1_LT 500 kV Estreito - Cachoeira Paulista, C1_LT 500 kV Estreito - Cachoeira Paulista, C2_LT 500 kV Nova Ponte 3 - Araraquara 2, C1 e C2_LT 500 kV Marimbondo II – Campinas C1_LT 500 kV Nova Ponte 3 – Ribeirão Preto C1/C2 (CD)_LT 345 kV UHE Jaguara - Araxá 3, C1_LT 500 kV Jaguara - Estreito, C2",204.06185391342856,ac
34,MS,PR,231.47491634625752,0.997181151157545,LT 230 kV Dourados - Guaira C1,226.06685248,ac
