state,value,reference_year,type,phase
AC,32.08655631659056,2017,biomass,potential
AL,466.2978637747336,2017,biomass,potential
AM,44.97358295281583,2017,biomass,potential
AP,2.0217218417047182,2017,biomass,potential
BA,737.7076407914764,2017,biomass,potential
CE,28.965863774733634,2017,biomass,potential
DF,0.0,2017,biomass,potential
ES,342.2014497716895,2017,biomass,potential
GO,2145.369752283105,2017,biomass,potential
MA,371.96896118721463,2017,biomass,potential
MG,2153.8683115677322,2017,biomass,potential
MS,2219.6788919330293,2017,biomass,potential
MT,1605.1890749619483,2017,biomass,potential
PA,117.76626377473363,2017,biomass,potential
PB,186.4329604261796,2017,biomass,potential
PE,476.6953614916286,2017,biomass,potential
PI,38.69264079147641,2017,biomass,potential
PR,3149.622420471842,2017,biomass,potential
RJ,126.29750494672754,2017,biomass,potential
RN,109.07489726027397,2017,biomass,potential
RO,45.39086529680365,2017,biomass,potential
RR,140.34455631659057,2017,biomass,potential
RS,1553.2391662861492,2017,biomass,potential
SC,646.2054642313547,2017,biomass,potential
SE,148.08002663622528,2017,biomass,potential
SP,8018.348367427702,2017,biomass,potential
TO,109.48703576864536,2017,biomass,potential
