state,value,reference_year,type,phase
AC,32.08655631659056,2015,biomass,potential
AL,466.2978637747336,2015,biomass,potential
AM,44.97358295281583,2015,biomass,potential
AP,2.0217218417047182,2015,biomass,potential
BA,737.7076407914764,2015,biomass,potential
CE,28.965863774733634,2015,biomass,potential
DF,0.0,2015,biomass,potential
ES,309.2014497716895,2015,biomass,potential
GO,2116.869752283105,2015,biomass,potential
MA,371.96896118721463,2015,biomass,potential
MG,2137.7883115677323,2015,biomass,potential
MS,1900.0988919330289,2015,biomass,potential
MT,1565.4930749619484,2015,biomass,potential
PA,106.56626377473364,2015,biomass,potential
PB,155.9329604261796,2015,biomass,potential
PE,476.6953614916286,2015,biomass,potential
PI,38.69264079147641,2015,biomass,potential
PR,3126.066420471842,2015,biomass,potential
RJ,126.29750494672754,2015,biomass,potential
RN,109.07489726027397,2015,biomass,potential
RO,45.39086529680365,2015,biomass,potential
RR,140.34455631659057,2015,biomass,potential
RS,1546.2391662861492,2015,biomass,potential
SC,631.9054642313547,2015,biomass,potential
SE,148.08002663622528,2015,biomass,potential
SP,7792.855367427703,2015,biomass,potential
TO,97.98703576864536,2015,biomass,potential
