state,value,reference_year,type,phase
AC,32.08655631659056,2014,biomass,potential
AL,466.2978637747336,2014,biomass,potential
AM,44.97358295281583,2014,biomass,potential
AP,2.0217218417047182,2014,biomass,potential
BA,737.7076407914764,2014,biomass,potential
CE,28.965863774733634,2014,biomass,potential
DF,0.0,2014,biomass,potential
ES,309.2014497716895,2014,biomass,potential
GO,2076.869752283105,2014,biomass,potential
MA,371.96896118721463,2014,biomass,potential
MG,2086.188311567732,2014,biomass,potential
MS,1900.0988919330289,2014,biomass,potential
MT,1565.4930749619484,2014,biomass,potential
PA,86.56626377473364,2014,biomass,potential
PB,155.9329604261796,2014,biomass,potential
PE,465.4953614916286,2014,biomass,potential
PI,38.69264079147641,2014,biomass,potential
PR,3083.066420471842,2014,biomass,potential
RJ,126.29750494672754,2014,biomass,potential
RN,109.07489726027397,2014,biomass,potential
RO,45.39086529680365,2014,biomass,potential
RR,140.34455631659057,2014,biomass,potential
RS,1538.2391662861492,2014,biomass,potential
SC,631.9054642313547,2014,biomass,potential
SE,148.08002663622528,2014,biomass,potential
SP,7688.802367427702,2014,biomass,potential
TO,97.98703576864536,2014,biomass,potential
