state,value,reference_year,type,phase
AC,32.08655631659056,2016,biomass,potential
AL,466.2978637747336,2016,biomass,potential
AM,44.97358295281583,2016,biomass,potential
AP,2.0217218417047182,2016,biomass,potential
BA,737.7076407914764,2016,biomass,potential
CE,28.965863774733634,2016,biomass,potential
DF,0.0,2016,biomass,potential
ES,342.2014497716895,2016,biomass,potential
GO,2145.369752283105,2016,biomass,potential
MA,371.96896118721463,2016,biomass,potential
MG,2137.7883115677323,2016,biomass,potential
MS,1950.0988919330289,2016,biomass,potential
MT,1605.1890749619483,2016,biomass,potential
PA,117.76626377473363,2016,biomass,potential
PB,186.4329604261796,2016,biomass,potential
PE,476.6953614916286,2016,biomass,potential
PI,38.69264079147641,2016,biomass,potential
PR,3141.066420471842,2016,biomass,potential
RJ,126.29750494672754,2016,biomass,potential
RN,109.07489726027397,2016,biomass,potential
RO,45.39086529680365,2016,biomass,potential
RR,140.34455631659057,2016,biomass,potential
RS,1553.2391662861492,2016,biomass,potential
SC,631.9054642313547,2016,biomass,potential
SE,148.08002663622528,2016,biomass,potential
SP,7975.248367427703,2016,biomass,potential
TO,109.48703576864536,2016,biomass,potential
