state,value,reference_year,type,phase
AC,32.08655631659056,2013,biomass,potential
AL,403.7978637747336,2013,biomass,potential
AM,44.97358295281583,2013,biomass,potential
AP,2.0217218417047182,2013,biomass,potential
BA,737.7076407914764,2013,biomass,potential
CE,28.965863774733634,2013,biomass,potential
DF,0.0,2013,biomass,potential
ES,309.2014497716895,2013,biomass,potential
GO,2044.8697522831048,2013,biomass,potential
MA,371.96896118721463,2013,biomass,potential
MG,2048.188311567732,2013,biomass,potential
MS,1870.0988919330289,2013,biomass,potential
MT,1565.4930749619484,2013,biomass,potential
PA,86.56626377473364,2013,biomass,potential
PB,155.9329604261796,2013,biomass,potential
PE,465.4953614916286,2013,biomass,potential
PI,38.69264079147641,2013,biomass,potential
PR,3077.066420471842,2013,biomass,potential
RJ,126.29750494672754,2013,biomass,potential
RN,109.07489726027397,2013,biomass,potential
RO,45.39086529680365,2013,biomass,potential
RR,140.34455631659057,2013,biomass,potential
RS,1538.2391662861492,2013,biomass,potential
SC,631.9054642313547,2013,biomass,potential
SE,148.08002663622528,2013,biomass,potential
SP,7468.775367427702,2013,biomass,potential
TO,97.98703576864536,2013,biomass,potential
