,state,time,value,sector
57,AL,2020,728270.0,Industrial
63,AL,2020,49490.0,Own Use
61,AL,2020,278250.0,Public Lighting
60,AL,2020,150270.0,Public Sector
62,AL,2020,232870.0,Public Service
56,AL,2020,1556610.0,Residential
59,AL,2020,223220.0,Rural
202,AL,2020,3948210.0,Total
66,AL,2021,814260.0,Commercial
65,AL,2021,1293940.0,Industrial
71,AL,2021,41910.0,Own Use
69,AL,2021,254950.0,Public Lighting
68,AL,2021,157270.0,Public Sector
70,AL,2021,238260.0,Public Service
64,AL,2021,1596720.0,Residential
67,AL,2021,237410.0,Rural
229,AL,2021,4634710.0,Total
74,AL,2022,862460.0,Commercial
73,AL,2022,1537220.0,Industrial
79,AL,2022,54190.0,Own Use
77,AL,2022,247500.0,Public Lighting
76,AL,2022,189250.0,Public Sector
78,AL,2022,227620.0,Public Service
72,AL,2022,1675590.0,Residential
75,AL,2022,166340.0,Rural
256,AL,2022,4960170.0,Total
2,AM,2013,1236080.0,Commercial
1,AM,2013,1783890.0,Industrial
7,AM,2013,122260.0,Own Use
5,AM,2013,192470.0,Public Lighting
4,AM,2013,551180.0,Public Sector
6,AM,2013,220740.0,Public Service
0,AM,2013,1783660.0,Residential
3,AM,2013,75940.0,Rural
2,AM,2013,5966220.0,Total
10,AM,2014,1310080.0,Commercial
9,AM,2014,1786930.0,Industrial
15,AM,2014,109480.0,Own Use
13,AM,2014,166100.0,Public Lighting
12,AM,2014,612180.0,Public Sector
14,AM,2014,198530.0,Public Service
8,AM,2014,2011400.0,Residential
11,AM,2014,80520.0,Rural
29,AM,2014,6275230.0,Total
18,AM,2015,1377700.0,Commercial
17,AM,2015,1670260.0,Industrial
23,AM,2015,54630.0,Own Use
21,AM,2015,168080.0,Public Lighting
20,AM,2015,637590.0,Public Sector
22,AM,2015,176810.0,Public Service
16,AM,2015,2190240.0,Residential
19,AM,2015,81910.0,Rural
56,AM,2015,6357220.0,Total
26,AM,2016,1267760.0,Commercial
25,AM,2016,1551800.0,Industrial
31,AM,2016,57310.0,Own Use
29,AM,2016,160060.0,Public Lighting
28,AM,2016,592960.0,Public Sector
30,AM,2016,161590.0,Public Service
24,AM,2016,2124620.0,Residential
27,AM,2016,74460.0,Rural
83,AM,2016,5990570.0,Total
34,AM,2017,1210870.0,Commercial
33,AM,2017,1594560.0,Industrial
39,AM,2017,15610.0,Own Use
37,AM,2017,170560.0,Public Lighting
36,AM,2017,572460.0,Public Sector
38,AM,2017,209730.0,Public Service
32,AM,2017,2002570.0,Residential
35,AM,2017,76100.0,Rural
110,AM,2017,5852470.0,Total
42,AM,2018,1262370.0,Commercial
41,AM,2018,1642700.0,Industrial
47,AM,2018,16370.000000000002,Own Use
45,AM,2018,170150.0,Public Lighting
44,AM,2018,571890.0,Public Sector
46,AM,2018,220220.0,Public Service
40,AM,2018,2004510.0,Residential
43,AM,2018,78220.0,Rural
137,AM,2018,5966430.0,Total
50,AM,2019,1349310.0,Commercial
49,AM,2019,1653880.0,Industrial
55,AM,2019,17710.0,Own Use
53,AM,2019,181060.0,Public Lighting
52,AM,2019,591730.0,Public Sector
54,AM,2019,230330.0,Public Service
48,AM,2019,2037250.0,Residential
51,AM,2019,80700.0,Rural
164,AM,2019,6141980.0,Total
58,AM,2020,1301200.0,Commercial
57,AM,2020,1661410.0,Industrial
63,AM,2020,13610.0,Own Use
61,AM,2020,207400.0,Public Lighting
60,AM,2020,459640.0,Public Sector
62,AM,2020,232760.0,Public Service
56,AM,2020,2253030.0,Residential
59,AM,2020,79080.0,Rural
191,AM,2020,6208130.0,Total
66,AM,2021,1356250.0,Commercial
65,AM,2021,1826240.0,Industrial
71,AM,2021,11320.0,Own Use
69,AM,2021,187670.0,Public Lighting
68,AM,2021,435440.0,Public Sector
70,AM,2021,236520.0,Public Service
64,AM,2021,2057739.9999999998,Residential
67,AM,2021,76760.0,Rural
218,AM,2021,6187940.0,Total
74,AM,2022,1438890.0,Commercial
73,AM,2022,1945210.0,Industrial
79,AM,2022,85400.0,Own Use
77,AM,2022,141060.0,Public Lighting
76,AM,2022,538690.0,Public Sector
78,AM,2022,246740.0,Public Service
72,AM,2022,2239730.0,Residential
75,AM,2022,79040.0,Rural
245,AM,2022,6714760.0,Total
2,AP,2013,237580.0,Commercial
1,AP,2013,38010.0,Industrial
7,AP,2013,11500.0,Own Use
5,AP,2013,41000.0,Public Lighting
4,AP,2013,107620.0,Public Sector
6,AP,2013,22380.0,Public Service
0,AP,2013,499600.0,Residential
3,AP,2013,3230.0,Rural
5,AP,2013,960900.0,Total
10,AP,2014,255360.0,Commercial
9,AP,2014,39220.0,Industrial
15,AP,2014,11340.0,Own Use
