REGION,FUEL,TIMESLICE,YEAR,VALUE
NORDESTE,DEM,1,2024,9.850534962523494e-05
NORDESTE,DEM,2,2024,9.874935640761658e-05
NORDESTE,DEM,3,2024,9.869320658433492e-05
NORDESTE,DEM,4,2024,9.802374241614814e-05
NORDESTE,DEM,5,2024,9.680116480419203e-05
NORDESTE,DEM,6,2024,8.950583306654598e-05
NORDESTE,DEM,7,2024,8.30686703562027e-05
NORDESTE,DEM,8,2024,7.866269923973889e-05
NORDESTE,DEM,9,2024,7.515569056245862e-05
NORDESTE,DEM,10,2024,7.217042302835575e-05
NORDESTE,DEM,11,2024,7.10386649292243e-05
NORDESTE,DEM,12,2024,7.177162738749806e-05
NORDESTE,DEM,13,2024,7.269018573816246e-05
NORDESTE,DEM,14,2024,7.366159652315742e-05
NORDESTE,DEM,15,2024,7.733790257029859e-05
NORDESTE,DEM,16,2024,8.245592127797488e-05
NORDESTE,DEM,17,2024,8.730261198053186e-05
NORDESTE,DEM,18,2024,9.389296196043208e-05
NORDESTE,DEM,19,2024,0.00010698642242969762
NORDESTE,DEM,20,2024,0.00011024377165782296
NORDESTE,DEM,21,2024,0.00011033864224850183
NORDESTE,DEM,22,2024,0.0001115224990930607
NORDESTE,DEM,23,2024,0.00011137986346814726
NORDESTE,DEM,24,2024,0.00010971157308111492
NORDESTE,DEM,25,2024,0.00010650830103178769
NORDESTE,DEM,26,2024,0.00010420125929937027
NORDESTE,DEM,27,2024,0.00010241793714350088
NORDESTE,DEM,28,2024,0.00010084677841385675
NORDESTE,DEM,29,2024,9.969975811443734e-05
NORDESTE,DEM,30,2024,9.450561682754701e-05
NORDESTE,DEM,31,2024,9.198104163546967e-05
NORDESTE,DEM,32,2024,9.317064535791474e-05
NORDESTE,DEM,33,2024,9.711347464341793e-05
NORDESTE,DEM,34,2024,9.615421709198562e-05
NORDESTE,DEM,35,2024,9.585227047517748e-05
NORDESTE,DEM,36,2024,9.598529656657625e-05
NORDESTE,DEM,37,2024,9.411473492017197e-05
NORDESTE,DEM,38,2024,9.817382071897977e-05
NORDESTE,DEM,39,2024,0.00010433193011294684
NORDESTE,DEM,40,2024,0.00010669983222429034
NORDESTE,DEM,41,2024,0.000108819676475398
NORDESTE,DEM,42,2024,0.00010688523969445522
NORDESTE,DEM,43,2024,0.0001118414037101888
NORDESTE,DEM,44,2024,0.00011337242850574238
NORDESTE,DEM,45,2024,0.00011230577028561699
NORDESTE,DEM,46,2024,0.000116998425818601
NORDESTE,DEM,47,2024,0.00011752685595079348
NORDESTE,DEM,48,2024,0.00011468186876378182
NORDESTE,DEM,49,2024,0.0001106628226879517
NORDESTE,DEM,50,2024,0.00010790403866923316
NORDESTE,DEM,51,2024,0.00010576233743993531
NORDESTE,DEM,52,2024,0.00010458432168437553
NORDESTE,DEM,53,2024,0.00010371757944579989
NORDESTE,DEM,54,2024,9.747241898352372e-05
NORDESTE,DEM,55,2024,9.317281221351119e-05
NORDESTE,DEM,56,2024,9.56643193049646e-05
NORDESTE,DEM,57,2024,9.931273886269074e-05
NORDESTE,DEM,58,2024,0.00010023176826891959
NORDESTE,DEM,59,2024,0.00010009516215523102
NORDESTE,DEM,60,2024,9.908286374724242e-05
NORDESTE,DEM,61,2024,9.880154936415689e-05
NORDESTE,DEM,62,2024,0.0001033445976498737
NORDESTE,DEM,63,2024,0.0001087907536637412
NORDESTE,DEM,64,2024,0.00011177328907557029
NORDESTE,DEM,65,2024,0.00011319144895788325
NORDESTE,DEM,66,2024,0.00010940736539759745
NORDESTE,DEM,67,2024,0.00011542971657789196
NORDESTE,DEM,68,2024,0.00011625387539344195
NORDESTE,DEM,69,2024,0.00011445840000400993
NORDESTE,DEM,70,2024,0.00011755285821795075
NORDESTE,DEM,71,2024,0.00011739552565942668
NORDESTE,DEM,72,2024,0.00011443173825906242
NORDESTE,DEM,73,2024,0.00011089533571456089
NORDESTE,DEM,74,2024,0.00010743062782696765
NORDESTE,DEM,75,2024,0.00010544823758956453
NORDESTE,DEM,76,2024,0.00010393049656092827
NORDESTE,DEM,77,2024,0.00010251751828982419
NORDESTE,DEM,78,2024,9.629845430581815e-05
NORDESTE,DEM,79,2024,9.206319372590858e-05
NORDESTE,DEM,80,2024,9.407884048616138e-05
NORDESTE,DEM,81,2024,9.67914610595645e-05
NORDESTE,DEM,82,2024,9.747854270586147e-05
NORDESTE,DEM,83,2024,9.769485142105382e-05
NORDESTE,DEM,84,2024,9.77964110007478e-05
NORDESTE,DEM,85,2024,9.703132255297902e-05
NORDESTE,DEM,86,2024,0.00010152500421554218
NORDESTE,DEM,87,2024,0.00010746774700544579
NORDESTE,DEM,88,2024,0.00011182821415438438
NORDESTE,DEM,89,2024,0.00011364111859970081
NORDESTE,DEM,90,2024,0.00010955122576697844
NORDESTE,DEM,91,2024,0.00011569162347172242
NORDESTE,DEM,92,2024,0.00011756576514041648
NORDESTE,DEM,93,2024,0.0001165822011218589
NORDESTE,DEM,94,2024,0.00012086569779156748
NORDESTE,DEM,95,2024,0.00012086692253603502
NORDESTE,DEM,96,2024,0.0001178240920119572
NORDESTE,DEM,97,2024,0.00011361276105472133
NORDESTE,DEM,98,2024,0.00011130449457783633
NORDESTE,DEM,99,2024,0.00010919322353800154
NORDESTE,DEM,100,2024,0.00010661070851149766
NORDESTE,DEM,101,2024,0.00010541479264448907
NORDESTE,DEM,102,2024,9.897960836751644e-05
NORDESTE,DEM,103,2024,9.435751695808603e-05
NORDESTE,DEM,104,2024,9.596852698848207e-05
NORDESTE,DEM,105,2024,9.95016321440325e-05
NORDESTE,DEM,106,2024,9.823449267568006e-05
NORDESTE,DEM,107,2024,9.892864015544368e-05
NORDESTE,DEM,108,2024,9.922973887223584e-05
NORDESTE,DEM,109,2024,9.826887973188441e-05
NORDESTE,DEM,110,2024,0.00010374518330187627
NORDESTE,DEM,111,2024,0.00011032243793708498
NORDESTE,DEM,112,2024,0.00011465982336336586
NORDESTE,DEM,113,2024,0.00011819745065233494
NORDESTE,DEM,114,2024,0.0001162675360048108
NORDESTE,DEM,115,2024,0.00011970925638085921
NORDESTE,DEM,116,2024,0.00012076536295634106
NORDESTE,DEM,117,2024,0.00012045936526167871
NORDESTE,DEM,118,2024,0.00012451958159384117
NORDESTE,DEM,119,2024,0.00012446069964828574
NORDESTE,DEM,120,2024,0.00012181044683161494
NORDESTE,DEM,121,2024,0.0001184403269013619
NORDESTE,DEM,122,2024,0.00011488366896758932
NORDESTE,DEM,123,2024,0.00011208465680366731
NORDESTE,DEM,124,2024,0.00011012007246660014
NORDESTE,DEM,125,2024,0.00010856502383725997
NORDESTE,DEM,126,2024,0.00010256679070186495
NORDESTE,DEM,127,2024,9.769080034319963e-05
NORDESTE,DEM,128,2024,9.893824968895833e-05
NORDESTE,DEM,129,2024,0.00010134261150098974
NORDESTE,DEM,130,2024,0.00010093251052658542
NORDESTE,DEM,131,2024,0.00010141166824673713
NORDESTE,DEM,132,2024,0.00010093382948216586
NORDESTE,DEM,133,2024,0.00010030996349261718
NORDESTE,DEM,134,2024,0.00010458582906218176
NORDESTE,DEM,135,2024,0.00011108291004032222
NORDESTE,DEM,136,2024,0.00011521717630721516
NORDESTE,DEM,137,2024,0.00011772667772123031
NORDESTE,DEM,138,2024,0.00011450192553816448
NORDESTE,DEM,139,2024,0.00011924375927207636
NORDESTE,DEM,140,2024,0.00012027640728044893
NORDESTE,DEM,141,2024,0.00011993649358514666
NORDESTE,DEM,142,2024,0.00012383786998097882
NORDESTE,DEM,143,2024,0.00012462783016255023
NORDESTE,DEM,144,2024,0.00012242065220979475
NORDESTE,DEM,145,2024,0.00011836966856669539
NORDESTE,DEM,146,2024,0.00011522838742964891
NORDESTE,DEM,147,2024,0.00011279463175039622
NORDESTE,DEM,148,2024,0.00011190904728924286
NORDESTE,DEM,149,2024,0.00011018413602336442
NORDESTE,DEM,150,2024,0.00010362638308852367
NORDESTE,DEM,151,2024,9.806962322812491e-05
NORDESTE,DEM,152,2024,9.4376170758438e-05
NORDESTE,DEM,153,2024,9.299305741011964e-05
NORDESTE,DEM,154,2024,9.161700989526789e-05
NORDESTE,DEM,155,2024,9.173298377523382e-05
NORDESTE,DEM,156,2024,9.012960484498179e-05
NORDESTE,DEM,157,2024,8.958572409027558e-05
NORDESTE,DEM,158,2024,9.089214959270256e-05
NORDESTE,DEM,159,2024,9.333202899429302e-05
NORDESTE,DEM,160,2024,9.72258685010941e-05
NORDESTE,DEM,161,2024,0.00010138905757964385
NORDESTE,DEM,162,2024,0.0001061710252476463
NORDESTE,DEM,163,2024,0.00011866078090552136
NORDESTE,DEM,164,2024,0.00012204107563596637
NORDESTE,DEM,165,2024,0.00012054434368550427
NORDESTE,DEM,166,2024,0.0001204352472167792
NORDESTE,DEM,167,2024,0.00011943039148670879
NORDESTE,DEM,168,2024,0.000117854710623646
NORDESTE,DEM,169,2024,0.00011395503002784583
NORDESTE,DEM,170,2024,0.00011112002921880035
NORDESTE,DEM,171,2024,0.00010858537343764392
NORDESTE,DEM,172,2024,0.0001069775665850861
NORDESTE,DEM,173,2024,0.00010569459964976837
NORDESTE,DEM,174,2024,9.827603977646395e-05
NORDESTE,DEM,175,2024,8.969858900351617e-05
NORDESTE,DEM,176,2024,8.428870426811083e-05
NORDESTE,DEM,177,2024,8.148526418188304e-05
NORDESTE,DEM,178,2024,7.812296377399977e-05
NORDESTE,DEM,179,2024,7.69308163515067e-05
NORDESTE,DEM,180,2024,7.828858691045803e-05
NORDESTE,DEM,181,2024,7.941224285388104e-05
NORDESTE,DEM,182,2024,8.164956836276087e-05
NORDESTE,DEM,183,2024,8.50371173488983e-05
NORDESTE,DEM,184,2024,8.96984005812904e-05
NORDESTE,DEM,185,2024,9.374947843550265e-05
NORDESTE,DEM,186,2024,9.929455611790322e-05
NORDESTE,DEM,187,2024,0.00011219818119469816
NORDESTE,DEM,188,2024,0.00011528792885299454
NORDESTE,DEM,189,2024,0.00011487942946750932
NORDESTE,DEM,190,2024,0.00011634422385070216
NORDESTE,DEM,191,2024,0.00011720785712255248
NORDESTE,DEM,192,2024,0.00011540569274410536
NORDESTE,DEM,193,2024,0.00011174248204165571
NORDESTE,DEM,194,2024,0.00010904757315747566
NORDESTE,DEM,195,2024,0.00010660938955591724
NORDESTE,DEM,196,2024,0.0001054692466677387
NORDESTE,DEM,197,2024,0.00010413380414254198
NORDESTE,DEM,198,2024,9.85870306601094e-05
NORDESTE,DEM,199,2024,9.426584954524537e-05
NORDESTE,DEM,200,2024,9.739158584866525e-05
NORDESTE,DEM,201,2024,0.00010187584639993954
NORDESTE,DEM,202,2024,0.0001022757725741519
NORDESTE,DEM,203,2024,0.00010212333899349805
NORDESTE,DEM,204,2024,0.00010193538782328517
NORDESTE,DEM,205,2024,0.00010062217912073018
NORDESTE,DEM,206,2024,0.00010551606959084436
NORDESTE,DEM,207,2024,0.00011097777043833848
NORDESTE,DEM,208,2024,0.00011543697083358439
NORDESTE,DEM,209,2024,0.00011848272190216178
NORDESTE,DEM,210,2024,0.00011337440693911302
NORDESTE,DEM,211,2024,0.00011776718849977244
NORDESTE,DEM,212,2024,0.00012027207356925605
NORDESTE,DEM,213,2024,0.0001198073301493763
NORDESTE,DEM,214,2024,0.00012494871321304897
NORDESTE,DEM,215,2024,0.00012523822396295583
NORDESTE,DEM,216,2024,0.00012169513242943922
NORDESTE,DEM,217,2024,0.0001174860625389127
NORDESTE,DEM,218,2024,0.00011394419574986362
NORDESTE,DEM,219,2024,0.00011229785655213434
NORDESTE,DEM,220,2024,0.00011017490333430136
NORDESTE,DEM,221,2024,0.00010797884229286674
NORDESTE,DEM,222,2024,0.00010139989185762604
NORDESTE,DEM,223,2024,9.692608873988239e-05
NORDESTE,DEM,224,2024,0.00010015913150088244
NORDESTE,DEM,225,2024,0.00010409621390849941
NORDESTE,DEM,226,2024,0.00010376525026892155
NORDESTE,DEM,227,2024,0.00010432684271285084
NORDESTE,DEM,228,2024,0.00010314053637935687
NORDESTE,DEM,229,2024,0.00010004419394315827
NORDESTE,DEM,230,2024,0.00010476379385442843
NORDESTE,DEM,231,2024,0.00011092388168176617
NORDESTE,DEM,232,2024,0.00011631718526130313
NORDESTE,DEM,233,2024,0.00011770924866534592
NORDESTE,DEM,234,2024,0.00011445227628167215
NORDESTE,DEM,235,2024,0.00011791236782473387
NORDESTE,DEM,236,2024,0.00011908915883582608
NORDESTE,DEM,237,2024,0.00011916660037062055
NORDESTE,DEM,238,2024,0.00012425202203323737
NORDESTE,DEM,239,2024,0.00012489152706752558
NORDESTE,DEM,240,2024,0.00012261293709120053
NORDESTE,DEM,241,2024,0.0001183497900218759
NORDESTE,DEM,242,2024,0.00011539344529942983
NORDESTE,DEM,243,2024,0.0001129170119860386
NORDESTE,DEM,244,2024,0.00011192939688962681
NORDESTE,DEM,245,2024,0.00010996311675252764
NORDESTE,DEM,246,2024,0.00010400784388460986
NORDESTE,DEM,247,2024,9.880720203093021e-05
NORDESTE,DEM,248,2024,0.00010074192144521168
NORDESTE,DEM,249,2024,0.00010350287231952666
NORDESTE,DEM,250,2024,0.00010448398684914912
NORDESTE,DEM,251,2024,0.00010454767356146186
NORDESTE,DEM,252,2024,0.00010425194487810435
NORDESTE,DEM,253,2024,0.00010305913797782108
NORDESTE,DEM,254,2024,0.00010831206699915392
NORDESTE,DEM,255,2024,0.00011340332975076985
NORDESTE,DEM,256,2024,0.00011728275495729897
NORDESTE,DEM,257,2024,0.00011987139370614058
NORDESTE,DEM,258,2024,0.00011556980850275741
NORDESTE,DEM,259,2024,0.00011847904766875913
NORDESTE,DEM,260,2024,0.00012111714725186732
NORDESTE,DEM,261,2024,0.00012058918817523927
NORDESTE,DEM,262,2024,0.00012602808993341432
NORDESTE,DEM,263,2024,0.00012621971533702988
NORDESTE,DEM,264,2024,0.00012290112888552692
NORDESTE,DEM,265,2024,0.00011859379680425752
NORDESTE,DEM,266,2024,0.00011496553842468957
NORDESTE,DEM,267,2024,0.0001123738849202355
NORDESTE,DEM,268,2024,0.00011134585325639447
NORDESTE,DEM,269,2024,0.00011100886010559173
NORDESTE,DEM,270,2024,0.00010597374717725747
NORDESTE,DEM,271,2024,0.0001009974219833657
NORDESTE,DEM,272,2024,0.00010241746608793643
NORDESTE,DEM,273,2024,0.00010512245556119555
NORDESTE,DEM,274,2024,0.00010584778691932532
NORDESTE,DEM,275,2024,0.00010644225904165276
NORDESTE,DEM,276,2024,0.00010591806840954025
NORDESTE,DEM,277,2024,0.00010397486999509881
NORDESTE,DEM,278,2024,0.00010833430082179565
NORDESTE,DEM,279,2024,0.00011343470205136179
NORDESTE,DEM,280,2024,0.00011591933173157431
NORDESTE,DEM,281,2024,0.00011880388758599921
NORDESTE,DEM,282,2024,0.0001153515213541944
NORDESTE,DEM,283,2024,0.00011792847792503782
NORDESTE,DEM,284,2024,0.00011948380918771665
NORDESTE,DEM,285,2024,0.00011873012028460741
NORDESTE,DEM,286,2024,0.00012321390978031724
NORDESTE,DEM,287,2024,0.00012340741940619057
NORDESTE,DEM,288,2024,0.00012147373631415087
NORDESTE,DEM,289,2024,0.00011849421565793421
NORDESTE,DEM,290,2024,0.0001167400989470603
NORDESTE,DEM,291,2024,0.00011386590631505315
NORDESTE,DEM,292,2024,0.0001119103662448233
NORDESTE,DEM,293,2024,0.00011077465127895055
NORDESTE,DEM,294,2024,0.00010547640671231823
NORDESTE,DEM,295,2024,0.00010123587031008689
NORDESTE,DEM,296,2024,0.00010282502336229276
NORDESTE,DEM,297,2024,0.00010457386425084491
NORDESTE,DEM,298,2024,0.00010396752152829351
NORDESTE,DEM,299,2024,0.00010440541478099998
NORDESTE,DEM,300,2024,0.00010407737168592168
NORDESTE,DEM,301,2024,0.0001019087260783377
NORDESTE,DEM,302,2024,0.00010703230324167441
NORDESTE,DEM,303,2024,0.00011309827416723638
NORDESTE,DEM,304,2024,0.0001162957993386774
NORDESTE,DEM,305,2024,0.000117986700392803
NORDESTE,DEM,306,2024,0.00011581673582963857
NORDESTE,DEM,307,2024,0.0001201413085445666
NORDESTE,DEM,308,2024,0.00012254378613434024
NORDESTE,DEM,309,2024,0.00012187865567734632
NORDESTE,DEM,310,2024,0.0001249060355789104
NORDESTE,DEM,311,2024,0.00012575949405056877
NORDESTE,DEM,312,2024,0.00012407433987432937
NORDESTE,DEM,313,2024,0.00012074454230039268
NORDESTE,DEM,314,2024,0.00011863769918286363
NORDESTE,DEM,315,2024,0.000115822294285299
NORDESTE,DEM,316,2024,0.00011379628430262842
NORDESTE,DEM,317,2024,0.00011174813470842904
NORDESTE,DEM,318,2024,0.00010571918875023232
NORDESTE,DEM,319,2024,9.937689663056791e-05
NORDESTE,DEM,320,2024,9.875792961888944e-05
NORDESTE,DEM,321,2024,9.820641776403924e-05
NORDESTE,DEM,322,2024,9.662310580083248e-05
NORDESTE,DEM,323,2024,9.50622160824932e-05
NORDESTE,DEM,324,2024,9.558367459233192e-05
NORDESTE,DEM,325,2024,9.348936155281706e-05
NORDESTE,DEM,326,2024,9.604078691206767e-05
NORDESTE,DEM,327,2024,9.885355389847142e-05
NORDESTE,DEM,328,2024,0.00010080673869087906
NORDESTE,DEM,329,2024,0.0001040040754400943
NORDESTE,DEM,330,2024,0.00010875156184077951
NORDESTE,DEM,331,2024,0.00012051664561831502
NORDESTE,DEM,332,2024,0.00012340581781727147
NORDESTE,DEM,333,2024,0.00012198002683481452
NORDESTE,DEM,334,2024,0.0001225126022559741
NORDESTE,DEM,335,2024,0.00012190908586680935
NORDESTE,DEM,336,2024,0.00012051014505152569
NORDESTE,DEM,337,2024,0.00011757923732955956
NORDESTE,DEM,338,2024,0.00011402766679588298
NORDESTE,DEM,339,2024,0.00011130977040015811
NORDESTE,DEM,340,2024,0.00010955838581155798
NORDESTE,DEM,341,2024,0.00010717983784445804
NORDESTE,DEM,342,2024,0.00010016883524550996
NORDESTE,DEM,343,2024,9.348644100831752e-05
NORDESTE,DEM,344,2024,8.878191487510954e-05
NORDESTE,DEM,345,2024,8.563884372691816e-05
NORDESTE,DEM,346,2024,8.457275077347013e-05
NORDESTE,DEM,347,2024,8.227475330789e-05
NORDESTE,DEM,348,2024,8.154565350524469e-05
NORDESTE,DEM,349,2024,8.263520502580198e-05
NORDESTE,DEM,350,2024,8.414051018753696e-05
NORDESTE,DEM,351,2024,8.657794010019231e-05
NORDESTE,DEM,352,2024,9.099031757233255e-05
NORDESTE,DEM,353,2024,9.625474034943782e-05
NORDESTE,DEM,354,2024,0.00010216950243881349
NORDESTE,DEM,355,2024,0.00011490731595692436
NORDESTE,DEM,356,2024,0.00011828940069851428
NORDESTE,DEM,357,2024,0.00011837098752227585
NORDESTE,DEM,358,2024,0.00011944047207578789
NORDESTE,DEM,359,2024,0.00011946647434294514
NORDESTE,DEM,360,2024,0.00011741144733750487
NORDESTE,DEM,361,2024,0.0001144867575489894
NORDESTE,DEM,362,2024,0.00011148424938122789
NORDESTE,DEM,363,2024,0.00010925898289479782
NORDESTE,DEM,364,2024,0.00010667590260161662
NORDESTE,DEM,365,2024,0.0001055547903582416
NORDESTE,DEM,366,2024,0.00010090735615944416
NORDESTE,DEM,367,2024,9.682839181581684e-05
NORDESTE,DEM,368,2024,0.00010133092932299155
NORDESTE,DEM,369,2024,0.00010687525331648901
NORDESTE,DEM,370,2024,0.00010701214206351624
NORDESTE,DEM,371,2024,0.00010692593889522312
NORDESTE,DEM,372,2024,0.00010626005474932609
NORDESTE,DEM,373,2024,0.00010481853051101675
NORDESTE,DEM,374,2024,0.00010896881266710075
NORDESTE,DEM,375,2024,0.00011367729566705005
NORDESTE,DEM,376,2024,0.0001169376596507878
NORDESTE,DEM,377,2024,0.00011912495905872376
NORDESTE,DEM,378,2024,0.00011596304568795465
NORDESTE,DEM,379,2024,0.00012077393616761393
NORDESTE,DEM,380,2024,0.00012143916083572075
NORDESTE,DEM,381,2024,0.00012171877941877428
NORDESTE,DEM,382,2024,0.00012632607968348115
NORDESTE,DEM,383,2024,0.00012656895593250812
NORDESTE,DEM,384,2024,0.00012365641937755526
NORDESTE,DEM,385,2024,0.00011955060486675471
NORDESTE,DEM,386,2024,0.0001156802239270629
NORDESTE,DEM,387,2024,0.00011145372498065197
NORDESTE,DEM,388,2024,0.00010998139370842804
NORDESTE,DEM,389,2024,0.00010971958102571045
NORDESTE,DEM,390,2024,0.00010516456792865678
NORDESTE,DEM,391,2024,9.989496354034264e-05
NORDESTE,DEM,392,2024,0.00010267814823729934
NORDESTE,DEM,393,2024,0.00010671330441343343
NORDESTE,DEM,394,2024,0.00010472394255367654
NORDESTE,DEM,395,2024,0.00010506517520455926
NORDESTE,DEM,396,2024,0.00010537399923260827
NORDESTE,DEM,397,2024,0.00010338548527286738
NORDESTE,DEM,398,2024,0.00010723212501211125
NORDESTE,DEM,399,2024,0.00011177291223111874
NORDESTE,DEM,400,2024,0.00011564979373759987
NORDESTE,DEM,401,2024,0.00011723357675637108
NORDESTE,DEM,402,2024,0.00011175595423079879
NORDESTE,DEM,403,2024,0.00011541850545545821
NORDESTE,DEM,404,2024,0.00011713861195457931
NORDESTE,DEM,405,2024,0.0001164420149858806
NORDESTE,DEM,406,2024,0.00012146714153624867
NORDESTE,DEM,407,2024,0.000120976113215873
NORDESTE,DEM,408,2024,0.00011845210329047297
NORDESTE,DEM,409,2024,0.00011713625667675709
NORDESTE,DEM,410,2024,0.00011431340910127427
NORDESTE,DEM,411,2024,0.00011145645710292574
NORDESTE,DEM,412,2024,0.00010877049827447012
