REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
SUL,IMPLFO,EMIC02,1,2027,69.3
SUL,IMPLFO,EMIC02,1,2028,69.3
SUL,IMPLFO,EMIC02,1,2029,69.3
SUL,IMPLFO,EMIC02,1,2030,69.3
SUL,IMPHFO,EMIC02,1,2024,77.4
SUL,IMPHFO,EMIC02,1,2025,77.4
SUL,IMPHFO,EMIC02,1,2026,77.4
SUL,IMPHFO,EMIC02,1,2027,77.4
SUL,IMPHFO,EMIC02,1,2028,77.4
SUL,IMPHFO,EMIC02,1,2029,77.4
SUL,IMPHFO,EMIC02,1,2030,77.4
SUL,IMPNGS,EMIC02,1,2024,56.1
SUL,IMPNGS,EMIC02,1,2025,56.1
SUL,IMPNGS,EMIC02,1,2026,56.1
SUL,IMPNGS,EMIC02,1,2027,56.1
SUL,IMPNGS,EMIC02,1,2028,56.1
SUL,IMPNGS,EMIC02,1,2029,56.1
SUL,IMPNGS,EMIC02,1,2030,56.1
SUL,MINNGS,EMIC02,1,2024,56.1
SUL,MINNGS,EMIC02,1,2025,56.1
SUL,MINNGS,EMIC02,1,2026,56.1
SUL,MINNGS,EMIC02,1,2027,56.1
SUL,MINNGS,EMIC02,1,2028,56.1
SUL,MINNGS,EMIC02,1,2029,56.1
SUL,MINNGS,EMIC02,1,2030,56.1
NORTE,IMPOIL,EMIC02,1,2024,73.3
NORTE,IMPOIL,EMIC02,1,2025,73.3
NORTE,IMPOIL,EMIC02,1,2026,73.3
NORTE,IMPOIL,EMIC02,1,2027,73.3
NORTE,IMPOIL,EMIC02,1,2028,73.3
NORTE,IMPOIL,EMIC02,1,2029,73.3
NORTE,IMPOIL,EMIC02,1,2030,73.3
NORTE,MINOIL,EMIC02,1,2024,73.3
NORTE,MINOIL,EMIC02,1,2025,73.3
NORTE,MINOIL,EMIC02,1,2026,73.3
NORTE,MINOIL,EMIC02,1,2027,73.3
NORTE,MINOIL,EMIC02,1,2028,73.3
NORTE,MINOIL,EMIC02,1,2029,73.3
NORTE,MINOIL,EMIC02,1,2030,73.3
NORTE,IMPBIO,EMIC02,1,2024,100.0
NORTE,IMPBIO,EMIC02,1,2025,100.0
NORTE,IMPBIO,EMIC02,1,2026,100.0
NORTE,IMPBIO,EMIC02,1,2027,100.0
NORTE,IMPBIO,EMIC02,1,2028,100.0
NORTE,IMPBIO,EMIC02,1,2029,100.0
NORTE,IMPBIO,EMIC02,1,2030,100.0
NORTE,MINBIO,EMIC02,1,2024,100.0
NORTE,MINBIO,EMIC02,1,2025,100.0
NORTE,MINBIO,EMIC02,1,2026,100.0
NORTE,MINBIO,EMIC02,1,2027,100.0
NORTE,MINBIO,EMIC02,1,2028,100.0
NORTE,MINBIO,EMIC02,1,2029,100.0
NORTE,MINBIO,EMIC02,1,2030,100.0
NORTE,IMPCOA,EMIC02,1,2024,94.6
NORTE,IMPCOA,EMIC02,1,2025,94.6
NORTE,IMPCOA,EMIC02,1,2026,94.6
NORTE,IMPCOA,EMIC02,1,2027,94.6
NORTE,IMPCOA,EMIC02,1,2028,94.6
NORTE,IMPCOA,EMIC02,1,2029,94.6
NORTE,IMPCOA,EMIC02,1,2030,94.6
NORTE,MINCOA,EMIC02,1,2024,94.6
NORTE,MINCOA,EMIC02,1,2025,94.6
NORTE,MINCOA,EMIC02,1,2026,94.6
NORTE,MINCOA,EMIC02,1,2027,94.6
NORTE,MINCOA,EMIC02,1,2028,94.6
NORTE,MINCOA,EMIC02,1,2029,94.6
NORTE,MINCOA,EMIC02,1,2030,94.6
NORTE,IMPLFO,EMIC02,1,2024,69.3
NORTE,IMPLFO,EMIC02,1,2025,69.3
NORTE,IMPLFO,EMIC02,1,2026,69.3
NORTE,IMPLFO,EMIC02,1,2027,69.3
NORTE,IMPLFO,EMIC02,1,2028,69.3
NORTE,IMPLFO,EMIC02,1,2029,69.3
NORTE,IMPLFO,EMIC02,1,2030,69.3
NORTE,IMPHFO,EMIC02,1,2024,77.4
NORTE,IMPHFO,EMIC02,1,2025,77.4
NORTE,IMPHFO,EMIC02,1,2026,77.4
NORTE,IMPHFO,EMIC02,1,2027,77.4
NORTE,IMPHFO,EMIC02,1,2028,77.4
NORTE,IMPHFO,EMIC02,1,2029,77.4
NORTE,IMPHFO,EMIC02,1,2030,77.4
NORTE,IMPNGS,EMIC02,1,2024,56.1
NORTE,IMPNGS,EMIC02,1,2025,56.1
NORTE,IMPNGS,EMIC02,1,2026,56.1
NORTE,IMPNGS,EMIC02,1,2027,56.1
NORTE,IMPNGS,EMIC02,1,2028,56.1
NORTE,IMPNGS,EMIC02,1,2029,56.1
NORTE,IMPNGS,EMIC02,1,2030,56.1
NORTE,MINNGS,EMIC02,1,2024,56.1
NORTE,MINNGS,EMIC02,1,2025,56.1
NORTE,MINNGS,EMIC02,1,2026,56.1
NORTE,MINNGS,EMIC02,1,2027,56.1
NORTE,MINNGS,EMIC02,1,2028,56.1
NORTE,MINNGS,EMIC02,1,2029,56.1
NORTE,MINNGS,EMIC02,1,2030,56.1
SUDESTE,IMPOIL,EMIC02,1,2024,73.3
SUDESTE,IMPOIL,EMIC02,1,2025,73.3
SUDESTE,IMPOIL,EMIC02,1,2026,73.3
SUDESTE,IMPOIL,EMIC02,1,2027,73.3
SUDESTE,IMPOIL,EMIC02,1,2028,73.3
SUDESTE,IMPOIL,EMIC02,1,2029,73.3
SUDESTE,IMPOIL,EMIC02,1,2030,73.3
SUDESTE,MINOIL,EMIC02,1,2024,73.3
SUDESTE,MINOIL,EMIC02,1,2025,73.3
SUDESTE,MINOIL,EMIC02,1,2026,73.3
SUDESTE,MINOIL,EMIC02,1,2027,73.3
SUDESTE,MINOIL,EMIC02,1,2028,73.3
SUDESTE,MINOIL,EMIC02,1,2029,73.3
SUDESTE,MINOIL,EMIC02,1,2030,73.3
SUDESTE,IMPBIO,EMIC02,1,2024,100.0
SUDESTE,IMPBIO,EMIC02,1,2025,100.0
SUDESTE,IMPBIO,EMIC02,1,2026,100.0
SUDESTE,IMPBIO,EMIC02,1,2027,100.0
SUDESTE,IMPBIO,EMIC02,1,2028,100.0
SUDESTE,IMPBIO,EMIC02,1,2029,100.0
SUDESTE,IMPBIO,EMIC02,1,2030,100.0
SUDESTE,MINBIO,EMIC02,1,2024,100.0
SUDESTE,MINBIO,EMIC02,1,2025,100.0
SUDESTE,MINBIO,EMIC02,1,2026,100.0
SUDESTE,MINBIO,EMIC02,1,2027,100.0
SUDESTE,MINBIO,EMIC02,1,2028,100.0
SUDESTE,MINBIO,EMIC02,1,2029,100.0
SUDESTE,MINBIO,EMIC02,1,2030,100.0
SUDESTE,IMPCOA,EMIC02,1,2024,94.6
SUDESTE,IMPCOA,EMIC02,1,2025,94.6
SUDESTE,IMPCOA,EMIC02,1,2026,94.6
SUDESTE,IMPCOA,EMIC02,1,2027,94.6
SUDESTE,IMPCOA,EMIC02,1,2028,94.6
SUDESTE,IMPCOA,EMIC02,1,2029,94.6
SUDESTE,IMPCOA,EMIC02,1,2030,94.6
SUDESTE,MINCOA,EMIC02,1,2024,94.6
SUDESTE,MINCOA,EMIC02,1,2025,94.6
SUDESTE,MINCOA,EMIC02,1,2026,94.6
SUDESTE,MINCOA,EMIC02,1,2027,94.6
SUDESTE,MINCOA,EMIC02,1,2028,94.6
SUDESTE,MINCOA,EMIC02,1,2029,94.6
SUDESTE,MINCOA,EMIC02,1,2030,94.6
SUDESTE,IMPLFO,EMIC02,1,2024,69.3
SUDESTE,IMPLFO,EMIC02,1,2025,69.3
SUDESTE,IMPLFO,EMIC02,1,2026,69.3
SUDESTE,IMPLFO,EMIC02,1,2027,69.3
SUDESTE,IMPLFO,EMIC02,1,2028,69.3
SUDESTE,IMPLFO,EMIC02,1,2029,69.3
SUDESTE,IMPLFO,EMIC02,1,2030,69.3
SUDESTE,IMPHFO,EMIC02,1,2024,77.4
SUDESTE,IMPHFO,EMIC02,1,2025,77.4
SUDESTE,IMPHFO,EMIC02,1,2026,77.4
SUDESTE,IMPHFO,EMIC02,1,2027,77.4
SUDESTE,IMPHFO,EMIC02,1,2028,77.4
SUDESTE,IMPHFO,EMIC02,1,2029,77.4
SUDESTE,IMPHFO,EMIC02,1,2030,77.4
SUDESTE,IMPNGS,EMIC02,1,2024,56.1
SUDESTE,IMPNGS,EMIC02,1,2025,56.1
SUDESTE,IMPNGS,EMIC02,1,2026,56.1
SUDESTE,IMPNGS,EMIC02,1,2027,56.1
SUDESTE,IMPNGS,EMIC02,1,2028,56.1
SUDESTE,IMPNGS,EMIC02,1,2029,56.1
SUDESTE,IMPNGS,EMIC02,1,2030,56.1
SUDESTE,MINNGS,EMIC02,1,2024,56.1
SUDESTE,MINNGS,EMIC02,1,2025,56.1
SUDESTE,MINNGS,EMIC02,1,2026,56.1
SUDESTE,MINNGS,EMIC02,1,2027,56.1
SUDESTE,MINNGS,EMIC02,1,2028,56.1
SUDESTE,MINNGS,EMIC02,1,2029,56.1
SUDESTE,MINNGS,EMIC02,1,2030,56.1
