REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
SUL,IMPHFO,1,2027,9.7184
SUL,IMPHFO,1,2028,9.9376
SUL,IMPHFO,1,2029,10.1568
SUL,IMPHFO,1,2030,10.376
SUL,UPSREF001,1,2024,0.71775
SUL,UPSREF001,1,2025,0.71775
SUL,UPSREF001,1,2026,0.71775
SUL,UPSREF001,1,2027,0.71775
SUL,UPSREF001,1,2028,0.71775
SUL,UPSREF001,1,2029,0.71775
SUL,UPSREF001,1,2030,0.71775
SUL,UPSREF002,1,2024,0.71775
SUL,UPSREF002,1,2025,0.71775
SUL,UPSREF002,1,2026,0.71775
SUL,UPSREF002,1,2027,0.71775
SUL,UPSREF002,1,2028,0.71775
SUL,UPSREF002,1,2029,0.71775
SUL,UPSREF002,1,2030,0.71775
SUL,IMPNGS,1,2024,5.361714285
SUL,IMPNGS,1,2025,5.539285715
SUL,IMPNGS,1,2026,5.718428572
SUL,IMPNGS,1,2027,5.899142857
SUL,IMPNGS,1,2028,6.076714285
SUL,IMPNGS,1,2029,6.252714285
SUL,IMPNGS,1,2030,6.433428572
SUL,MINNGS,1,2024,4.874285714
SUL,MINNGS,1,2025,5.035714286
SUL,MINNGS,1,2026,5.198571429
SUL,MINNGS,1,2027,5.362857143
SUL,MINNGS,1,2028,5.524285714
SUL,MINNGS,1,2029,5.684285714
SUL,MINNGS,1,2030,5.848571429
SUL,IMPURN,1,2024,2.5
SUL,IMPURN,1,2025,2.5
SUL,IMPURN,1,2026,2.5
SUL,IMPURN,1,2027,2.5
SUL,IMPURN,1,2028,2.5
SUL,IMPURN,1,2029,2.5
SUL,IMPURN,1,2030,2.5
NORTE,IMPOIL,1,2024,12.6478
NORTE,IMPOIL,1,2025,12.76
NORTE,IMPOIL,1,2026,13.0614
NORTE,IMPOIL,1,2027,13.3628
NORTE,IMPOIL,1,2028,13.6642
NORTE,IMPOIL,1,2029,13.9656
NORTE,IMPOIL,1,2030,14.267
NORTE,MINOIL,1,2024,11.498
NORTE,MINOIL,1,2025,11.6
NORTE,MINOIL,1,2026,11.874
NORTE,MINOIL,1,2027,12.148
NORTE,MINOIL,1,2028,12.422
NORTE,MINOIL,1,2029,12.696
NORTE,MINOIL,1,2030,12.97
NORTE,IMPBIO,1,2024,6.16
NORTE,IMPBIO,1,2025,6.16
NORTE,IMPBIO,1,2026,6.16
NORTE,IMPBIO,1,2027,6.16
NORTE,IMPBIO,1,2028,6.16
NORTE,IMPBIO,1,2029,6.16
NORTE,IMPBIO,1,2030,6.16
NORTE,MINBIO,1,2024,5.6
NORTE,MINBIO,1,2025,5.6
NORTE,MINBIO,1,2026,5.6
NORTE,MINBIO,1,2027,5.6
NORTE,MINBIO,1,2028,5.6
NORTE,MINBIO,1,2029,5.6
NORTE,MINBIO,1,2030,5.6
NORTE,IMPCOA,1,2024,3.619
NORTE,IMPCOA,1,2025,3.641
NORTE,IMPCOA,1,2026,3.652
NORTE,IMPCOA,1,2027,3.674
NORTE,IMPCOA,1,2028,3.696
NORTE,IMPCOA,1,2029,3.707
NORTE,IMPCOA,1,2030,3.729
NORTE,MINCOA,1,2024,3.29
NORTE,MINCOA,1,2025,3.31
NORTE,MINCOA,1,2026,3.32
NORTE,MINCOA,1,2027,3.34
NORTE,MINCOA,1,2028,3.36
NORTE,MINCOA,1,2029,3.37
NORTE,MINCOA,1,2030,3.39
NORTE,IMPLFO,1,2024,15.29234
NORTE,IMPLFO,1,2025,15.428
NORTE,IMPLFO,1,2026,15.79242
NORTE,IMPLFO,1,2027,16.15684
NORTE,IMPLFO,1,2028,16.52126
NORTE,IMPLFO,1,2029,16.88568
NORTE,IMPLFO,1,2030,17.2501
NORTE,IMPHFO,1,2024,9.1984
NORTE,IMPHFO,1,2025,9.28
NORTE,IMPHFO,1,2026,9.4992
NORTE,IMPHFO,1,2027,9.7184
