REGION,YEAR,VALUE
NORDESTE,2024,1.15
NORDESTE,2025,1.15
NORDESTE,2026,1.15
NORDESTE,2027,1.15
NORDESTE,2028,1.15
NORDESTE,2029,1.15
NORDESTE,2030,1.15
SUL,2024,1.15
SUL,2025,1.15
SUL,2026,1.15
SUL,2027,1.15
SUL,2028,1.15
SUL,2029,1.15
SUL,2030,1.15
NORTE,2024,1.15
NORTE,2025,1.15
NORTE,2026,1.15
NORTE,2027,1.15
NORTE,2028,1.15
NORTE,2029,1.15
NORTE,2030,1.15
SUDESTE,2024,1.15
SUDESTE,2025,1.15
SUDESTE,2026,1.15
SUDESTE,2027,1.15
SUDESTE,2028,1.15
SUDESTE,2029,1.15
SUDESTE,2030,1.15
