REGION,TECHNOLOGY,VALUE
SIN,IMPBIO,1
SIN,MINBIO,1
SIN,IMPURN,1
SIN,MINURN,1
SIN,IMPCOA,1
SIN,MINCOA,1
SIN,IMPNGS,1
SIN,MINNGS,1
SIN,IMPOIL,1
SIN,MINOIL,1
SIN,IMPLFO,1
SIN,IMPHFO,1
SIN,UPSREF001,35
SIN,UPSREF002,35
SIN,MINGEO,1
SIN,MINSOL,1
SIN,MINWND,1
SIN,MINHYD,1
SIN,biomass,25
SIN,nuclear,40
SIN,coal,40
SIN,gas,30
SIN,oil,25
SIN,solar_pv,25
SIN,on_wind,30
SIN,off_wind,25
SIN,hydro,60
SIN,mini_hydro,60
SIN,small_hydro,60
