state,type,phase,value,reference_year
BA,oil,operation,455.1919,2024
CE,oil,operation,195.4391,2024
DF,oil,operation,16.3584,2024
ES,oil,operation,569.5664,2024
GO,oil,operation,395.88759,2024
MA,oil,operation,339.8066,2024
MG,oil,operation,323.43908,2024
MS,oil,operation,7.926,2024
MT,oil,operation,44.229,2024
PA,oil,operation,239.58675,2024
PB,oil,operation,521.4428,2024
PE,oil,operation,870.948,2024
PI,oil,operation,17.006,2024
PR,oil,operation,123.85475,2024
RJ,oil,operation,632.8854,2024
RN,oil,operation,134.8918,2024
RO,oil,operation,133.322,2024
RR,oil,operation,381.9106,2024
RS,oil,operation,233.3712,2024
SC,oil,operation,68.44456,2024
SE,oil,operation,32.4274,2024
SP,oil,operation,1558.57774,2024
TO,oil,operation,18.529,2024
AC,on_wind,operation,0,2024
AL,on_wind,operation,0,2024
AM,on_wind,operation,0,2024
AP,on_wind,operation,0,2024
BA,on_wind,operation,9347.67064,2024
CE,on_wind,operation,2577.84,2024
DF,on_wind,operation,0,2024
ES,on_wind,operation,0,2024
GO,on_wind,operation,0,2024
MA,on_wind,operation,426.0225,2024
MG,on_wind,operation,0.156,2024
MS,on_wind,operation,0,2024
MT,on_wind,operation,0,2024
PA,on_wind,operation,0,2024
PB,on_wind,operation,992.24,2024
PE,on_wind,operation,1088.365,2024
PI,on_wind,operation,4016.25,2024
PR,on_wind,operation,2.5,2024
RJ,on_wind,operation,28.05,2024
RN,on_wind,operation,9599.936,2024
RO,on_wind,operation,0,2024
RR,on_wind,operation,0,2024
RS,on_wind,operation,1835.89198,2024
SC,on_wind,operation,250.5995,2024
SE,on_wind,operation,34.5,2024
SP,on_wind,operation,0.00224,2024
TO,on_wind,operation,0,2024
AC,small_hydro,operation,0,2024
AL,small_hydro,operation,0,2024
AM,small_hydro,operation,0,2024
AP,small_hydro,operation,0,2024
BA,small_hydro,operation,89.75,2024
CE,small_hydro,operation,0,2024
DF,small_hydro,operation,0,2024
ES,small_hydro,operation,231.96,2024
GO,small_hydro,operation,501.132,2024
MA,small_hydro,operation,0,2024
MG,small_hydro,operation,778.97917,2024
MS,small_hydro,operation,312.968,2024
MT,small_hydro,operation,1098.456,2024
PA,small_hydro,operation,60,2024
PB,small_hydro,operation,3.52,2024
PE,small_hydro,operation,13.475,2024
PI,small_hydro,operation,0,2024
PR,small_hydro,operation,504.7991,2024
RJ,small_hydro,operation,257.982,2024
RN,small_hydro,operation,4.7,2024
RO,small_hydro,operation,140.471,2024
RR,small_hydro,operation,0,2024
RS,small_hydro,operation,717.1393,2024
SC,small_hydro,operation,625.059,2024
SE,small_hydro,operation,0,2024
SP,small_hydro,operation,295.358,2024
TO,small_hydro,operation,188.764,2024
AC,solar_pv,operation,0.7152,2024
AL,solar_pv,operation,3.74,2024
AM,solar_pv,operation,1.21604,2024
AP,solar_pv,operation,4.0652,2024
BA,solar_pv,operation,2052.11135,2024
CE,solar_pv,operation,1251.606,2024
DF,solar_pv,operation,0,2024
ES,solar_pv,operation,14.88178,2024
