TIMESLICE,YEAR,VALUE
S108,2028,0.041666667
S108,2029,0.041666667
S108,2030,0.041666667
S108,2031,0.041666667
S108,2032,0.041666667
S108,2033,0.041666667
S108,2034,0.041666667
S108,2035,0.041666667
S108,2036,0.041666667
S108,2037,0.041666667
S108,2038,0.041666667
S108,2039,0.041666667
S108,2040,0.041666667
S108,2041,0.041666667
S108,2042,0.041666667
S108,2043,0.041666667
S108,2044,0.041666667
S108,2045,0.041666667
S108,2046,0.041666667
S108,2047,0.041666667
S108,2048,0.041666667
S108,2049,0.041666667
S108,2050,0.041666667
S109,2015,0.041666667
S109,2016,0.041666667
S109,2017,0.041666667
S109,2018,0.041666667
S109,2019,0.041666667
S109,2020,0.041666667
S109,2021,0.041666667
S109,2022,0.041666667
S109,2023,0.041666667
S109,2024,0.041666667
S109,2025,0.041666667
S109,2026,0.041666667
S109,2027,0.041666667
S109,2028,0.041666667
S109,2029,0.041666667
S109,2030,0.041666667
S109,2031,0.041666667
S109,2032,0.041666667
S109,2033,0.041666667
S109,2034,0.041666667
S109,2035,0.041666667
S109,2036,0.041666667
S109,2037,0.041666667
S109,2038,0.041666667
S109,2039,0.041666667
S109,2040,0.041666667
S109,2041,0.041666667
S109,2042,0.041666667
S109,2043,0.041666667
S109,2044,0.041666667
S109,2045,0.041666667
S109,2046,0.041666667
S109,2047,0.041666667
S109,2048,0.041666667
S109,2049,0.041666667
S109,2050,0.041666667
S110,2015,0.041666667
S110,2016,0.041666667
S110,2017,0.041666667
S110,2018,0.041666667
S110,2019,0.041666667
S110,2020,0.041666667
S110,2021,0.041666667
S110,2022,0.041666667
S110,2023,0.041666667
S110,2024,0.041666667
S110,2025,0.041666667
S110,2026,0.041666667
S110,2027,0.041666667
S110,2028,0.041666667
S110,2029,0.041666667
S110,2030,0.041666667
S110,2031,0.041666667
S110,2032,0.041666667
S110,2033,0.041666667
S110,2034,0.041666667
S110,2035,0.041666667
S110,2036,0.041666667
S110,2037,0.041666667
S110,2038,0.041666667
S110,2039,0.041666667
S110,2040,0.041666667
S110,2041,0.041666667
S110,2042,0.041666667
S110,2043,0.041666667
S110,2044,0.041666667
S110,2045,0.041666667
S110,2046,0.041666667
S110,2047,0.041666667
S110,2048,0.041666667
S110,2049,0.041666667
S110,2050,0.041666667
S111,2015,0.041666667
S111,2016,0.041666667
S111,2017,0.041666667
S111,2018,0.041666667
S111,2019,0.041666667
S111,2020,0.041666667
S111,2021,0.041666667
S111,2022,0.041666667
S111,2023,0.041666667
S111,2024,0.041666667
S111,2025,0.041666667
S111,2026,0.041666667
S111,2027,0.041666667
S111,2028,0.041666667
S111,2029,0.041666667
S111,2030,0.041666667
S111,2031,0.041666667
S111,2032,0.041666667
S111,2033,0.041666667
S111,2034,0.041666667
S111,2035,0.041666667
S111,2036,0.041666667
S111,2037,0.041666667
S111,2038,0.041666667
S111,2039,0.041666667
S111,2040,0.041666667
S111,2041,0.041666667
S111,2042,0.041666667
S111,2043,0.041666667
S111,2044,0.041666667
S111,2045,0.041666667
S111,2046,0.041666667
S111,2047,0.041666667
S111,2048,0.041666667
S111,2049,0.041666667
S111,2050,0.041666667
S112,2015,0.041666667
S112,2016,0.041666667
S112,2017,0.041666667
S112,2018,0.041666667
S112,2019,0.041666667
S112,2020,0.041666667
S112,2021,0.041666667
S112,2022,0.041666667
S112,2023,0.041666667
S112,2024,0.041666667
S112,2025,0.041666667
S112,2026,0.041666667
S112,2027,0.041666667
S112,2028,0.041666667
S112,2029,0.041666667
S112,2030,0.041666667
S112,2031,0.041666667
S112,2032,0.041666667
S112,2033,0.041666667
S112,2034,0.041666667
S112,2035,0.041666667
S112,2036,0.041666667
S112,2037,0.041666667
S112,2038,0.041666667
S112,2039,0.041666667
S112,2040,0.041666667
S112,2041,0.041666667
S112,2042,0.041666667
S112,2043,0.041666667
S112,2044,0.041666667
S112,2045,0.041666667
S112,2046,0.041666667
