hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
1,0.0228,0.3761,0.0222,0.1073,0.1846,0.2185,0,0.1117,0.0386,0.0278,0.029,0.0198,0.0121,0.0157,0.4704,0.3302,0.0524,0.0973,0.0628,0.6147,0.0172,0.111,0.4098,0.1416,0.3969,0.1058,0.0038
2,0.032,0.3274,0.0228,0.11,0.1677,0.2185,0,0.0988,0.0333,0.0308,0.0283,0.0269,0.0137,0.0158,0.4637,0.2951,0.0533,0.1188,0.06,0.5579,0.0263,0.1271,0.3882,0.193,0.3626,0.0985,0.0032
3,0.0389,0.2798,0.0198,0.0946,0.1426,0.1738,0,0.0937,0.0267,0.0263,0.0312,0.0335,0.0159,0.0147,0.4293,0.2404,0.0434,0.133,0.0584,0.4748,0.0281,0.1372,0.322,0.2092,0.3314,0.0928,0.0026
4,0.0397,0.2173,0.0174,0.076,0.1262,0.1387,0,0.0851,0.0299,0.0239,0.0297,0.032,0.0163,0.0142,0.3711,0.2089,0.0361,0.1313,0.0631,0.4058,0.0252,0.1336,0.2748,0.1907,0.2629,0.0969,0.0023
5,0.0314,0.1501,0.0165,0.0574,0.1178,0.1123,0,0.0745,0.0306,0.02,0.0238,0.0268,0.0188,0.013,0.2962,0.1815,0.0387,0.1132,0.0675,0.3318,0.0231,0.1296,0.2626,0.1624,0.1862,0.0986,0.0017
6,0.0272,0.1026,0.0158,0.0453,0.1193,0.0938,0,0.062,0.0322,0.0171,0.0211,0.0253,0.0181,0.013,0.2544,0.1751,0.0387,0.0928,0.0682,0.2991,0.0204,0.1302,0.2555,0.1459,0.1283,0.0858,0.0024
7,0.0238,0.0739,0.015,0.0391,0.1174,0.076,0,0.0527,0.0352,0.0157,0.0233,0.0275,0.0182,0.0128,0.2205,0.1694,0.0392,0.0871,0.0636,0.2814,0.0201,0.1314,0.2505,0.1388,0.1076,0.0547,0.0024
8,0.0233,0.0558,0.014,0.0327,0.1194,0.0666,0,0.0513,0.0401,0.0141,0.0281,0.0276,0.0185,0.0127,0.2056,0.1639,0.0412,0.0927,0.0591,0.2724,0.0195,0.133,0.2458,0.1405,0.0971,0.0395,0.0037
9,0.027,0.0519,0.0135,0.0316,0.1193,0.0571,0,0.0488,0.0447,0.0109,0.0333,0.0263,0.0177,0.0147,0.1982,0.1633,0.0414,0.0943,0.0583,0.2522,0.0185,0.1415,0.2382,0.1292,0.0994,0.0348,0.006
10,0.0321,0.0987,0.0146,0.0241,0.1465,0.0818,0,0.0568,0.0436,0.0068,0.0417,0.0265,0.0165,0.0176,0.282,0.2147,0.0459,0.1036,0.0669,0.3337,0.0191,0.1484,0.2417,0.1267,0.1707,0.0386,0.0081
11,0.0428,0.2649,0.0156,0.0291,0.2123,0.2196,0,0.1054,0.1034,0.0336,0.0855,0.0535,0.0258,0.0244,0.4305,0.334,0.0842,0.117,0.0666,0.5664,0.0232,0.1381,0.3198,0.1551,0.2456,0.0845,0.0085
12,0.0376,0.3327,0.0155,0.0955,0.2551,0.3831,0,0.1797,0.1594,0.0587,0.1396,0.0924,0.0266,0.0318,0.5102,0.4071,0.1263,0.1406,0.1067,0.6522,0.0223,0.1229,0.3433,0.1885,0.2696,0.1418,0.006
13,0.0285,0.3186,0.0128,0.1198,0.2529,0.4613,0,0.2375,0.1588,0.0518,0.1519,0.112,0.031,0.058,0.5257,0.395,0.1298,0.1576,0.1699,0.6843,0.0291,0.2308,0.3316,0.2166,0.2461,0.157,0.0022
14,0.0265,0.3234,0.0239,0.1172,0.2239,0.5117,0,0.2393,0.1476,0.0569,0.1339,0.0958,0.0384,0.0625,0.5837,0.4324,0.1261,0.1645,0.1708,0.7237,0.04,0.3206,0.2868,0.2258,0.2315,0.1566,0.002
15,0.0366,0.3801,0.0335,0.1342,0.2012,0.5278,0,0.2224,0.1326,0.0519,0.1116,0.0891,0.0445,0.0645,0.6377,0.4711,0.1233,0.1318,0.1291,0.7564,0.0429,0.3484,0.2247,0.1881,0.2594,0.1268,0.0023
16,0.0568,0.4384,0.0544,0.1452,0.189,0.5504,0,0.1849,0.1046,0.0448,0.089,0.0845,0.0523,0.066,0.6726,0.4936,0.1334,0.0919,0.1017,0.7828,0.0355,0.3812,0.1897,0.1307,0.3485,0.0841,0.0011
17,0.0638,0.4894,0.0563,0.1517,0.1825,0.5968,0,0.1475,0.0837,0.0433,0.0678,0.0908,0.0564,0.0607,0.72,0.5133,0.1428,0.0651,0.103,0.7993,0.0336,0.3656,0.1455,0.0877,0.4523,0.0588,0.0011
18,0.049,0.5334,0.0474,0.167,0.1909,0.6473,0,0.1395,0.0688,0.0433,0.0481,0.0944,0.0513,0.0571,0.7534,0.5602,0.159,0.0421,0.1103,0.8171,0.0313,0.32,0.1194,0.0787,0.5326,0.0471,0.0014
19,0.0524,0.5795,0.0378,0.1522,0.2148,0.6837,0,0.1553,0.056,0.0517,0.0335,0.0886,0.0431,0.0628,0.784,0.5866,0.1857,0.0345,0.1125,0.8346,0.0189,0.2776,0.1204,0.0956,0.5904,0.0482,0.003
20,0.0531,0.606,0.0321,0.1517,0.2542,0.6743,0,0.1742,0.0494,0.0482,0.0315,0.0701,0.0398,0.0555,0.7921,0.6158,0.2102,0.0375,0.1146,0.8361,0.0128,0.2522,0.1315,0.1369,0.6087,0.0503,0.0061
21,0.0388,0.5966,0.0216,0.1277,0.2751,0.5779,0,0.2001,0.0322,0.0385,0.0311,0.0574,0.0372,0.0374,0.7795,0.6027,0.1893,0.0495,0.1159,0.8265,0.011,0.2259,0.1535,0.1749,0.6068,0.0493,0.0075
22,0.0256,0.5075,0.0116,0.0712,0.2095,0.3756,0,0.1936,0.0195,0.0146,0.0282,0.0456,0.0252,0.0222,0.6678,0.4893,0.0988,0.044,0.0968,0.7077,0.0049,0.1808,0.138,0.1839,0.5124,0.0719,0.0057
23,0.0123,0.3752,0.0041,0.1002,0.1767,0.3051,0,0.1423,0.0129,0.0242,0.0178,0.0237,0.0094,0.0242,0.5538,0.4167,0.0657,0.0405,0.0708,0.6446,0.0052,0.1145,0.1026,0.1379,0.4303,0.0624,0.0081
24,0.023,0.3666,0.008,0.116,0.2073,0.3094,0,0.1481,0.0236,0.0293,0.0245,0.0347,0.0085,0.0295,0.6095,0.4538,0.0539,0.0587,0.0697,0.6604,0.0046,0.1339,0.116,0.1464,0.389,0.0772,0.0084
25,0.0473,0.3598,0.0157,0.1139,0.2182,0.3054,0,0.1362,0.0285,0.0232,0.031,0.0501,0.0104,0.0346,0.6129,0.4837,0.0375,0.0836,0.0649,0.6477,0.0057,0.154,0.1356,0.1724,0.3568,0.0716,0.0072
26,0.074,0.3218,0.0183,0.0973,0.216,0.2975,0,0.1204,0.024,0.0193,0.0343,0.0696,0.0133,0.0323,0.5995,0.5237,0.0285,0.1116,0.06,0.6366,0.0127,0.1508,0.1505,0.2055,0.3008,0.0653,0.0045
27,0.0857,0.2587,0.019,0.0852,0.1934,0.2704,0,0.0938,0.0205,0.0192,0.0318,0.081,0.0144,0.0271,0.5684,0.5534,0.0255,0.1138,0.0563,0.6065,0.0161,0.131,0.1711,0.2214,0.2624,0.0473,0.0044
28,0.0801,0.2126,0.0179,0.0785,0.1851,0.2451,0,0.0736,0.0194,0.0176,0.0282,0.0836,0.0159,0.0227,0.5363,0.5292,0.0365,0.0961,0.0554,0.5982,0.015,0.1055,0.1719,0.1876,0.2103,0.039,0.0037
29,0.0605,0.1873,0.0153,0.0723,0.1774,0.2084,0,0.0532,0.0176,0.0156,0.0249,0.0814,0.0143,0.0189,0.4785,0.4812,0.0539,0.0842,0.0544,0.5643,0.0132,0.0947,0.1775,0.1783,0.1521,0.0357,0.0042
30,0.044,0.1479,0.0132,0.0767,0.1721,0.1944,0,0.0395,0.0157,0.0154,0.0209,0.0831,0.0127,0.0172,0.4264,0.4318,0.0741,0.08,0.0547,0.5064,0.0096,0.0859,0.1783,0.1908,0.1315,0.0355,0.0044
31,0.0354,0.1371,0.0142,0.0757,0.1751,0.1884,0,0.0341,0.014,0.0148,0.0166,0.082,0.0121,0.016,0.4093,0.405,0.0995,0.0803,0.0554,0.4846,0.0083,0.0806,0.173,0.2051,0.1028,0.0319,0.0048
32,0.0297,0.1445,0.0141,0.0778,0.1587,0.1779,0,0.0305,0.01,0.0166,0.0126,0.0719,0.0105,0.0171,0.4045,0.3553,0.124,0.0732,0.0515,0.4617,0.0053,0.0861,0.1705,0.1896,0.1018,0.0256,0.0039
33,0.0317,0.1279,0.0127,0.0774,0.1473,0.1701,0,0.0295,0.0072,0.0174,0.0111,0.0712,0.0097,0.0181,0.4125,0.3295,0.1531,0.0701,0.0487,0.4552,0.0039,0.0928,0.1662,0.1733,0.1016,0.0201,0.0044
34,0.0316,0.1724,0.0123,0.0593,0.1783,0.2018,0,0.0369,0.0051,0.0161,0.0135,0.0658,0.0092,0.0215,0.4676,0.3707,0.1821,0.075,0.0518,0.532,0.0035,0.0961,0.1629,0.1725,0.1605,0.0173,0.0048
35,0.0305,0.3737,0.0159,0.0679,0.2481,0.4415,0,0.0392,0.0094,0.0315,0.012,0.111,0.0123,0.0222,0.7648,0.6637,0.2252,0.0843,0.0547,0.8332,0.0046,0.0925,0.2384,0.2185,0.3548,0.0257,0.0089
36,0.0316,0.47,0.0196,0.107,0.2894,0.7356,0,0.066,0.0098,0.1048,0.0202,0.1838,0.0135,0.0402,0.7879,0.7056,0.4066,0.1439,0.0571,0.8558,0.0054,0.0932,0.3031,0.2484,0.3997,0.037,0.0116
37,0.0361,0.486,0.0202,0.1538,0.3164,0.8204,0,0.0924,0.023,0.1271,0.0315,0.2636,0.0243,0.0833,0.7871,0.7023,0.5711,0.2026,0.0767,0.8426,0.0046,0.1562,0.4199,0.2977,0.3939,0.0619,0.0265
38,0.0409,0.5165,0.0265,0.1583,0.3218,0.8165,0,0.0988,0.031,0.1878,0.041,0.2713,0.0378,0.0923,0.8042,0.7081,0.6366,0.1743,0.1141,0.8445,0.0087,0.217,0.4923,0.3645,0.413,0.0957,0.0409
39,0.0428,0.5787,0.0333,0.145,0.3367,0.8301,0,0.1168,0.0336,0.2453,0.0472,0.2639,0.0482,0.1077,0.8327,0.7346,0.627,0.1676,0.1286,0.8688,0.0108,0.2878,0.5502,0.406,0.4766,0.1163,0.0726
40,0.046,0.6259,0.0422,0.192,0.3404,0.8325,0,0.1399,0.0356,0.2619,0.0547,0.2591,0.0438,0.1181,0.8369,0.7542,0.5953,0.1806,0.1194,0.8701,0.0096,0.3479,0.5884,0.3642,0.5592,0.1158,0.0911
41,0.0413,0.6783,0.0467,0.2457,0.3535,0.8274,0,0.1495,0.039,0.2424,0.0606,0.2562,0.0378,0.1171,0.8434,0.7751,0.5563,0.1904,0.0901,0.8863,0.0106,0.3461,0.547,0.2866,0.6245,0.1021,0.098
42,0.0316,0.7262,0.0454,0.2733,0.3841,0.8116,0,0.1537,0.0397,0.2223,0.0628,0.2367,0.032,0.1181,0.857,0.805,0.5208,0.1778,0.0682,0.9056,0.0067,0.3453,0.5171,0.2451,0.6991,0.0934,0.1
43,0.0207,0.7434,0.0445,0.2956,0.4016,0.7863,0,0.1505,0.0416,0.1965,0.0648,0.2244,0.0287,0.1094,0.8585,0.8136,0.4924,0.1583,0.0722,0.9097,0.0066,0.3281,0.4816,0.203,0.744,0.0827,0.0974
44,0.0189,0.7345,0.0378,0.2894,0.428,0.7526,0,0.1573,0.0375,0.1804,0.0719,0.1841,0.0272,0.1015,0.8496,0.8083,0.4709,0.1482,0.0927,0.9044,0.006,0.3564,0.4395,0.1663,0.7621,0.0659,0.0992
45,0.0253,0.6733,0.0289,0.2372,0.4028,0.6762,0,0.1614,0.0345,0.1373,0.0672,0.1316,0.0239,0.0655,0.8239,0.7716,0.3895,0.1312,0.1023,0.8824,0.0119,0.3166,0.2896,0.1558,0.7222,0.0419,0.0781
46,0.0176,0.5105,0.0188,0.1739,0.2748,0.451,0,0.1238,0.0172,0.0747,0.035,0.0786,0.0129,0.04,0.6973,0.6291,0.1895,0.069,0.1124,0.7993,0.0075,0.2035,0.1279,0.1186,0.5508,0.0198,0.0193
47,0.0157,0.3571,0.0132,0.1848,0.2496,0.4252,0,0.1093,0.0057,0.1034,0.0293,0.0224,0.0094,0.0482,0.6253,0.5634,0.1554,0.0139,0.1141,0.7336,0.006,0.099,0.0611,0.0499,0.3483,0.01,0.0206
48,0.0194,0.2911,0.0167,0.1872,0.2513,0.4093,0,0.1198,0.0074,0.0902,0.032,0.0342,0.0136,0.0485,0.6378,0.5732,0.1483,0.0129,0.1089,0.7214,0.0052,0.0603,0.038,0.0394,0.2243,0.0101,0.0216
49,0.0313,0.2137,0.0161,0.2007,0.2374,0.4049,0,0.1288,0.0084,0.0763,0.0296,0.0495,0.0129,0.0491,0.6167,0.5573,0.1473,0.0161,0.0992,0.7019,0.0069,0.0594,0.0481,0.0379,0.1287,0.0112,0.0183
50,0.0402,0.1502,0.0122,0.2059,0.2202,0.4089,0,0.1237,0.0084,0.0733,0.0278,0.0692,0.0115,0.0473,0.5864,0.532,0.1445,0.0188,0.0945,0.6543,0.009,0.0644,0.0826,0.0365,0.0816,0.0139,0.0166
51,0.0388,0.0966,0.01,0.1731,0.1952,0.3995,0,0.1184,0.008,0.0672,0.0241,0.0904,0.011,0.0483,0.501,0.4842,0.1427,0.0204,0.0912,0.5612,0.0091,0.0703,0.1058,0.0505,0.0523,0.0137,0.0158
52,0.0389,0.0637,0.0081,0.1372,0.1736,0.3983,0,0.1143,0.0076,0.0582,0.0215,0.0968,0.0104,0.0449,0.4313,0.4549,0.1575,0.0293,0.0947,0.5209,0.0095,0.0635,0.1178,0.0703,0.0303,0.0116,0.0147
53,0.0382,0.0535,0.0071,0.1249,0.1596,0.3423,0,0.1109,0.0065,0.0544,0.0214,0.088,0.0111,0.0383,0.3972,0.4278,0.1769,0.0417,0.0912,0.4946,0.0082,0.0695,0.1514,0.0885,0.0215,0.0101,0.014
54,0.0333,0.0553,0.0067,0.1158,0.1401,0.2614,0,0.104,0.0064,0.051,0.02,0.0779,0.0101,0.0351,0.3736,0.3798,0.199,0.054,0.0811,0.4759,0.0061,0.0777,0.1821,0.1134,0.0201,0.0091,0.0117
55,0.0203,0.0457,0.0068,0.1088,0.1212,0.1895,0,0.1008,0.0074,0.0464,0.0178,0.0735,0.0088,0.0337,0.347,0.3161,0.2131,0.0658,0.0704,0.464,0.0037,0.0798,0.2217,0.1158,0.025,0.0099,0.0106
56,0.0158,0.0527,0.0075,0.1154,0.1096,0.1485,0,0.0924,0.009,0.0398,0.0149,0.0767,0.0071,0.0329,0.3344,0.2785,0.2224,0.0724,0.0677,0.4406,0.0026,0.0759,0.2879,0.1243,0.0282,0.0103,0.0123
57,0.0173,0.0685,0.0096,0.1116,0.1122,0.1578,0,0.0781,0.0088,0.0305,0.0132,0.0794,0.0062,0.0313,0.3498,0.2595,0.2321,0.0728,0.0653,0.4137,0.0018,0.0687,0.3239,0.1348,0.0353,0.0118,0.0135
58,0.0212,0.1597,0.0102,0.1035,0.1419,0.2339,0,0.086,0.0083,0.03,0.0157,0.0742,0.0045,0.0303,0.3843,0.329,0.249,0.0752,0.0787,0.4438,0.0023,0.0678,0.3156,0.1663,0.0711,0.0191,0.0128
59,0.0239,0.4364,0.0131,0.0805,0.2303,0.4519,0,0.1083,0.013,0.0446,0.0156,0.0879,0.0089,0.051,0.6425,0.6256,0.3319,0.0451,0.0808,0.7631,0.0059,0.0705,0.346,0.1005,0.2786,0.0111,0.0233
60,0.019,0.4825,0.0105,0.1915,0.2749,0.7018,0,0.1161,0.0081,0.165,0.027,0.0935,0.0034,0.1385,0.6656,0.6511,0.4925,0.1327,0.0982,0.7951,0.0037,0.0712,0.3664,0.2248,0.3505,0.0345,0.0223
61,0.0076,0.4653,0.0135,0.3802,0.3081,0.7659,0,0.1114,0.021,0.2519,0.0536,0.1747,0.0071,0.2562,0.6292,0.629,0.6076,0.3187,0.1451,0.767,0.0021,0.1485,0.3959,0.6002,0.3961,0.088,0.0499
62,0.0154,0.4472,0.0278,0.453,0.3138,0.7464,0,0.1199,0.0365,0.2878,0.0819,0.2925,0.0149,0.3325,0.5649,0.5841,0.631,0.4493,0.182,0.6673,0.0027,0.281,0.4174,0.7424,0.4229,0.1446,0.0712
63,0.0207,0.4452,0.0439,0.3461,0.3121,0.7397,0,0.109,0.0544,0.3347,0.1049,0.3836,0.0291,0.3671,0.5026,0.5343,0.656,0.5468,0.1967,0.6054,0.0045,0.3846,0.4182,0.7928,0.4454,0.2112,0.0972
64,0.0225,0.4518,0.0536,0.2886,0.3023,0.702,0,0.1022,0.0639,0.3601,0.1071,0.3744,0.0398,0.3683,0.4674,0.483,0.5905,0.6032,0.1804,0.611,0.0175,0.3852,0.448,0.8022,0.4526,0.2607,0.1464
65,0.0227,0.4546,0.0533,0.2045,0.2793,0.6476,0,0.1202,0.0573,0.3692,0.0975,0.3344,0.043,0.3376,0.4454,0.4274,0.5204,0.6168,0.165,0.6255,0.0229,0.3203,0.4694,0.7977,0.4586,0.2848,0.1696
66,0.0382,0.4795,0.0534,0.2208,0.2655,0.6147,0,0.1481,0.0379,0.3249,0.0804,0.283,0.0347,0.2903,0.4443,0.3929,0.4391,0.5925,0.1342,0.6326,0.0161,0.3018,0.4508,0.7643,0.5016,0.283,0.1728
67,0.0371,0.4993,0.0514,0.2102,0.2693,0.5937,0,0.1735,0.0219,0.2593,0.0591,0.2502,0.0241,0.24,0.4605,0.3727,0.3759,0.5727,0.1277,0.6658,0.0193,0.2762,0.4135,0.7018,0.5541,0.2421,0.1511
68,0.0528,0.5022,0.0436,0.2204,0.2822,0.5828,0,0.2101,0.0128,0.1926,0.0406,0.2195,0.0167,0.1809,0.5004,0.3805,0.33,0.5084,0.1418,0.7188,0.0319,0.2468,0.4017,0.6118,0.5711,0.1841,0.1208
69,0.0487,0.4841,0.034,0.179,0.2815,0.5557,0,0.2384,0.0083,0.1269,0.033,0.1514,0.0125,0.1326,0.5502,0.4033,0.2779,0.3798,0.1233,0.7817,0.028,0.2688,0.3769,0.3742,0.5439,0.1098,0.0708
70,0.0283,0.4007,0.0175,0.1556,0.1899,0.3873,0,0.2307,0.0044,0.0764,0.0176,0.0584,0.0117,0.0833,0.4635,0.3239,0.1252,0.1647,0.1071,0.7354,0.0193,0.2341,0.3552,0.201,0.4301,0.0427,0.0131
71,0.0217,0.3272,0.018,0.185,0.1728,0.3752,0,0.2442,0.0063,0.1158,0.0225,0.0147,0.0068,0.1059,0.4301,0.283,0.1189,0.0481,0.0789,0.7018,0.02,0.1366,0.3464,0.0873,0.3429,0.0191,0.0131
72,0.0104,0.3779,0.0129,0.1967,0.1922,0.3983,0,0.2318,0.0071,0.118,0.0278,0.0157,0.0107,0.1124,0.5044,0.354,0.1258,0.0282,0.064,0.7047,0.0172,0.1199,0.3268,0.0535,0.3446,0.0283,0.0125
73,0.0121,0.3431,0.0122,0.1995,0.2045,0.4234,0,0.1932,0.0071,0.1081,0.0305,0.0148,0.0114,0.1138,0.5418,0.3721,0.1165,0.0282,0.0591,0.6875,0.0155,0.1486,0.2948,0.0508,0.3142,0.0445,0.0134
74,0.0151,0.3066,0.0116,0.1961,0.1984,0.413,0,0.1455,0.0065,0.1033,0.0277,0.0202,0.0116,0.0957,0.5495,0.3774,0.0947,0.0231,0.0592,0.666,0.0165,0.1658,0.2678,0.0514,0.2867,0.0523,0.0165
75,0.0153,0.2669,0.009,0.1715,0.1816,0.3942,0,0.1117,0.0068,0.093,0.0228,0.0251,0.0105,0.0858,0.5244,0.3719,0.0744,0.0218,0.0612,0.6816,0.0155,0.1667,0.2305,0.057,0.2446,0.0521,0.0203
76,0.0192,0.2266,0.0087,0.1467,0.171,0.389,0,0.0916,0.0068,0.0807,0.0185,0.0275,0.0086,0.08,0.4851,0.3818,0.0668,0.0175,0.0615,0.6346,0.0119,0.1385,0.2102,0.0508,0.1999,0.0497,0.024
77,0.0192,0.1901,0.0093,0.1415,0.1537,0.394,0,0.0864,0.0059,0.074,0.0148,0.0351,0.0074,0.0757,0.3941,0.3474,0.0689,0.0164,0.0587,0.5185,0.0094,0.1134,0.1978,0.0412,0.1732,0.0403,0.02
78,0.0183,0.1513,0.0089,0.1332,0.1377,0.3128,0,0.0793,0.005,0.065,0.0126,0.0388,0.0063,0.0643,0.2967,0.2944,0.0783,0.0177,0.0541,0.387,0.0089,0.0891,0.1789,0.0415,0.1571,0.0295,0.0156
79,0.014,0.1265,0.0079,0.0981,0.1292,0.2214,0,0.074,0.0047,0.0536,0.0122,0.043,0.0067,0.0539,0.2285,0.23,0.0825,0.0174,0.0488,0.3182,0.0068,0.0723,0.1619,0.0476,0.1804,0.0221,0.015
80,0.0167,0.0986,0.0074,0.0802,0.1291,0.1876,0,0.0726,0.005,0.0444,0.0121,0.0454,0.0086,0.0458,0.2085,0.1895,0.0794,0.0177,0.0429,0.2809,0.0069,0.0603,0.1421,0.0503,0.1364,0.0197,0.0118
81,0.0208,0.0681,0.0111,0.0731,0.1156,0.1495,0,0.0701,0.0053,0.0281,0.0139,0.0418,0.0087,0.0377,0.1716,0.1453,0.0857,0.0164,0.038,0.2263,0.004,0.0526,0.1308,0.0374,0.1173,0.0143,0.0084
82,0.0184,0.0647,0.0122,0.0784,0.1255,0.1506,0,0.0844,0.0064,0.0221,0.0187,0.0372,0.0083,0.0317,0.2196,0.1563,0.1193,0.0176,0.0522,0.2272,0.0027,0.0535,0.1205,0.0358,0.1203,0.017,0.0074
83,0.0748,0.1467,0.0143,0.0798,0.1838,0.3537,0,0.1076,0.0105,0.0668,0.0285,0.0575,0.0198,0.0307,0.2957,0.2277,0.1793,0.0179,0.061,0.3959,0.0159,0.0318,0.1579,0.0458,0.2486,0.0207,0.021
84,0.0721,0.1726,0.0159,0.1621,0.1876,0.5233,0,0.1447,0.0064,0.18,0.044,0.0478,0.0147,0.0533,0.3114,0.2334,0.3136,0.0143,0.0788,0.4891,0.017,0.0411,0.1641,0.056,0.2432,0.0314,0.0325
85,0.0751,0.1467,0.0136,0.282,0.1713,0.557,0,0.1463,0.0114,0.2239,0.0633,0.1032,0.0195,0.1841,0.2747,0.1856,0.357,0.0508,0.1453,0.5125,0.0178,0.0548,0.1295,0.0972,0.133,0.0501,0.069
86,0.1012,0.1317,0.0194,0.3512,0.1472,0.5444,0,0.1599,0.0181,0.2166,0.0848,0.1657,0.0301,0.283,0.2605,0.1406,0.3614,0.1143,0.2212,0.5579,0.0276,0.0999,0.0747,0.1232,0.0754,0.0728,0.0837
87,0.1052,0.127,0.0353,0.3663,0.1094,0.5215,0,0.1598,0.0258,0.1822,0.1014,0.1909,0.037,0.3171,0.2967,0.1336,0.3062,0.1603,0.2462,0.5853,0.0191,0.1834,0.0479,0.1885,0.0734,0.0755,0.083
88,0.1325,0.1354,0.0433,0.3396,0.0774,0.5297,0,0.1547,0.0293,0.1507,0.1076,0.1857,0.0367,0.3083,0.3244,0.1483,0.2489,0.1692,0.2392,0.5891,0.0119,0.2076,0.0482,0.1773,0.0972,0.0857,0.0768
89,0.1313,0.1768,0.0435,0.3429,0.0602,0.5497,0,0.144,0.0283,0.118,0.1012,0.1509,0.034,0.269,0.3535,0.1769,0.1967,0.161,0.1969,0.591,0.0084,0.1663,0.0776,0.207,0.1615,0.0988,0.0646
90,0.1325,0.227,0.0443,0.3783,0.0552,0.5735,0,0.137,0.0285,0.0899,0.0862,0.1248,0.0338,0.2211,0.3781,0.2045,0.157,0.1422,0.1352,0.5957,0.0092,0.1631,0.1253,0.2049,0.2475,0.1126,0.0508
91,0.1397,0.2776,0.04,0.3474,0.0648,0.583,0,0.1367,0.03,0.0691,0.0739,0.0923,0.0363,0.1689,0.4205,0.2408,0.1303,0.1024,0.0843,0.5963,0.0099,0.1567,0.2051,0.1966,0.3764,0.1195,0.0416
92,0.1187,0.359,0.0396,0.3285,0.0906,0.5627,0,0.159,0.0354,0.0632,0.0597,0.0694,0.0398,0.1451,0.4803,0.281,0.1174,0.0903,0.0461,0.687,0.0094,0.2136,0.2597,0.1937,0.5333,0.0918,0.0347
93,0.108,0.4376,0.0341,0.2272,0.1212,0.5131,0,0.1583,0.0257,0.0484,0.0317,0.057,0.0303,0.093,0.5293,0.3051,0.1034,0.0978,0.0133,0.7455,0.0085,0.2234,0.2907,0.1479,0.5846,0.048,0.0248
94,0.0799,0.3568,0.0208,0.1557,0.1132,0.2949,0,0.1679,0.0082,0.0246,0.0086,0.0308,0.0149,0.0361,0.4439,0.2275,0.052,0.0761,0.0066,0.6065,0.0045,0.1444,0.2796,0.1286,0.4806,0.0138,0.0054
95,0.0406,0.4309,0.011,0.1648,0.1609,0.294,0,0.204,0.0042,0.0446,0.0167,0.0199,0.0075,0.06,0.4557,0.216,0.0627,0.0483,0.0195,0.5426,0.0033,0.0888,0.2244,0.0832,0.4915,0.0085,0.0101
96,0.0127,0.406,0.006,0.1701,0.1649,0.2896,0,0.1693,0.0049,0.049,0.0195,0.0248,0.0063,0.0593,0.4595,0.2044,0.0705,0.028,0.0234,0.524,0.003,0.0614,0.2405,0.093,0.4391,0.0151,0.0119
97,0.0106,0.335,0.0041,0.1746,0.1601,0.3009,0,0.1255,0.0037,0.0646,0.0211,0.0337,0.0062,0.0641,0.3774,0.2122,0.0764,0.0248,0.0194,0.4941,0.0044,0.0698,0.2815,0.1118,0.3097,0.0195,0.0114
98,0.01,0.2701,0.0039,0.1759,0.1598,0.2885,0,0.0989,0.0031,0.0713,0.0204,0.035,0.008,0.0634,0.3252,0.2168,0.0811,0.0292,0.0144,0.4361,0.005,0.0772,0.2707,0.1178,0.2533,0.0242,0.0104
99,0.0084,0.2276,0.0036,0.1457,0.1492,0.2678,0,0.0742,0.0033,0.0746,0.0162,0.0371,0.0088,0.0586,0.3188,0.2333,0.0705,0.0366,0.021,0.437,0.0049,0.0674,0.2529,0.1407,0.2552,0.0278,0.0103
100,0.0061,0.1999,0.0045,0.1401,0.1425,0.2416,0,0.0655,0.0026,0.0788,0.015,0.0303,0.0095,0.0615,0.3208,0.2591,0.0604,0.0401,0.0203,0.4401,0.0069,0.0599,0.2456,0.1442,0.2172,0.033,0.0124
101,0.0052,0.1719,0.0048,0.1373,0.1292,0.2149,0,0.058,0.0027,0.073,0.0146,0.0194,0.0093,0.0588,0.3303,0.264,0.0506,0.0384,0.0178,0.4441,0.0072,0.0534,0.2389,0.1413,0.1696,0.036,0.0194
102,0.0059,0.1629,0.0067,0.1112,0.1145,0.1822,0,0.056,0.0029,0.0596,0.0143,0.0179,0.0107,0.0548,0.3648,0.2824,0.0481,0.041,0.0247,0.5065,0.009,0.0526,0.2185,0.1181,0.14,0.0435,0.0166
103,0.0067,0.1515,0.007,0.0797,0.0964,0.169,0,0.0546,0.0024,0.0471,0.0131,0.0247,0.0106,0.0443,0.3944,0.2867,0.0519,0.0386,0.0205,0.4782,0.0091,0.0531,0.2097,0.1013,0.1065,0.0537,0.012
104,0.0073,0.1478,0.0074,0.0609,0.0857,0.158,0,0.0611,0.0025,0.041,0.0109,0.0286,0.0089,0.039,0.4125,0.2807,0.0549,0.0378,0.0206,0.4978,0.0072,0.0564,0.1979,0.0851,0.1083,0.0627,0.0103
105,0.007,0.1162,0.0069,0.0436,0.0823,0.1366,0,0.0589,0.0025,0.0325,0.0095,0.0238,0.0081,0.0304,0.3793,0.2656,0.0609,0.0425,0.0222,0.5465,0.0057,0.053,0.194,0.0864,0.1002,0.0681,0.0086
