hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
5409,0.4582,0.0538,0.1082,0.0283,0.1541,0.259,0,0.1529,0.1633,0.1283,0.1234,0.4231,0.4425,0.0726,0.3102,0.317,0.432,0.3803,0.3573,0.3013,0.5239,0.0136,0.1401,0.2615,0.0344,0.5382,0.0853
5410,0.466,0.0668,0.1215,0.0233,0.1532,0.2878,0,0.1766,0.161,0.1308,0.1366,0.3813,0.4228,0.0704,0.3199,0.3457,0.4347,0.3636,0.3506,0.3147,0.521,0.0199,0.1391,0.2157,0.0355,0.5329,0.1095
5411,0.4626,0.0884,0.1298,0.0171,0.2045,0.4938,0,0.1395,0.1487,0.1407,0.139,0.3536,0.4031,0.0541,0.4856,0.495,0.4682,0.3323,0.2439,0.5924,0.5165,0.0444,0.1466,0.1529,0.0532,0.5025,0.1318
5412,0.4886,0.1266,0.1411,0.0325,0.3121,0.7174,0,0.2332,0.1799,0.2348,0.1919,0.3146,0.3887,0.095,0.5354,0.5562,0.6693,0.3637,0.335,0.7821,0.5024,0.044,0.2054,0.1588,0.0885,0.645,0.1903
5413,0.4048,0.1695,0.1203,0.0714,0.4016,0.8271,0,0.398,0.2485,0.3589,0.3179,0.422,0.4711,0.1064,0.5516,0.5603,0.7244,0.425,0.4458,0.8216,0.5614,0.0429,0.257,0.2102,0.1558,0.7137,0.3334
5414,0.737,0.2322,0.2075,0.1233,0.4448,0.8551,0,0.487,0.3259,0.3907,0.4295,0.4064,0.4892,0.1199,0.5353,0.5653,0.7143,0.3916,0.4967,0.8093,0.6942,0.0391,0.3005,0.2261,0.2274,0.6998,0.4731
5415,0.7679,0.2558,0.2617,0.1135,0.4576,0.8292,0,0.5599,0.3936,0.3967,0.4807,0.3379,0.4667,0.1285,0.5547,0.5558,0.6564,0.337,0.5362,0.7639,0.6531,0.0465,0.2991,0.2477,0.255,0.6653,0.5259
5416,0.6939,0.2893,0.2567,0.1212,0.4522,0.7889,0,0.6193,0.3825,0.3525,0.4538,0.261,0.4328,0.1633,0.5601,0.5221,0.547,0.2934,0.5463,0.7533,0.5639,0.0381,0.292,0.2705,0.266,0.6094,0.4446
5417,0.5949,0.3294,0.2349,0.1113,0.4513,0.7634,0,0.6862,0.3412,0.2895,0.4221,0.203,0.393,0.1777,0.6014,0.5234,0.4642,0.2821,0.5349,0.7856,0.476,0.0329,0.3049,0.3071,0.2999,0.5605,0.288
5418,0.5062,0.3288,0.2177,0.1282,0.4492,0.7361,0,0.712,0.323,0.2389,0.4126,0.1636,0.3623,0.1665,0.6318,0.5466,0.4285,0.2793,0.5064,0.7838,0.4021,0.0283,0.3211,0.3318,0.3417,0.5187,0.1917
5419,0.4239,0.3457,0.1972,0.1051,0.455,0.7151,0,0.725,0.3256,0.2136,0.4255,0.1474,0.3447,0.1457,0.6567,0.5882,0.4228,0.2977,0.4956,0.7786,0.3565,0.0207,0.3412,0.3616,0.3488,0.506,0.1542
5420,0.3894,0.3177,0.1758,0.1336,0.4541,0.6912,0,0.7295,0.3324,0.1943,0.4449,0.1538,0.318,0.1273,0.6785,0.6301,0.4379,0.3352,0.4831,0.7737,0.3081,0.0132,0.3492,0.3951,0.2754,0.5269,0.1488
5421,0.3712,0.2718,0.1476,0.1207,0.4083,0.6352,0,0.6866,0.2732,0.1306,0.3964,0.1672,0.2643,0.096,0.6604,0.6239,0.4463,0.3333,0.4807,0.7033,0.286,0.0065,0.2855,0.3454,0.2123,0.5372,0.1313
5422,0.3221,0.2294,0.0877,0.0944,0.3189,0.373,0,0.6595,0.093,0.0659,0.2943,0.1029,0.1444,0.0602,0.6109,0.56,0.2985,0.3,0.4448,0.642,0.1847,0.0044,0.137,0.2478,0.1582,0.4929,0.0423
5423,0.1651,0.1882,0.0627,0.0487,0.3292,0.3295,0,0.5879,0.0917,0.0735,0.2765,0.0946,0.1244,0.0897,0.5818,0.5766,0.3148,0.3628,0.35,0.639,0.1663,0.0014,0.1769,0.2833,0.1592,0.5441,0.0546
5424,0.1811,0.1451,0.0755,0.0602,0.3538,0.3348,0,0.6547,0.1069,0.0718,0.3239,0.126,0.1459,0.0991,0.6131,0.6177,0.3658,0.4473,0.3081,0.6622,0.2112,0.004,0.2373,0.3181,0.139,0.6198,0.061
5425,0.2214,0.1355,0.0915,0.0534,0.3848,0.3712,0,0.665,0.1202,0.0737,0.3629,0.154,0.1727,0.1034,0.6339,0.6526,0.4194,0.5107,0.2525,0.6827,0.274,0.0038,0.3163,0.3303,0.1371,0.6747,0.0661
5426,0.2457,0.1418,0.1052,0.0498,0.4095,0.3966,0,0.6342,0.1427,0.0855,0.3888,0.19,0.1863,0.104,0.6274,0.6554,0.4942,0.5607,0.196,0.687,0.3044,0.0026,0.4005,0.3408,0.1353,0.7002,0.0751
5427,0.2667,0.142,0.1177,0.0397,0.4252,0.4277,0,0.6247,0.1642,0.0945,0.4043,0.2193,0.1948,0.1071,0.6251,0.6405,0.5409,0.5985,0.1761,0.6744,0.314,0.003,0.4547,0.3658,0.1389,0.6925,0.0759
5428,0.2637,0.1496,0.123,0.0303,0.4325,0.4236,0,0.5716,0.1873,0.1091,0.4215,0.2619,0.1912,0.1157,0.5932,0.6095,0.5795,0.6221,0.1621,0.6434,0.2788,0.0044,0.468,0.4013,0.1485,0.6734,0.0746
