hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
7789,0.1257,0.4159,0.1844,0.2262,0.4826,0.507,0.2917,0.1784,0.4196,0.2904,0.4218,0.4503,0.3305,0.2282,0.5574,0.5213,0.4856,0.4819,0.3094,0.5766,0.2036,0.2139,0.4574,0.4599,0.4247,0.4787,0.3987
7790,0.2194,0.492,0.3302,0.3725,0.5794,0.6131,0.4503,0.2398,0.5544,0.3845,0.5205,0.5828,0.4543,0.3105,0.6496,0.6229,0.5931,0.608,0.3933,0.6784,0.31,0.3286,0.5791,0.5874,0.5802,0.5835,0.5074
7791,0.3678,0.5901,0.4687,0.5081,0.6386,0.6668,0.5071,0.3227,0.6291,0.4812,0.6064,0.6691,0.5553,0.3739,0.7155,0.6901,0.6574,0.6899,0.5394,0.7246,0.4136,0.3976,0.658,0.6684,0.6151,0.6559,0.5792
7792,0.4435,0.5907,0.5464,0.5705,0.6615,0.6922,0.4519,0.2725,0.6538,0.4951,0.6346,0.6532,0.5998,0.428,0.7409,0.7076,0.6673,0.6938,0.5547,0.7368,0.4646,0.428,0.6909,0.6953,0.6006,0.6798,0.6015
7793,0.5174,0.5463,0.5645,0.5651,0.6524,0.6561,0.3534,0.3312,0.6305,0.5224,0.6239,0.653,0.5969,0.4487,0.7055,0.6739,0.6662,0.6986,0.5306,0.7009,0.5375,0.4241,0.6752,0.7123,0.6391,0.6424,0.584
7794,0.5004,0.5247,0.5697,0.4737,0.5924,0.5953,0.3544,0.261,0.6061,0.4537,0.5731,0.6178,0.5682,0.4134,0.628,0.6183,0.5671,0.6543,0.499,0.613,0.5129,0.4713,0.604,0.6728,0.5765,0.5906,0.5181
7795,0.4975,0.4589,0.5256,0.3093,0.4765,0.4751,0.2568,0.2089,0.502,0.343,0.4371,0.5432,0.5184,0.3398,0.4975,0.5058,0.458,0.5891,0.4226,0.4897,0.5085,0.445,0.517,0.6172,0.475,0.5066,0.3979
7796,0.4814,0.3345,0.4574,0.1638,0.3436,0.3012,0.3837,0.1705,0.3955,0.2093,0.3234,0.4329,0.4333,0.2297,0.3305,0.3365,0.3064,0.4436,0.3076,0.3165,0.5148,0.4299,0.4143,0.4808,0.3603,0.4134,0.2357
7797,0.3676,0.143,0.3144,0.1237,0.1896,0.1416,0.275,0.1086,0.2426,0.1067,0.2037,0.3083,0.2857,0.1385,0.1326,0.1539,0.1604,0.3433,0.1615,0.1285,0.3873,0.3088,0.29,0.3465,0.1634,0.2839,0.1342
7798,0.2505,0,0.1743,0.0413,0.0104,0,0.1773,0.002,0.1065,0.0077,0.0656,0.1626,0.1326,0.0488,0,0,0.0024,0.1897,0.0526,0,0.2129,0.1539,0.1943,0.2168,0,0.1364,0.0472
7799,0.1377,0,0.0358,0,0,0,0,0,0,0,0,0.0116,0.0071,0,0,0,0,0.0005,0,0,0.0771,0,0.052,0.002,0,0,0
7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
