REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
SIN,MINBIO,EMIC02,1,2034,100
SIN,MINBIO,EMIC02,1,2035,100
SIN,MINBIO,EMIC02,1,2036,100
SIN,MINBIO,EMIC02,1,2037,100
SIN,MINBIO,EMIC02,1,2038,100
SIN,MINBIO,EMIC02,1,2039,100
SIN,MINBIO,EMIC02,1,2040,100
SIN,MINBIO,EMIC02,1,2041,100
SIN,MINBIO,EMIC02,1,2042,100
SIN,MINBIO,EMIC02,1,2043,100
SIN,MINBIO,EMIC02,1,2044,100
SIN,MINBIO,EMIC02,1,2045,100
SIN,MINBIO,EMIC02,1,2046,100
SIN,MINBIO,EMIC02,1,2047,100
SIN,MINBIO,EMIC02,1,2048,100
SIN,MINBIO,EMIC02,1,2049,100
SIN,MINBIO,EMIC02,1,2050,100
SIN,IMPCOA,EMIC02,1,2015,94.6
SIN,IMPCOA,EMIC02,1,2016,94.6
SIN,IMPCOA,EMIC02,1,2017,94.6
SIN,IMPCOA,EMIC02,1,2018,94.6
SIN,IMPCOA,EMIC02,1,2019,94.6
SIN,IMPCOA,EMIC02,1,2020,94.6
SIN,IMPCOA,EMIC02,1,2021,94.6
SIN,IMPCOA,EMIC02,1,2022,94.6
SIN,IMPCOA,EMIC02,1,2023,94.6
SIN,IMPCOA,EMIC02,1,2024,94.6
SIN,IMPCOA,EMIC02,1,2025,94.6
SIN,IMPCOA,EMIC02,1,2026,94.6
SIN,IMPCOA,EMIC02,1,2027,94.6
SIN,IMPCOA,EMIC02,1,2028,94.6
SIN,IMPCOA,EMIC02,1,2029,94.6
SIN,IMPCOA,EMIC02,1,2030,94.6
SIN,IMPCOA,EMIC02,1,2031,94.6
SIN,IMPCOA,EMIC02,1,2032,94.6
SIN,IMPCOA,EMIC02,1,2033,94.6
SIN,IMPCOA,EMIC02,1,2034,94.6
SIN,IMPCOA,EMIC02,1,2035,94.6
SIN,IMPCOA,EMIC02,1,2036,94.6
SIN,IMPCOA,EMIC02,1,2037,94.6
