;installable_capacity
AC;31793.5572
AL;16161.0096
AM;233461.2325
AP;12213.0916
BA;285636.179
CE;72982.8912
DF;0.0
ES;23402.5272
GO;181230.9862
MA;116413.1418
MG;306360.4714
MS;155795.9506
MT;359775.7155
PA;263084.2901
PB;33726.5604
PE;56663.3289
PI;105898.918
PR;93208.6651
RJ;17349.2537
RN;27809.2153
RO;74635.6655
RR;69354.2808
RS;143959.0914
SC;36796.5947
SE;12690.0611
SP;114305.0695
TO;96145.6569
