;installable_capacity
AC;0.0
AL;9454.9429
AM;0.0
AP;131293.0561
BA;92179.8293
CE;109487.4235
DF;0.0
ES;61633.4179
GO;0.0
MA;118188.9129
MG;0.0
MS;0.0
MT;0.0
PA;229091.5375
PB;11386.5914
PE;10242.2263
PI;11172.913
PR;18668.1513
RJ;35292.7192
RN;36387.8671
RO;0.0
RR;0.0
RS;114073.5736
SC;25926.5885
SE;6891.1897
SP;29249.8304
TO;0.0
