state,type,phase,value,reference_year
AC,biomass,operation,1.5,2016
AL,biomass,operation,317.462,2016
AM,biomass,operation,17.027,2016
AP,biomass,operation,1.7,2016
BA,biomass,operation,531.8,2016
CE,biomass,operation,0.0,2016
DF,biomass,operation,2.85,2016
ES,biomass,operation,310.7,2016
GO,biomass,operation,1260.868,2016
MA,biomass,operation,281.795,2016
MG,biomass,operation,1640.13885,2016
MS,biomass,operation,1510.462,2016
MT,biomass,operation,276.163,2016
PA,biomass,operation,111.2514,2016
PB,biomass,operation,101.5,2016
PE,biomass,operation,277.055,2016
PI,biomass,operation,23.5,2016
PR,biomass,operation,1042.0176,2016
RJ,biomass,operation,58.998,2016
RN,biomass,operation,61.0,2016
RO,biomass,operation,26.288,2016
RR,biomass,operation,4.8,2016
RS,biomass,operation,353.5214,2016
SC,biomass,operation,264.4656,2016
SE,biomass,operation,59.7,2016
SP,biomass,operation,6129.8302,2016
TO,biomass,operation,91.5,2016
AC,biomass,planning,0.0,2016
AL,biomass,planning,0.0,2016
AM,biomass,planning,27.6,2016
AP,biomass,planning,2.835,2016
BA,biomass,planning,132.5,2016
CE,biomass,planning,0.0,2016
DF,biomass,planning,0.0,2016
ES,biomass,planning,0.0,2016
GO,biomass,planning,138.45,2016
MA,biomass,planning,10.75,2016
MG,biomass,planning,213.0,2016
MS,biomass,planning,782.565,2016
MT,biomass,planning,333.573,2016
PA,biomass,planning,30.869999999999997,2016
PB,biomass,planning,0.0,2016
PE,biomass,planning,0.0,2016
PI,biomass,planning,0.0,2016
PR,biomass,planning,0.0,2016
RJ,biomass,planning,8.466,2016
RN,biomass,planning,0.0,2016
RO,biomass,planning,0.0,2016
RR,biomass,planning,56.952,2016
RS,biomass,planning,62.09,2016
SC,biomass,planning,0.0,2016
SE,biomass,planning,0.0,2016
SP,biomass,planning,654.168,2016
TO,biomass,planning,0.0,2016
AC,coal,operation,0.0,2016
AL,coal,operation,0.0,2016
AM,coal,operation,0.0,2016
AP,coal,operation,0.0,2016
BA,coal,operation,0.0,2016
CE,coal,operation,1303.274,2016
DF,coal,operation,0.0,2016
ES,coal,operation,0.0,2016
GO,coal,operation,0.0,2016
MA,coal,operation,435.337,2016
MG,coal,operation,113.065,2016
MS,coal,operation,0.0,2016
MT,coal,operation,0.0,2016
PA,coal,operation,103.854,2016
PB,coal,operation,0.0,2016
PE,coal,operation,0.0,2016
PI,coal,operation,0.0,2016
PR,coal,operation,20.0,2016
RJ,coal,operation,21.0,2016
RN,coal,operation,0.0,2016
RO,coal,operation,0.0,2016
RR,coal,operation,0.0,2016
RS,coal,operation,695.0,2016
SC,coal,operation,745.0,2016
SE,coal,operation,0.0,2016
SP,coal,operation,24.4,2016
TO,coal,operation,0.0,2016
AC,gas,operation,0.0,2016
AL,gas,operation,6.8774999999999995,2016
AM,gas,operation,835.2969999999999,2016
AP,gas,operation,0.0,2016
BA,gas,operation,422.278,2016
CE,gas,operation,238.374,2016
DF,gas,operation,0.0,2016
ES,gas,operation,593.566,2016
GO,gas,operation,0.0,2016
MA,gas,operation,845.544,2016
MG,gas,operation,390.69820000000004,2016
MS,gas,operation,391.774,2016
MT,gas,operation,529.2,2016
PA,gas,operation,0.0,2016
PB,gas,operation,0.0,2016
PE,gas,operation,608.325,2016
PI,gas,operation,0.0,2016
PR,gas,operation,504.68899999999996,2016
RJ,gas,operation,6339.67594,2016
RN,gas,operation,328.66715,2016
RO,gas,operation,349.0,2016
RR,gas,operation,0.0,2016
RS,gas,operation,903.259,2016
SC,gas,operation,340.6052,2016
SE,gas,operation,1601.5990000000002,2016
SP,gas,operation,987.5264,2016
TO,gas,operation,0.0,2016
AC,gas,planning,0.0,2016
AL,gas,planning,0.0,2016
AM,gas,planning,1059.012,2016
AP,gas,planning,0.0,2016
BA,gas,planning,0.0,2016
CE,gas,planning,0.0,2016
DF,gas,planning,0.0,2016
ES,gas,planning,0.0,2016
GO,gas,planning,0.0,2016
MA,gas,planning,0.0,2016
MG,gas,planning,0.0,2016
MS,gas,planning,0.0,2016
MT,gas,planning,354.57,2016
PA,gas,planning,2176.408,2016
PB,gas,planning,0.0,2016
PE,gas,planning,0.0,2016
PI,gas,planning,0.0,2016
PR,gas,planning,0.0,2016
RJ,gas,planning,1929.6999999999998,2016
RN,gas,planning,0.0,2016
RO,gas,planning,0.0,2016
RR,gas,planning,0.0,2016
RS,gas,planning,0.0,2016
SC,gas,planning,128.223,2016
SE,gas,planning,0.0,2016
SP,gas,planning,0.0,2016
TO,gas,planning,0.0,2016
AC,hydro,operation,0.0,2016
AL,hydro,operation,0.0,2016
AM,hydro,operation,274.71,2016
AP,hydro,operation,471.0,2016
BA,hydro,operation,692.6610000000001,2016
CE,hydro,operation,0.0,2016
DF,hydro,operation,0.0,2016
ES,hydro,operation,313.337,2016
GO,hydro,operation,3071.127,2016
MA,hydro,operation,0.0,2016
MG,hydro,operation,8247.241,2016
MS,hydro,operation,6612.7,2016
MT,hydro,operation,4313.45,2016
PA,hydro,operation,11626.050000000001,2016
PB,hydro,operation,0.0,2016
PE,hydro,operation,0.0,2016
PI,hydro,operation,0.0,2016
PR,hydro,operation,15930.271,2016
RJ,hydro,operation,799.087,2016
RN,hydro,operation,0.0,2016
RO,hydro,operation,7608.25,2016
RR,hydro,operation,0.0,2016
RS,hydro,operation,1609.2,2016
SC,hydro,operation,5063.892,2016
SE,hydro,operation,0.0,2016
SP,hydro,operation,5504.849,2016
TO,hydro,operation,2731.45,2016
AC,hydro,planning,0.0,2016
AL,hydro,planning,0.0,2016
AM,hydro,planning,0.0,2016
AP,hydro,planning,0.0,2016
BA,hydro,planning,0.0,2016
CE,hydro,planning,0.0,2016
DF,hydro,planning,0.0,2016
ES,hydro,planning,0.0,2016
GO,hydro,planning,99.5,2016
MA,hydro,planning,0.0,2016
MG,hydro,planning,0.0,2016
MS,hydro,planning,0.0,2016
MT,hydro,planning,92.99799999999999,2016
PA,hydro,planning,0.0,2016
PB,hydro,planning,0.0,2016
PE,hydro,planning,0.0,2016
PI,hydro,planning,0.0,2016
PR,hydro,planning,62.0,2016
RJ,hydro,planning,150.0,2016
RN,hydro,planning,0.0,2016
RO,hydro,planning,0.0,2016
RR,hydro,planning,0.0,2016
RS,hydro,planning,0.0,2016
SC,hydro,planning,0.0,2016
SE,hydro,planning,0.0,2016
SP,hydro,planning,0.0,2016
TO,hydro,planning,0.0,2016
AC,mini_hydro,operation,0.0,2016
AL,mini_hydro,operation,3.0543,2016
AM,mini_hydro,operation,0.0,2016
AP,mini_hydro,operation,0.0,2016
BA,mini_hydro,operation,10.155100000000001,2016
CE,mini_hydro,operation,0.0,2016
DF,mini_hydro,operation,0.0,2016
ES,mini_hydro,operation,1.8595,2016
GO,mini_hydro,operation,8.75094,2016
MA,mini_hydro,operation,0.072,2016
MG,mini_hydro,operation,144.72913,2016
MS,mini_hydro,operation,17.31201,2016
MT,mini_hydro,operation,69.2362,2016
PA,mini_hydro,operation,3.05,2016
PB,mini_hydro,operation,0.0,2016
PE,mini_hydro,operation,12.19234,2016
PI,mini_hydro,operation,0.0,2016
PR,mini_hydro,operation,92.70447,2016
RJ,mini_hydro,operation,16.79554,2016
RN,mini_hydro,operation,0.0,2016
RO,mini_hydro,operation,30.09462,2016
RR,mini_hydro,operation,0.0,2016
RS,mini_hydro,operation,69.22195,2016
SC,mini_hydro,operation,245.66589,2016
SE,mini_hydro,operation,0.55,2016
SP,mini_hydro,operation,72.18332,2016
TO,mini_hydro,operation,12.119,2016
AC,mini_hydro,planning,0.0,2016
AL,mini_hydro,planning,0.0,2016
AM,mini_hydro,planning,0.0,2016
AP,mini_hydro,planning,0.0,2016
BA,mini_hydro,planning,0.0,2016
CE,mini_hydro,planning,0.0,2016
DF,mini_hydro,planning,0.0,2016
ES,mini_hydro,planning,0.0,2016
GO,mini_hydro,planning,0.0,2016
MA,mini_hydro,planning,0.0,2016
MG,mini_hydro,planning,4.6,2016
MS,mini_hydro,planning,0.0,2016
MT,mini_hydro,planning,0.0,2016
PA,mini_hydro,planning,0.0,2016
PB,mini_hydro,planning,0.0,2016
PE,mini_hydro,planning,0.0,2016
PI,mini_hydro,planning,0.0,2016
PR,mini_hydro,planning,0.0,2016
RJ,mini_hydro,planning,0.0,2016
RN,mini_hydro,planning,0.0,2016
RO,mini_hydro,planning,0.0,2016
RR,mini_hydro,planning,0.0,2016
RS,mini_hydro,planning,0.0,2016
SC,mini_hydro,planning,6.696,2016
SE,mini_hydro,planning,0.0,2016
SP,mini_hydro,planning,0.0,2016
TO,mini_hydro,planning,4.4,2016
AC,nuclear,operation,0.0,2016
AL,nuclear,operation,0.0,2016
AM,nuclear,operation,0.0,2016
AP,nuclear,operation,0.0,2016
BA,nuclear,operation,0.0,2016
CE,nuclear,operation,0.0,2016
DF,nuclear,operation,0.0,2016
ES,nuclear,operation,0.0,2016
GO,nuclear,operation,0.0,2016
MA,nuclear,operation,0.0,2016
MG,nuclear,operation,0.0,2016
MS,nuclear,operation,0.0,2016
MT,nuclear,operation,0.0,2016
PA,nuclear,operation,0.0,2016
PB,nuclear,operation,0.0,2016
PE,nuclear,operation,0.0,2016
PI,nuclear,operation,0.0,2016
PR,nuclear,operation,0.0,2016
RJ,nuclear,operation,1990.0,2016
RN,nuclear,operation,0.0,2016
RO,nuclear,operation,0.0,2016
RR,nuclear,operation,0.0,2016
RS,nuclear,operation,0.0,2016
SC,nuclear,operation,0.0,2016
SE,nuclear,operation,0.0,2016
SP,nuclear,operation,0.0,2016
TO,nuclear,operation,0.0,2016
AC,nuclear,planning,0.0,2016
AL,nuclear,planning,0.0,2016
AM,nuclear,planning,0.0,2016
AP,nuclear,planning,0.0,2016
BA,nuclear,planning,0.0,2016
CE,nuclear,planning,0.0,2016
DF,nuclear,planning,0.0,2016
ES,nuclear,planning,0.0,2016
GO,nuclear,planning,0.0,2016
MA,nuclear,planning,0.0,2016
MG,nuclear,planning,0.0,2016
MS,nuclear,planning,0.0,2016
MT,nuclear,planning,0.0,2016
PA,nuclear,planning,0.0,2016
PB,nuclear,planning,0.0,2016
PE,nuclear,planning,0.0,2016
PI,nuclear,planning,0.0,2016
PR,nuclear,planning,0.0,2016
RJ,nuclear,planning,1350.0,2016
RN,nuclear,planning,0.0,2016
RO,nuclear,planning,0.0,2016
RR,nuclear,planning,0.0,2016
RS,nuclear,planning,0.0,2016
SC,nuclear,planning,0.0,2016
SE,nuclear,planning,0.0,2016
SP,nuclear,planning,0.0,2016
TO,nuclear,planning,0.0,2016
AC,oil,operation,71.2036,2016
AL,oil,operation,10.2636,2016
AM,oil,operation,361.2198,2016
AP,oil,operation,26.016,2016
BA,oil,operation,455.19190000000003,2016
CE,oil,operation,189.78910000000002,2016
DF,oil,operation,16.3584,2016
ES,oil,operation,569.5663999999999,2016
GO,oil,operation,395.88759,2016
MA,oil,operation,339.8066,2016
MG,oil,operation,323.43908,2016
MS,oil,operation,7.926,2016
MT,oil,operation,44.229,2016
PA,oil,operation,233.58675,2016
PB,oil,operation,521.4428,2016
PE,oil,operation,870.948,2016
PI,oil,operation,17.006,2016
PR,oil,operation,118.41475,2016
RJ,oil,operation,632.8854,2016
RN,oil,operation,134.89180000000002,2016
RO,oil,operation,69.322,2016
RR,oil,operation,333.04560000000004,2016
RS,oil,operation,233.37120000000002,2016
SC,oil,operation,68.44456,2016
SE,oil,operation,32.4274,2016
SP,oil,operation,1424.85774,2016
TO,oil,operation,18.529,2016
AC,oil,planning,0.0,2016
AL,oil,planning,0.0,2016
AM,oil,planning,15.151,2016
AP,oil,planning,0.0,2016
BA,oil,planning,0.0,2016
CE,oil,planning,0.0,2016
DF,oil,planning,0.0,2016
ES,oil,planning,0.0,2016
GO,oil,planning,0.0,2016
MA,oil,planning,0.0,2016
MG,oil,planning,30.0,2016
MS,oil,planning,0.0,2016
MT,oil,planning,0.0,2016
PA,oil,planning,0.0,2016
PB,oil,planning,0.0,2016
PE,oil,planning,288.9,2016
PI,oil,planning,0.0,2016
PR,oil,planning,0.0,2016
RJ,oil,planning,0.0,2016
RN,oil,planning,0.0,2016
RO,oil,planning,0.0,2016
RR,oil,planning,0.0,2016
RS,oil,planning,0.0,2016
SC,oil,planning,0.0,2016
SE,oil,planning,0.0,2016
SP,oil,planning,0.0,2016
TO,oil,planning,0.0,2016
