state,type,phase,value,reference_year
AC,biomass,operation,1.5,2017
AL,biomass,operation,317.462,2017
AM,biomass,operation,17.027,2017
AP,biomass,operation,1.7,2017
BA,biomass,operation,531.8,2017
CE,biomass,operation,0.0,2017
DF,biomass,operation,2.85,2017
ES,biomass,operation,310.7,2017
GO,biomass,operation,1260.868,2017
MA,biomass,operation,281.795,2017
MG,biomass,operation,1656.21885,2017
MS,biomass,operation,1780.042,2017
MT,biomass,operation,276.163,2017
PA,biomass,operation,111.2514,2017
PB,biomass,operation,101.5,2017
PE,biomass,operation,277.055,2017
PI,biomass,operation,23.5,2017
PR,biomass,operation,1051.9995999999999,2017
RJ,biomass,operation,58.998,2017
RN,biomass,operation,61.0,2017
RO,biomass,operation,26.288,2017
RR,biomass,operation,4.8,2017
RS,biomass,operation,353.5214,2017
SC,biomass,operation,278.7656,2017
SE,biomass,operation,59.7,2017
SP,biomass,operation,6172.9302,2017
TO,biomass,operation,91.5,2017
AC,biomass,planning,0.0,2017
AL,biomass,planning,0.0,2017
AM,biomass,planning,27.6,2017
AP,biomass,planning,2.835,2017
BA,biomass,planning,132.5,2017
CE,biomass,planning,0.0,2017
DF,biomass,planning,0.0,2017
ES,biomass,planning,0.0,2017
GO,biomass,planning,138.45,2017
MA,biomass,planning,10.75,2017
MG,biomass,planning,213.0,2017
MS,biomass,planning,782.565,2017
MT,biomass,planning,333.573,2017
PA,biomass,planning,30.869999999999997,2017
PB,biomass,planning,0.0,2017
PE,biomass,planning,0.0,2017
PI,biomass,planning,0.0,2017
PR,biomass,planning,0.0,2017
RJ,biomass,planning,8.466,2017
RN,biomass,planning,0.0,2017
RO,biomass,planning,0.0,2017
RR,biomass,planning,56.952,2017
RS,biomass,planning,62.09,2017
SC,biomass,planning,0.0,2017
SE,biomass,planning,0.0,2017
SP,biomass,planning,654.168,2017
TO,biomass,planning,0.0,2017
AC,coal,operation,0.0,2017
AL,coal,operation,0.0,2017
AM,coal,operation,0.0,2017
AP,coal,operation,0.0,2017
BA,coal,operation,0.0,2017
CE,coal,operation,1303.274,2017
DF,coal,operation,0.0,2017
ES,coal,operation,0.0,2017
GO,coal,operation,0.0,2017
MA,coal,operation,435.337,2017
MG,coal,operation,113.065,2017
MS,coal,operation,0.0,2017
MT,coal,operation,0.0,2017
PA,coal,operation,103.854,2017
PB,coal,operation,0.0,2017
PE,coal,operation,0.0,2017
PI,coal,operation,0.0,2017
PR,coal,operation,20.0,2017
RJ,coal,operation,21.0,2017
RN,coal,operation,0.0,2017
RO,coal,operation,0.0,2017
RR,coal,operation,0.0,2017
RS,coal,operation,695.0,2017
SC,coal,operation,745.0,2017
SE,coal,operation,0.0,2017
SP,coal,operation,24.4,2017
TO,coal,operation,0.0,2017
AC,gas,operation,0.0,2017
AL,gas,operation,6.8774999999999995,2017
AM,gas,operation,874.069,2017
AP,gas,operation,0.0,2017
BA,gas,operation,422.278,2017
CE,gas,operation,238.374,2017
DF,gas,operation,0.0,2017
ES,gas,operation,593.566,2017
GO,gas,operation,0.0,2017
MA,gas,operation,845.544,2017
MG,gas,operation,390.69820000000004,2017
MS,gas,operation,391.774,2017
MT,gas,operation,529.2,2017
PA,gas,operation,0.0,2017
PB,gas,operation,0.0,2017
PE,gas,operation,608.325,2017
PI,gas,operation,0.0,2017
PR,gas,operation,504.68899999999996,2017
RJ,gas,operation,6339.67594,2017
RN,gas,operation,328.66715,2017
RO,gas,operation,349.0,2017
RR,gas,operation,0.0,2017
RS,gas,operation,903.259,2017
SC,gas,operation,340.6052,2017
SE,gas,operation,1601.5990000000002,2017
SP,gas,operation,1002.5764,2017
TO,gas,operation,0.0,2017
AC,gas,planning,0.0,2017
AL,gas,planning,0.0,2017
AM,gas,planning,1059.012,2017
AP,gas,planning,0.0,2017
BA,gas,planning,0.0,2017
CE,gas,planning,0.0,2017
DF,gas,planning,0.0,2017
ES,gas,planning,0.0,2017
GO,gas,planning,0.0,2017
MA,gas,planning,0.0,2017
MG,gas,planning,0.0,2017
MS,gas,planning,0.0,2017
MT,gas,planning,354.57,2017
PA,gas,planning,2176.408,2017
PB,gas,planning,0.0,2017
PE,gas,planning,0.0,2017
PI,gas,planning,0.0,2017
PR,gas,planning,0.0,2017
RJ,gas,planning,1929.6999999999998,2017
RN,gas,planning,0.0,2017
RO,gas,planning,0.0,2017
RR,gas,planning,0.0,2017
RS,gas,planning,0.0,2017
SC,gas,planning,128.223,2017
SE,gas,planning,0.0,2017
SP,gas,planning,0.0,2017
TO,gas,planning,0.0,2017
AC,hydro,operation,0.0,2017
AL,hydro,operation,0.0,2017
AM,hydro,operation,274.71,2017
AP,hydro,operation,471.0,2017
BA,hydro,operation,692.6610000000001,2017
CE,hydro,operation,0.0,2017
DF,hydro,operation,0.0,2017
ES,hydro,operation,313.337,2017
GO,hydro,operation,3071.127,2017
MA,hydro,operation,0.0,2017
MG,hydro,operation,8655.241,2017
MS,hydro,operation,6612.7,2017
MT,hydro,operation,4313.45,2017
PA,hydro,operation,11626.050000000001,2017
PB,hydro,operation,0.0,2017
PE,hydro,operation,0.0,2017
PI,hydro,operation,0.0,2017
PR,hydro,operation,15930.271,2017
RJ,hydro,operation,799.087,2017
RN,hydro,operation,0.0,2017
RO,hydro,operation,7608.25,2017
RR,hydro,operation,0.0,2017
RS,hydro,operation,1609.2,2017
SC,hydro,operation,5063.892,2017
SE,hydro,operation,0.0,2017
SP,hydro,operation,5928.849,2017
TO,hydro,operation,2731.45,2017
AC,hydro,planning,0.0,2017
AL,hydro,planning,0.0,2017
AM,hydro,planning,0.0,2017
AP,hydro,planning,0.0,2017
BA,hydro,planning,0.0,2017
CE,hydro,planning,0.0,2017
DF,hydro,planning,0.0,2017
ES,hydro,planning,0.0,2017
GO,hydro,planning,99.5,2017
MA,hydro,planning,0.0,2017
MG,hydro,planning,0.0,2017
MS,hydro,planning,0.0,2017
MT,hydro,planning,92.99799999999999,2017
PA,hydro,planning,0.0,2017
PB,hydro,planning,0.0,2017
PE,hydro,planning,0.0,2017
PI,hydro,planning,0.0,2017
PR,hydro,planning,62.0,2017
RJ,hydro,planning,150.0,2017
RN,hydro,planning,0.0,2017
RO,hydro,planning,0.0,2017
RR,hydro,planning,0.0,2017
RS,hydro,planning,0.0,2017
SC,hydro,planning,0.0,2017
SE,hydro,planning,0.0,2017
SP,hydro,planning,0.0,2017
TO,hydro,planning,0.0,2017
AC,mini_hydro,operation,0.0,2017
AL,mini_hydro,operation,3.0543,2017
AM,mini_hydro,operation,0.0,2017
AP,mini_hydro,operation,0.0,2017
BA,mini_hydro,operation,10.155100000000001,2017
CE,mini_hydro,operation,0.0,2017
DF,mini_hydro,operation,0.0,2017
ES,mini_hydro,operation,1.8595,2017
GO,mini_hydro,operation,11.75094,2017
MA,mini_hydro,operation,0.072,2017
MG,mini_hydro,operation,148.32913,2017
MS,mini_hydro,operation,17.31201,2017
MT,mini_hydro,operation,69.2362,2017
PA,mini_hydro,operation,3.05,2017
PB,mini_hydro,operation,0.0,2017
PE,mini_hydro,operation,12.19234,2017
PI,mini_hydro,operation,0.0,2017
PR,mini_hydro,operation,93.70447,2017
RJ,mini_hydro,operation,16.79554,2017
RN,mini_hydro,operation,0.0,2017
RO,mini_hydro,operation,30.09462,2017
RR,mini_hydro,operation,0.0,2017
RS,mini_hydro,operation,69.22195,2017
SC,mini_hydro,operation,249.66589,2017
SE,mini_hydro,operation,0.55,2017
SP,mini_hydro,operation,72.18332,2017
TO,mini_hydro,operation,19.419,2017
AC,mini_hydro,planning,0.0,2017
AL,mini_hydro,planning,0.0,2017
AM,mini_hydro,planning,0.0,2017
AP,mini_hydro,planning,0.0,2017
BA,mini_hydro,planning,0.0,2017
CE,mini_hydro,planning,0.0,2017
DF,mini_hydro,planning,0.0,2017
ES,mini_hydro,planning,0.0,2017
GO,mini_hydro,planning,0.0,2017
MA,mini_hydro,planning,0.0,2017
MG,mini_hydro,planning,4.6,2017
MS,mini_hydro,planning,0.0,2017
MT,mini_hydro,planning,0.0,2017
PA,mini_hydro,planning,0.0,2017
PB,mini_hydro,planning,0.0,2017
PE,mini_hydro,planning,0.0,2017
PI,mini_hydro,planning,0.0,2017
PR,mini_hydro,planning,0.0,2017
RJ,mini_hydro,planning,0.0,2017
RN,mini_hydro,planning,0.0,2017
RO,mini_hydro,planning,0.0,2017
RR,mini_hydro,planning,0.0,2017
RS,mini_hydro,planning,0.0,2017
SC,mini_hydro,planning,6.696,2017
SE,mini_hydro,planning,0.0,2017
SP,mini_hydro,planning,0.0,2017
TO,mini_hydro,planning,4.4,2017
AC,nuclear,operation,0.0,2017
AL,nuclear,operation,0.0,2017
AM,nuclear,operation,0.0,2017
AP,nuclear,operation,0.0,2017
BA,nuclear,operation,0.0,2017
CE,nuclear,operation,0.0,2017
DF,nuclear,operation,0.0,2017
ES,nuclear,operation,0.0,2017
GO,nuclear,operation,0.0,2017
MA,nuclear,operation,0.0,2017
MG,nuclear,operation,0.0,2017
MS,nuclear,operation,0.0,2017
MT,nuclear,operation,0.0,2017
PA,nuclear,operation,0.0,2017
PB,nuclear,operation,0.0,2017
PE,nuclear,operation,0.0,2017
PI,nuclear,operation,0.0,2017
PR,nuclear,operation,0.0,2017
RJ,nuclear,operation,1990.0,2017
RN,nuclear,operation,0.0,2017
RO,nuclear,operation,0.0,2017
RR,nuclear,operation,0.0,2017
RS,nuclear,operation,0.0,2017
SC,nuclear,operation,0.0,2017
SE,nuclear,operation,0.0,2017
SP,nuclear,operation,0.0,2017
TO,nuclear,operation,0.0,2017
AC,nuclear,planning,0.0,2017
AL,nuclear,planning,0.0,2017
AM,nuclear,planning,0.0,2017
AP,nuclear,planning,0.0,2017
BA,nuclear,planning,0.0,2017
CE,nuclear,planning,0.0,2017
DF,nuclear,planning,0.0,2017
ES,nuclear,planning,0.0,2017
GO,nuclear,planning,0.0,2017
MA,nuclear,planning,0.0,2017
MG,nuclear,planning,0.0,2017
MS,nuclear,planning,0.0,2017
MT,nuclear,planning,0.0,2017
PA,nuclear,planning,0.0,2017
PB,nuclear,planning,0.0,2017
PE,nuclear,planning,0.0,2017
PI,nuclear,planning,0.0,2017
PR,nuclear,planning,0.0,2017
RJ,nuclear,planning,1350.0,2017
RN,nuclear,planning,0.0,2017
RO,nuclear,planning,0.0,2017
RR,nuclear,planning,0.0,2017
RS,nuclear,planning,0.0,2017
SC,nuclear,planning,0.0,2017
SE,nuclear,planning,0.0,2017
SP,nuclear,planning,0.0,2017
TO,nuclear,planning,0.0,2017
AC,oil,operation,71.2036,2017
AL,oil,operation,10.2636,2017
AM,oil,operation,715.7958,2017
AP,oil,operation,26.016,2017
BA,oil,operation,455.19190000000003,2017
CE,oil,operation,195.43910000000002,2017
DF,oil,operation,16.3584,2017
ES,oil,operation,569.5663999999999,2017
GO,oil,operation,395.88759,2017
MA,oil,operation,339.8066,2017
MG,oil,operation,323.43908,2017
MS,oil,operation,7.926,2017
MT,oil,operation,44.229,2017
PA,oil,operation,233.58675,2017
PB,oil,operation,521.4428,2017
PE,oil,operation,870.948,2017
PI,oil,operation,17.006,2017
PR,oil,operation,123.85475,2017
RJ,oil,operation,632.8854,2017
RN,oil,operation,134.89180000000002,2017
RO,oil,operation,69.322,2017
RR,oil,operation,333.04560000000004,2017
RS,oil,operation,233.37120000000002,2017
SC,oil,operation,68.44456,2017
SE,oil,operation,32.4274,2017
SP,oil,operation,1424.85774,2017
TO,oil,operation,18.529,2017
AC,oil,planning,0.0,2017
AL,oil,planning,0.0,2017
AM,oil,planning,15.151,2017
AP,oil,planning,0.0,2017
BA,oil,planning,0.0,2017
CE,oil,planning,0.0,2017
DF,oil,planning,0.0,2017
ES,oil,planning,0.0,2017
GO,oil,planning,0.0,2017
MA,oil,planning,0.0,2017
MG,oil,planning,30.0,2017
MS,oil,planning,0.0,2017
MT,oil,planning,0.0,2017
PA,oil,planning,0.0,2017
PB,oil,planning,0.0,2017
PE,oil,planning,288.9,2017
PI,oil,planning,0.0,2017
PR,oil,planning,0.0,2017
RJ,oil,planning,0.0,2017
RN,oil,planning,0.0,2017
RO,oil,planning,0.0,2017
RR,oil,planning,0.0,2017
RS,oil,planning,0.0,2017
SC,oil,planning,0.0,2017
SE,oil,planning,0.0,2017
SP,oil,planning,0.0,2017
TO,oil,planning,0.0,2017
AC,on_wind,operation,0.0,2017
AL,on_wind,operation,0.0,2017
AM,on_wind,operation,0.0,2017
AP,on_wind,operation,0.0,2017
BA,on_wind,operation,4421.05564,2017
CE,on_wind,operation,2178.84,2017
DF,on_wind,operation,0.0,2017
ES,on_wind,operation,0.0,2017
GO,on_wind,operation,0.0,2017
MA,on_wind,operation,220.82250000000002,2017
MG,on_wind,operation,0.156,2017
MS,on_wind,operation,0.0,2017
MT,on_wind,operation,0.0,2017
PA,on_wind,operation,0.0,2017
PB,on_wind,operation,157.2,2017
PE,on_wind,operation,845.515,2017
PI,on_wind,operation,1659.1,2017
PR,on_wind,operation,2.5,2017
RJ,on_wind,operation,28.05,2017
RN,on_wind,operation,4043.521,2017
RO,on_wind,operation,0.0,2017
RR,on_wind,operation,0.0,2017
RS,on_wind,operation,1835.89198,2017
SC,on_wind,operation,250.5995,2017
SE,on_wind,operation,34.5,2017
SP,on_wind,operation,0.00224,2017
TO,on_wind,operation,0.0,2017
AC,on_wind,planning,0.0,2017
AL,on_wind,planning,0.0,2017
AM,on_wind,planning,0.0,2017
AP,on_wind,planning,0.0,2017
BA,on_wind,planning,10556.5,2017
CE,on_wind,planning,2875.8,2017
DF,on_wind,planning,0.0,2017
ES,on_wind,planning,0.0,2017
GO,on_wind,planning,0.0,2017
MA,on_wind,planning,130.2,2017
MG,on_wind,planning,384.448,2017
MS,on_wind,planning,0.0,2017
MT,on_wind,planning,0.0,2017
PA,on_wind,planning,0.0,2017
PB,on_wind,planning,2331.3,2017
PE,on_wind,planning,529.5,2017
PI,on_wind,planning,2882.8,2017
PR,on_wind,planning,0.0,2017
RJ,on_wind,planning,0.0,2017
RN,on_wind,planning,3401.8,2017
RO,on_wind,planning,0.0,2017
RR,on_wind,planning,0.0,2017
RS,on_wind,planning,2137.32,2017
SC,on_wind,planning,0.0,2017
SE,on_wind,planning,0.0,2017
SP,on_wind,planning,0.0,2017
TO,on_wind,planning,0.0,2017
AC,small_hydro,operation,0.0,2017
AL,small_hydro,operation,0.0,2017
AM,small_hydro,operation,0.0,2017
AP,small_hydro,operation,0.0,2017
BA,small_hydro,operation,89.75,2017
CE,small_hydro,operation,0.0,2017
DF,small_hydro,operation,0.0,2017
ES,small_hydro,operation,231.96,2017
GO,small_hydro,operation,501.132,2017
MA,small_hydro,operation,0.0,2017
MG,small_hydro,operation,749.74717,2017
MS,small_hydro,operation,284.968,2017
MT,small_hydro,operation,1011.104,2017
PA,small_hydro,operation,60.0,2017
PB,small_hydro,operation,3.52,2017
PE,small_hydro,operation,13.475000000000001,2017
PI,small_hydro,operation,0.0,2017
PR,small_hydro,operation,411.472,2017
RJ,small_hydro,operation,257.98199999999997,2017
RN,small_hydro,operation,4.7,2017
RO,small_hydro,operation,129.351,2017
RR,small_hydro,operation,0.0,2017
RS,small_hydro,operation,660.2983,2017
SC,small_hydro,operation,530.76,2017
SE,small_hydro,operation,0.0,2017
SP,small_hydro,operation,295.358,2017
TO,small_hydro,operation,159.7,2017
AC,small_hydro,planning,0.0,2017
AL,small_hydro,planning,0.0,2017
AM,small_hydro,planning,0.0,2017
AP,small_hydro,planning,7.5,2017
BA,small_hydro,planning,17.001,2017
CE,small_hydro,planning,0.0,2017
DF,small_hydro,planning,0.0,2017
ES,small_hydro,planning,8.0,2017
GO,small_hydro,planning,159.29,2017
MA,small_hydro,planning,0.0,2017
MG,small_hydro,planning,110.392,2017
MS,small_hydro,planning,32.0,2017
MT,small_hydro,planning,116.17,2017
PA,small_hydro,planning,0.0,2017
PB,small_hydro,planning,0.0,2017
PE,small_hydro,planning,0.0,2017
PI,small_hydro,planning,0.0,2017
PR,small_hydro,planning,210.89,2017
RJ,small_hydro,planning,23.594,2017
RN,small_hydro,planning,0.0,2017
RO,small_hydro,planning,73.8,2017
RR,small_hydro,planning,0.0,2017
RS,small_hydro,planning,203.91795,2017
SC,small_hydro,planning,293.7207,2017
SE,small_hydro,planning,0.0,2017
SP,small_hydro,planning,22.095,2017
TO,small_hydro,planning,5.5,2017
AC,solar_pv,operation,0.7152000000000001,2017
AL,solar_pv,operation,3.74,2017
AM,solar_pv,operation,1.21604,2017
AP,solar_pv,operation,4.0652,2017
BA,solar_pv,operation,692.9488,2017
CE,solar_pv,operation,229.769,2017
DF,solar_pv,operation,0.0,2017
ES,solar_pv,operation,14.88178,2017
GO,solar_pv,operation,10.4366,2017
MA,solar_pv,operation,2.43253,2017
MG,solar_pv,operation,646.73768,2017
MS,solar_pv,operation,11.88798,2017
MT,solar_pv,operation,21.305780000000002,2017
PA,solar_pv,operation,16.76672,2017
PB,solar_pv,operation,141.8502,2017
PE,solar_pv,operation,61.22645,2017
PI,solar_pv,operation,490.114,2017
PR,solar_pv,operation,16.82131,2017
RJ,solar_pv,operation,5.3193,2017
RN,solar_pv,operation,130.21734,2017
RO,solar_pv,operation,3.27048,2017
RR,solar_pv,operation,0.36,2017
RS,solar_pv,operation,30.38046,2017
SC,solar_pv,operation,16.06833,2017
SE,solar_pv,operation,0.8,2017
SP,solar_pv,operation,294.91762,2017
TO,solar_pv,operation,6.125,2017
AC,solar_pv,planning,0.0,2017
AL,solar_pv,planning,0.0,2017
AM,solar_pv,planning,0.0,2017
AP,solar_pv,planning,0.0,2017
BA,solar_pv,planning,350.0,2017
CE,solar_pv,planning,567.014,2017
DF,solar_pv,planning,0.0,2017
ES,solar_pv,planning,0.0,2017
GO,solar_pv,planning,0.0,2017
MA,solar_pv,planning,0.0,2017
MG,solar_pv,planning,3013.051,2017
MS,solar_pv,planning,0.0,2017
MT,solar_pv,planning,0.0,2017
PA,solar_pv,planning,0.0,2017
PB,solar_pv,planning,450.0,2017
PE,solar_pv,planning,173.915,2017
PI,solar_pv,planning,1540.4379999999999,2017
PR,solar_pv,planning,0.0,2017
RJ,solar_pv,planning,0.0,2017
RN,solar_pv,planning,647.63339,2017
RO,solar_pv,planning,0.0,2017
RR,solar_pv,planning,0.0,2017
RS,solar_pv,planning,0.0,2017
SC,solar_pv,planning,0.0,2017
SE,solar_pv,planning,0.0,2017
SP,solar_pv,planning,287.71542,2017
TO,solar_pv,planning,0.0,2017
