state,type,phase,value,reference_year
AL,hydro,planning,0.0,2021
AM,hydro,planning,0.0,2021
AP,hydro,planning,0.0,2021
BA,hydro,planning,0.0,2021
CE,hydro,planning,0.0,2021
DF,hydro,planning,0.0,2021
ES,hydro,planning,0.0,2021
GO,hydro,planning,99.5,2021
MA,hydro,planning,0.0,2021
MG,hydro,planning,0.0,2021
MS,hydro,planning,0.0,2021
MT,hydro,planning,92.99799999999999,2021
PA,hydro,planning,0.0,2021
PB,hydro,planning,0.0,2021
PE,hydro,planning,0.0,2021
PI,hydro,planning,0.0,2021
PR,hydro,planning,62.0,2021
RJ,hydro,planning,150.0,2021
RN,hydro,planning,0.0,2021
RO,hydro,planning,0.0,2021
RR,hydro,planning,0.0,2021
RS,hydro,planning,0.0,2021
SC,hydro,planning,0.0,2021
SE,hydro,planning,0.0,2021
SP,hydro,planning,0.0,2021
TO,hydro,planning,0.0,2021
AC,mini_hydro,operation,0.0,2021
AL,mini_hydro,operation,3.0543,2021
AM,mini_hydro,operation,0.0,2021
AP,mini_hydro,operation,0.0,2021
BA,mini_hydro,operation,10.155100000000001,2021
CE,mini_hydro,operation,0.0,2021
DF,mini_hydro,operation,0.0,2021
ES,mini_hydro,operation,3.3715,2021
GO,mini_hydro,operation,11.75094,2021
MA,mini_hydro,operation,0.072,2021
MG,mini_hydro,operation,162.42913,2021
MS,mini_hydro,operation,17.31201,2021
MT,mini_hydro,operation,74.2362,2021
PA,mini_hydro,operation,3.05,2021
PB,mini_hydro,operation,0.0,2021
PE,mini_hydro,operation,12.19234,2021
PI,mini_hydro,operation,0.0,2021
PR,mini_hydro,operation,97.70447,2021
RJ,mini_hydro,operation,16.79554,2021
RN,mini_hydro,operation,0.0,2021
RO,mini_hydro,operation,30.09462,2021
RR,mini_hydro,operation,0.0,2021
RS,mini_hydro,operation,69.22195,2021
SC,mini_hydro,operation,255.09689,2021
SE,mini_hydro,operation,0.55,2021
SP,mini_hydro,operation,72.18332,2021
TO,mini_hydro,operation,19.419,2021
AC,mini_hydro,planning,0.0,2021
AL,mini_hydro,planning,0.0,2021
AM,mini_hydro,planning,0.0,2021
AP,mini_hydro,planning,0.0,2021
BA,mini_hydro,planning,0.0,2021
CE,mini_hydro,planning,0.0,2021
DF,mini_hydro,planning,0.0,2021
ES,mini_hydro,planning,0.0,2021
GO,mini_hydro,planning,0.0,2021
MA,mini_hydro,planning,0.0,2021
MG,mini_hydro,planning,4.6,2021
MS,mini_hydro,planning,0.0,2021
MT,mini_hydro,planning,0.0,2021
PA,mini_hydro,planning,0.0,2021
PB,mini_hydro,planning,0.0,2021
PE,mini_hydro,planning,0.0,2021
PI,mini_hydro,planning,0.0,2021
PR,mini_hydro,planning,0.0,2021
RJ,mini_hydro,planning,0.0,2021
RN,mini_hydro,planning,0.0,2021
RO,mini_hydro,planning,0.0,2021
RR,mini_hydro,planning,0.0,2021
RS,mini_hydro,planning,0.0,2021
SC,mini_hydro,planning,6.696,2021
SE,mini_hydro,planning,0.0,2021
SP,mini_hydro,planning,0.0,2021
TO,mini_hydro,planning,4.4,2021
AC,nuclear,operation,0.0,2021
AL,nuclear,operation,0.0,2021
AM,nuclear,operation,0.0,2021
AP,nuclear,operation,0.0,2021
BA,nuclear,operation,0.0,2021
CE,nuclear,operation,0.0,2021
DF,nuclear,operation,0.0,2021
ES,nuclear,operation,0.0,2021
GO,nuclear,operation,0.0,2021
MA,nuclear,operation,0.0,2021
MG,nuclear,operation,0.0,2021
MS,nuclear,operation,0.0,2021
MT,nuclear,operation,0.0,2021
PA,nuclear,operation,0.0,2021
PB,nuclear,operation,0.0,2021
PE,nuclear,operation,0.0,2021
PI,nuclear,operation,0.0,2021
PR,nuclear,operation,0.0,2021
RJ,nuclear,operation,1990.0,2021
RN,nuclear,operation,0.0,2021
RO,nuclear,operation,0.0,2021
RR,nuclear,operation,0.0,2021
RS,nuclear,operation,0.0,2021
SC,nuclear,operation,0.0,2021
SE,nuclear,operation,0.0,2021
SP,nuclear,operation,0.0,2021
TO,nuclear,operation,0.0,2021
AC,nuclear,planning,0.0,2021
AL,nuclear,planning,0.0,2021
AM,nuclear,planning,0.0,2021
AP,nuclear,planning,0.0,2021
BA,nuclear,planning,0.0,2021
CE,nuclear,planning,0.0,2021
DF,nuclear,planning,0.0,2021
ES,nuclear,planning,0.0,2021
GO,nuclear,planning,0.0,2021
MA,nuclear,planning,0.0,2021
MG,nuclear,planning,0.0,2021
MS,nuclear,planning,0.0,2021
MT,nuclear,planning,0.0,2021
PA,nuclear,planning,0.0,2021
PB,nuclear,planning,0.0,2021
PE,nuclear,planning,0.0,2021
PI,nuclear,planning,0.0,2021
PR,nuclear,planning,0.0,2021
RJ,nuclear,planning,1350.0,2021
RN,nuclear,planning,0.0,2021
RO,nuclear,planning,0.0,2021
RR,nuclear,planning,0.0,2021
RS,nuclear,planning,0.0,2021
SC,nuclear,planning,0.0,2021
SE,nuclear,planning,0.0,2021
SP,nuclear,planning,0.0,2021
TO,nuclear,planning,0.0,2021
AC,oil,operation,140.67,2021
AL,oil,operation,10.2636,2021
AM,oil,operation,715.7958,2021
AP,oil,operation,26.016,2021
BA,oil,operation,455.19190000000003,2021
CE,oil,operation,195.43910000000002,2021
DF,oil,operation,16.3584,2021
ES,oil,operation,569.5663999999999,2021
GO,oil,operation,395.88759,2021
MA,oil,operation,339.8066,2021
MG,oil,operation,323.43908,2021
MS,oil,operation,7.926,2021
MT,oil,operation,44.229,2021
PA,oil,operation,233.58675,2021
PB,oil,operation,521.4428,2021
PE,oil,operation,870.948,2021
PI,oil,operation,17.006,2021
PR,oil,operation,123.85475,2021
RJ,oil,operation,632.8854,2021
RN,oil,operation,134.89180000000002,2021
RO,oil,operation,69.322,2021
RR,oil,operation,381.9106,2021
RS,oil,operation,233.37120000000002,2021
SC,oil,operation,68.44456,2021
SE,oil,operation,32.4274,2021
SP,oil,operation,1558.57774,2021
TO,oil,operation,18.529,2021
AC,oil,planning,0.0,2021
AL,oil,planning,0.0,2021
AM,oil,planning,15.151,2021
AP,oil,planning,0.0,2021
BA,oil,planning,0.0,2021
CE,oil,planning,0.0,2021
DF,oil,planning,0.0,2021
ES,oil,planning,0.0,2021
GO,oil,planning,0.0,2021
MA,oil,planning,0.0,2021
MG,oil,planning,30.0,2021
MS,oil,planning,0.0,2021
MT,oil,planning,0.0,2021
PA,oil,planning,0.0,2021
PB,oil,planning,0.0,2021
PE,oil,planning,288.9,2021
PI,oil,planning,0.0,2021
PR,oil,planning,0.0,2021
RJ,oil,planning,0.0,2021
RN,oil,planning,0.0,2021
RO,oil,planning,0.0,2021
RR,oil,planning,0.0,2021
RS,oil,planning,0.0,2021
SC,oil,planning,0.0,2021
SE,oil,planning,0.0,2021
SP,oil,planning,0.0,2021
TO,oil,planning,0.0,2021
AC,on_wind,operation,0.0,2021
AL,on_wind,operation,0.0,2021
AM,on_wind,operation,0.0,2021
AP,on_wind,operation,0.0,2021
BA,on_wind,operation,8978.07064,2021
CE,on_wind,operation,2577.84,2021
DF,on_wind,operation,0.0,2021
ES,on_wind,operation,0.0,2021
GO,on_wind,operation,0.0,2021
MA,on_wind,operation,426.02250000000004,2021
MG,on_wind,operation,0.156,2021
MS,on_wind,operation,0.0,2021
MT,on_wind,operation,0.0,2021
PA,on_wind,operation,0.0,2021
PB,on_wind,operation,992.24,2021
PE,on_wind,operation,1088.365,2021
PI,on_wind,operation,4016.25,2021
PR,on_wind,operation,2.5,2021
RJ,on_wind,operation,28.05,2021
RN,on_wind,operation,9370.436,2021
RO,on_wind,operation,0.0,2021
RR,on_wind,operation,0.0,2021
RS,on_wind,operation,1835.89198,2021
SC,on_wind,operation,250.5995,2021
SE,on_wind,operation,34.5,2021
SP,on_wind,operation,0.00224,2021
TO,on_wind,operation,0.0,2021
AC,on_wind,planning,0.0,2021
AL,on_wind,planning,0.0,2021
AM,on_wind,planning,0.0,2021
AP,on_wind,planning,0.0,2021
BA,on_wind,planning,10556.5,2021
CE,on_wind,planning,2875.8,2021
DF,on_wind,planning,0.0,2021
ES,on_wind,planning,0.0,2021
GO,on_wind,planning,0.0,2021
MA,on_wind,planning,130.2,2021
MG,on_wind,planning,384.448,2021
MS,on_wind,planning,0.0,2021
MT,on_wind,planning,0.0,2021
PA,on_wind,planning,0.0,2021
PB,on_wind,planning,2331.3,2021
PE,on_wind,planning,529.5,2021
PI,on_wind,planning,2882.8,2021
PR,on_wind,planning,0.0,2021
RJ,on_wind,planning,0.0,2021
RN,on_wind,planning,3401.8,2021
RO,on_wind,planning,0.0,2021
RR,on_wind,planning,0.0,2021
RS,on_wind,planning,2137.32,2021
SC,on_wind,planning,0.0,2021
SE,on_wind,planning,0.0,2021
SP,on_wind,planning,0.0,2021
TO,on_wind,planning,0.0,2021
AC,small_hydro,operation,0.0,2021
AL,small_hydro,operation,0.0,2021
AM,small_hydro,operation,0.0,2021
AP,small_hydro,operation,0.0,2021
BA,small_hydro,operation,89.75,2021
CE,small_hydro,operation,0.0,2021
DF,small_hydro,operation,0.0,2021
ES,small_hydro,operation,231.96,2021
GO,small_hydro,operation,501.132,2021
MA,small_hydro,operation,0.0,2021
MG,small_hydro,operation,749.74717,2021
MS,small_hydro,operation,312.968,2021
MT,small_hydro,operation,1098.456,2021
PA,small_hydro,operation,60.0,2021
PB,small_hydro,operation,3.52,2021
PE,small_hydro,operation,13.475000000000001,2021
PI,small_hydro,operation,0.0,2021
PR,small_hydro,operation,496.7991,2021
RJ,small_hydro,operation,257.98199999999997,2021
RN,small_hydro,operation,4.7,2021
RO,small_hydro,operation,129.351,2021
RR,small_hydro,operation,0.0,2021
RS,small_hydro,operation,699.1233,2021
SC,small_hydro,operation,625.059,2021
SE,small_hydro,operation,0.0,2021
SP,small_hydro,operation,295.358,2021
TO,small_hydro,operation,188.764,2021
AC,small_hydro,planning,0.0,2021
AL,small_hydro,planning,0.0,2021
AM,small_hydro,planning,0.0,2021
AP,small_hydro,planning,7.5,2021
BA,small_hydro,planning,17.001,2021
CE,small_hydro,planning,0.0,2021
DF,small_hydro,planning,0.0,2021
ES,small_hydro,planning,8.0,2021
GO,small_hydro,planning,159.29,2021
MA,small_hydro,planning,0.0,2021
MG,small_hydro,planning,110.392,2021
MS,small_hydro,planning,32.0,2021
MT,small_hydro,planning,116.17,2021
PA,small_hydro,planning,0.0,2021
PB,small_hydro,planning,0.0,2021
PE,small_hydro,planning,0.0,2021
PI,small_hydro,planning,0.0,2021
PR,small_hydro,planning,210.89,2021
RJ,small_hydro,planning,23.594,2021
RN,small_hydro,planning,0.0,2021
RO,small_hydro,planning,73.8,2021
RR,small_hydro,planning,0.0,2021
RS,small_hydro,planning,203.91795,2021
SC,small_hydro,planning,293.7207,2021
SE,small_hydro,planning,0.0,2021
SP,small_hydro,planning,22.095,2021
TO,small_hydro,planning,5.5,2021
AC,solar_pv,operation,0.7152000000000001,2021
AL,solar_pv,operation,3.74,2021
AM,solar_pv,operation,1.21604,2021
