state,type,phase,year,capacity
SP,oil,operation,2043,26.933999999999997
SP,oil,operation,2044,10.0
SP,oil,operation,2053,75.56
SP,oil,operation,2054,58.16
SP,small_hydro,construction,2028,7.215
SP,small_hydro,construction,2030,8.09
SP,small_hydro,construction not started,2043,6.79
SP,small_hydro,operation,2015,15.0
SP,small_hydro,operation,2027,6.8
SP,small_hydro,operation,2028,4.87
SP,small_hydro,operation,2029,84.69
SP,small_hydro,operation,2030,3.88
SP,small_hydro,operation,2031,5.554
SP,small_hydro,operation,2032,10.7
SP,small_hydro,operation,2033,2.88
SP,small_hydro,operation,2035,2.16
SP,small_hydro,operation,2036,8.120000000000001
SP,small_hydro,operation,2043,10.5
SP,small_hydro,operation,2045,25.024
SP,small_hydro,operation,2047,22.68
SP,small_hydro,operation,2048,60.0
SP,solar_pv,construction,2056,33.21
SP,solar_pv,construction,2057,254.50542000000002
SP,solar_pv,operation,2030,30.0
SP,solar_pv,operation,2050,201.0
SP,solar_pv,operation,2051,46.08
SP,solar_pv,operation,2053,76.0
SP,solar_pv,operation,2054,498.48720000000003
TO,biomass,operation,2046,91.5
TO,hydro,operation,2035,902.5
TO,hydro,operation,2038,243.2
TO,hydro,operation,2042,498.75
TO,hydro,operation,2047,1087.0
TO,mini_hydro,construction,2058,4.4
TO,mini_hydro,operation,2052,7.3
TO,oil,operation,2042,8.02
TO,small_hydro,construction not started,2057,5.5
TO,small_hydro,operation,2030,10.32
TO,small_hydro,operation,2031,5.04
TO,small_hydro,operation,2034,80.9
TO,small_hydro,operation,2045,31.4
TO,small_hydro,operation,2047,14.04
TO,small_hydro,operation,2051,29.064
TO,small_hydro,operation,2052,10.0
TO,small_hydro,operation,2053,8.0
TO,solar_pv,operation,2051,5.0
