state,type,phase,value,reference_year
AC,biomass,operation,1.5,2020
AL,biomass,operation,317.462,2020
AM,biomass,operation,17.027,2020
AP,biomass,operation,1.7,2020
BA,biomass,operation,531.8,2020
CE,biomass,operation,0.0,2020
DF,biomass,operation,2.85,2020
ES,biomass,operation,310.7,2020
GO,biomass,operation,1260.868,2020
MA,biomass,operation,281.795,2020
MG,biomass,operation,2088.91885,2020
MS,biomass,operation,1855.242,2020
MT,biomass,operation,474.698,2020
PA,biomass,operation,111.2514,2020
PB,biomass,operation,101.5,2020
PE,biomass,operation,317.575,2020
PI,biomass,operation,23.5,2020
PR,biomass,operation,1186.7996,2020
RJ,biomass,operation,75.92999999999999,2020
RN,biomass,operation,61.0,2020
RO,biomass,operation,26.288,2020
RR,biomass,operation,80.286,2020
RS,biomass,operation,383.52139999999997,2020
SC,biomass,operation,278.7656,2020
SE,biomass,operation,59.7,2020
SP,biomass,operation,6878.0412,2020
TO,biomass,operation,91.5,2020
AC,biomass,planning,0.0,2020
AL,biomass,planning,0.0,2020
AM,biomass,planning,27.6,2020
AP,biomass,planning,2.835,2020
BA,biomass,planning,132.5,2020
CE,biomass,planning,0.0,2020
DF,biomass,planning,0.0,2020
ES,biomass,planning,0.0,2020
GO,biomass,planning,138.45,2020
MA,biomass,planning,10.75,2020
MG,biomass,planning,213.0,2020
MS,biomass,planning,782.565,2020
MT,biomass,planning,333.573,2020
PA,biomass,planning,30.869999999999997,2020
PB,biomass,planning,0.0,2020
PE,biomass,planning,0.0,2020
PI,biomass,planning,0.0,2020
PR,biomass,planning,0.0,2020
RJ,biomass,planning,8.466,2020
RN,biomass,planning,0.0,2020
RO,biomass,planning,0.0,2020
RR,biomass,planning,56.952,2020
RS,biomass,planning,62.09,2020
SC,biomass,planning,0.0,2020
SE,biomass,planning,0.0,2020
SP,biomass,planning,654.168,2020
TO,biomass,planning,0.0,2020
AC,coal,operation,0.0,2020
AL,coal,operation,0.0,2020
AM,coal,operation,0.0,2020
AP,coal,operation,0.0,2020
BA,coal,operation,0.0,2020
CE,coal,operation,1303.274,2020
DF,coal,operation,0.0,2020
ES,coal,operation,0.0,2020
GO,coal,operation,0.0,2020
MA,coal,operation,435.337,2020
MG,coal,operation,113.065,2020
MS,coal,operation,0.0,2020
MT,coal,operation,0.0,2020
PA,coal,operation,103.854,2020
PB,coal,operation,0.0,2020
PE,coal,operation,0.0,2020
PI,coal,operation,0.0,2020
PR,coal,operation,20.0,2020
RJ,coal,operation,21.0,2020
RN,coal,operation,0.0,2020
RO,coal,operation,0.0,2020
RR,coal,operation,0.0,2020
RS,coal,operation,695.0,2020
SC,coal,operation,745.0,2020
SE,coal,operation,0.0,2020
SP,coal,operation,24.4,2020
TO,coal,operation,0.0,2020
AC,gas,operation,0.0,2020
AL,gas,operation,6.8774999999999995,2020
AM,gas,operation,1069.519,2020
AP,gas,operation,0.0,2020
BA,gas,operation,459.71799999999996,2020
CE,gas,operation,238.374,2020
DF,gas,operation,0.0,2020
ES,gas,operation,593.566,2020
GO,gas,operation,0.0,2020
