state,type,phase,value,reference_year
AC,biomass,operation,1.5,2022
AL,biomass,operation,357.462,2022
AM,biomass,operation,17.027,2022
AP,biomass,operation,1.7,2022
BA,biomass,operation,537.8,2022
CE,biomass,operation,0.0,2022
DF,biomass,operation,2.85,2022
ES,biomass,operation,310.7,2022
GO,biomass,operation,1457.068,2022
MA,biomass,operation,281.795,2022
MG,biomass,operation,2088.91885,2022
MS,biomass,operation,1963.713,2022
MT,biomass,operation,555.143,2022
PA,biomass,operation,111.2514,2022
PB,biomass,operation,107.20400000000001,2022
PE,biomass,operation,317.575,2022
PI,biomass,operation,23.5,2022
PR,biomass,operation,1249.3996,2022
RJ,biomass,operation,75.92999999999999,2022
RN,biomass,operation,61.0,2022
RO,biomass,operation,27.567999999999998,2022
RR,biomass,operation,80.286,2022
RS,biomass,operation,395.80139999999994,2022
SC,biomass,operation,307.3656,2022
SE,biomass,operation,59.7,2022
SP,biomass,operation,6886.6412,2022
TO,biomass,operation,91.5,2022
AC,biomass,planning,0.0,2022
AL,biomass,planning,0.0,2022
AM,biomass,planning,27.6,2022
AP,biomass,planning,2.835,2022
BA,biomass,planning,132.5,2022
CE,biomass,planning,0.0,2022
DF,biomass,planning,0.0,2022
ES,biomass,planning,0.0,2022
GO,biomass,planning,138.45,2022
MA,biomass,planning,10.75,2022
MG,biomass,planning,213.0,2022
MS,biomass,planning,782.565,2022
MT,biomass,planning,333.573,2022
PA,biomass,planning,30.869999999999997,2022
PB,biomass,planning,0.0,2022
PE,biomass,planning,0.0,2022
PI,biomass,planning,0.0,2022
PR,biomass,planning,0.0,2022
RJ,biomass,planning,8.466,2022
RN,biomass,planning,0.0,2022
RO,biomass,planning,0.0,2022
RR,biomass,planning,56.952,2022
RS,biomass,planning,62.09,2022
SC,biomass,planning,0.0,2022
SE,biomass,planning,0.0,2022
SP,biomass,planning,654.168,2022
TO,biomass,planning,0.0,2022
AC,coal,operation,0.0,2022
AL,coal,operation,0.0,2022
AM,coal,operation,0.0,2022
AP,coal,operation,0.0,2022
BA,coal,operation,0.0,2022
CE,coal,operation,1303.274,2022
DF,coal,operation,0.0,2022
ES,coal,operation,0.0,2022
GO,coal,operation,0.0,2022
MA,coal,operation,435.337,2022
MG,coal,operation,113.065,2022
MS,coal,operation,0.0,2022
MT,coal,operation,0.0,2022
PA,coal,operation,103.854,2022
PB,coal,operation,0.0,2022
PE,coal,operation,0.0,2022
PI,coal,operation,0.0,2022
PR,coal,operation,20.0,2022
RJ,coal,operation,21.0,2022
RN,coal,operation,0.0,2022
RO,coal,operation,0.0,2022
RR,coal,operation,0.0,2022
RS,coal,operation,695.0,2022
SC,coal,operation,745.0,2022
SE,coal,operation,0.0,2022
SP,coal,operation,24.4,2022
TO,coal,operation,0.0,2022
AC,gas,operation,0.0,2022
AL,gas,operation,6.8774999999999995,2022
AM,gas,operation,1069.519,2022
AP,gas,operation,0.0,2022
BA,gas,operation,469.078,2022
CE,gas,operation,238.374,2022
DF,gas,operation,0.0,2022
ES,gas,operation,706.0060000000001,2022
GO,gas,operation,0.0,2022
MA,gas,operation,1210.864,2022
MG,gas,operation,506.6182,2022
