state,type,phase,value,reference_year
AC,biomass,operation,1.5,2014
AL,biomass,operation,317.462,2014
AM,biomass,operation,17.027,2014
AP,biomass,operation,1.7,2014
BA,biomass,operation,531.8,2014
CE,biomass,operation,0.0,2014
DF,biomass,operation,2.85,2014
ES,biomass,operation,277.7,2014
GO,biomass,operation,1192.368,2014
MA,biomass,operation,281.795,2014
MG,biomass,operation,1588.53885,2014
MS,biomass,operation,1460.462,2014
MT,biomass,operation,236.467,2014
PA,biomass,operation,71.2514,2014
PB,biomass,operation,71.0,2014
PE,biomass,operation,265.855,2014
PI,biomass,operation,23.5,2014
PR,biomass,operation,984.0176,2014
RJ,biomass,operation,58.998,2014
RN,biomass,operation,61.0,2014
RO,biomass,operation,26.288,2014
RR,biomass,operation,4.8,2014
RS,biomass,operation,338.5214,2014
SC,biomass,operation,264.4656,2014
SE,biomass,operation,59.7,2014
SP,biomass,operation,5838.3842,2014
TO,biomass,operation,80.0,2014
AC,biomass,planning,0.0,2014
AL,biomass,planning,0.0,2014
AM,biomass,planning,27.6,2014
AP,biomass,planning,2.835,2014
BA,biomass,planning,132.5,2014
CE,biomass,planning,0.0,2014
DF,biomass,planning,0.0,2014
ES,biomass,planning,0.0,2014
GO,biomass,planning,138.45,2014
MA,biomass,planning,10.75,2014
MG,biomass,planning,213.0,2014
MS,biomass,planning,782.565,2014
MT,biomass,planning,333.573,2014
PA,biomass,planning,30.869999999999997,2014
PB,biomass,planning,0.0,2014
PE,biomass,planning,0.0,2014
PI,biomass,planning,0.0,2014
PR,biomass,planning,0.0,2014
RJ,biomass,planning,8.466,2014
RN,biomass,planning,0.0,2014
RO,biomass,planning,0.0,2014
RR,biomass,planning,56.952,2014
RS,biomass,planning,62.09,2014
SC,biomass,planning,0.0,2014
SE,biomass,planning,0.0,2014
SP,biomass,planning,654.168,2014
TO,biomass,planning,0.0,2014
AC,coal,operation,0.0,2014
AL,coal,operation,0.0,2014
AM,coal,operation,0.0,2014
AP,coal,operation,0.0,2014
BA,coal,operation,0.0,2014
CE,coal,operation,1303.274,2014
DF,coal,operation,0.0,2014
ES,coal,operation,0.0,2014
GO,coal,operation,0.0,2014
MA,coal,operation,435.337,2014
MG,coal,operation,113.065,2014
MS,coal,operation,0.0,2014
MT,coal,operation,0.0,2014
PA,coal,operation,103.854,2014
PB,coal,operation,0.0,2014
PE,coal,operation,0.0,2014
PI,coal,operation,0.0,2014
PR,coal,operation,20.0,2014
RJ,coal,operation,21.0,2014
RN,coal,operation,0.0,2014
RO,coal,operation,0.0,2014
RR,coal,operation,0.0,2014
RS,coal,operation,350.0,2014
SC,coal,operation,745.0,2014
SE,coal,operation,0.0,2014
SP,coal,operation,24.4,2014
TO,coal,operation,0.0,2014
AC,gas,operation,0.0,2014
AL,gas,operation,6.8774999999999995,2014
AM,gas,operation,244.54700000000003,2014
AP,gas,operation,0.0,2014
BA,gas,operation,338.27,2014
CE,gas,operation,238.374,2014
DF,gas,operation,0.0,2014
ES,gas,operation,593.566,2014
GO,gas,operation,0.0,2014
MA,gas,operation,845.544,2014
MG,gas,operation,390.69820000000004,2014
MS,gas,operation,391.774,2014
MT,gas,operation,529.2,2014
PA,gas,operation,0.0,2014
PB,gas,operation,0.0,2014
PE,gas,operation,608.325,2014
PI,gas,operation,0.0,2014
PR,gas,operation,504.68899999999996,2014
RJ,gas,operation,5001.37594,2014
RN,gas,operation,328.66715,2014
RO,gas,operation,349.0,2014
RR,gas,operation,0.0,2014
RS,gas,operation,903.259,2014
SC,gas,operation,340.6052,2014
SE,gas,operation,8.4,2014
SP,gas,operation,987.5264,2014
TO,gas,operation,0.0,2014
AC,gas,planning,0.0,2014
AL,gas,planning,0.0,2014
AM,gas,planning,1059.012,2014
AP,gas,planning,0.0,2014
BA,gas,planning,0.0,2014
CE,gas,planning,0.0,2014
DF,gas,planning,0.0,2014
ES,gas,planning,0.0,2014
GO,gas,planning,0.0,2014
MA,gas,planning,0.0,2014
MG,gas,planning,0.0,2014
MS,gas,planning,0.0,2014
MT,gas,planning,354.57,2014
PA,gas,planning,2176.408,2014
PB,gas,planning,0.0,2014
PE,gas,planning,0.0,2014
PI,gas,planning,0.0,2014
PR,gas,planning,0.0,2014
RJ,gas,planning,1929.6999999999998,2014
RN,gas,planning,0.0,2014
RO,gas,planning,0.0,2014
RR,gas,planning,0.0,2014
RS,gas,planning,0.0,2014
SC,gas,planning,128.223,2014
SE,gas,planning,0.0,2014
SP,gas,planning,0.0,2014
TO,gas,planning,0.0,2014
AC,hydro,operation,0.0,2014
AL,hydro,operation,0.0,2014
AM,hydro,operation,274.71,2014
AP,hydro,operation,471.0,2014
BA,hydro,operation,692.6610000000001,2014
CE,hydro,operation,0.0,2014
DF,hydro,operation,0.0,2014
ES,hydro,operation,313.337,2014
GO,hydro,operation,3067.127,2014
MA,hydro,operation,0.0,2014
MG,hydro,operation,7547.647,2014
MS,hydro,operation,1617.5,2014
MT,hydro,operation,4313.45,2014
PA,hydro,operation,11626.050000000001,2014
PB,hydro,operation,0.0,2014
PE,hydro,operation,0.0,2014
PI,hydro,operation,0.0,2014
PR,hydro,operation,13829.903,2014
RJ,hydro,operation,799.087,2014
RN,hydro,operation,0.0,2014
RO,hydro,operation,7608.25,2014
RR,hydro,operation,0.0,2014
