state,type,phase,value,reference_year
AC,biomass,operation,1.5,2023
AL,biomass,operation,357.462,2023
AM,biomass,operation,17.027,2023
AP,biomass,operation,1.7,2023
BA,biomass,operation,537.8,2023
CE,biomass,operation,0.0,2023
DF,biomass,operation,2.85,2023
ES,biomass,operation,310.7,2023
GO,biomass,operation,1457.068,2023
MA,biomass,operation,281.795,2023
MG,biomass,operation,2096.50485,2023
MS,biomass,operation,1963.713,2023
MT,biomass,operation,555.143,2023
PA,biomass,operation,111.2514,2023
PB,biomass,operation,107.20400000000001,2023
PE,biomass,operation,317.575,2023
PI,biomass,operation,23.5,2023
PR,biomass,operation,1249.3996,2023
RJ,biomass,operation,75.92999999999999,2023
RN,biomass,operation,61.0,2023
RO,biomass,operation,27.567999999999998,2023
RR,biomass,operation,80.286,2023
RS,biomass,operation,395.80139999999994,2023
SC,biomass,operation,307.3656,2023
SE,biomass,operation,59.7,2023
SP,biomass,operation,6886.6412,2023
TO,biomass,operation,91.5,2023
AC,biomass,planning,0.0,2023
AL,biomass,planning,0.0,2023
AM,biomass,planning,27.6,2023
AP,biomass,planning,2.835,2023
BA,biomass,planning,132.5,2023
CE,biomass,planning,0.0,2023
DF,biomass,planning,0.0,2023
ES,biomass,planning,0.0,2023
GO,biomass,planning,138.45,2023
MA,biomass,planning,10.75,2023
MG,biomass,planning,213.0,2023
MS,biomass,planning,782.565,2023
MT,biomass,planning,333.573,2023
PA,biomass,planning,30.869999999999997,2023
PB,biomass,planning,0.0,2023
PE,biomass,planning,0.0,2023
PI,biomass,planning,0.0,2023
PR,biomass,planning,0.0,2023
RJ,biomass,planning,8.466,2023
RN,biomass,planning,0.0,2023
RO,biomass,planning,0.0,2023
RR,biomass,planning,56.952,2023
RS,biomass,planning,62.09,2023
SC,biomass,planning,0.0,2023
SE,biomass,planning,0.0,2023
SP,biomass,planning,654.168,2023
TO,biomass,planning,0.0,2023
AC,coal,operation,0.0,2023
AL,coal,operation,0.0,2023
AM,coal,operation,0.0,2023
AP,coal,operation,0.0,2023
BA,coal,operation,0.0,2023
CE,coal,operation,1303.274,2023
DF,coal,operation,0.0,2023
ES,coal,operation,0.0,2023
GO,coal,operation,0.0,2023
MA,coal,operation,435.337,2023
MG,coal,operation,113.065,2023
MS,coal,operation,0.0,2023
MT,coal,operation,0.0,2023
PA,coal,operation,103.854,2023
PB,coal,operation,0.0,2023
PE,coal,operation,0.0,2023
PI,coal,operation,0.0,2023
PR,coal,operation,20.0,2023
RJ,coal,operation,21.0,2023
RN,coal,operation,0.0,2023
RO,coal,operation,0.0,2023
RR,coal,operation,0.0,2023
RS,coal,operation,695.0,2023
SC,coal,operation,745.0,2023
SE,coal,operation,0.0,2023
SP,coal,operation,24.4,2023
TO,coal,operation,0.0,2023
AC,gas,operation,0.0,2023
AL,gas,operation,6.8774999999999995,2023
AM,gas,operation,1069.519,2023
AP,gas,operation,0.0,2023
BA,gas,operation,469.078,2023
CE,gas,operation,238.374,2023
DF,gas,operation,0.0,2023
ES,gas,operation,706.0060000000001,2023
GO,gas,operation,0.0,2023
MA,gas,operation,1210.864,2023
MG,gas,operation,506.6182,2023
MS,gas,operation,568.89,2023
MT,gas,operation,529.2,2023
PA,gas,operation,0.0,2023
PB,gas,operation,0.0,2023
PE,gas,operation,608.325,2023
PI,gas,operation,0.0,2023
PR,gas,operation,515.0079999999999,2023
RJ,gas,operation,7358.05594,2023
RN,gas,operation,328.66715,2023
RO,gas,operation,349.0,2023
RR,gas,operation,140.834,2023
RS,gas,operation,903.259,2023
SC,gas,operation,340.6052,2023
SE,gas,operation,1601.5990000000002,2023
SP,gas,operation,1113.7264,2023
TO,gas,operation,0.0,2023
AC,gas,planning,0.0,2023
AL,gas,planning,0.0,2023
AM,gas,planning,1059.012,2023
AP,gas,planning,0.0,2023
BA,gas,planning,0.0,2023
CE,gas,planning,0.0,2023
DF,gas,planning,0.0,2023
ES,gas,planning,0.0,2023
GO,gas,planning,0.0,2023
MA,gas,planning,0.0,2023
MG,gas,planning,0.0,2023
MS,gas,planning,0.0,2023
MT,gas,planning,354.57,2023
PA,gas,planning,2176.408,2023
PB,gas,planning,0.0,2023
PE,gas,planning,0.0,2023
PI,gas,planning,0.0,2023
PR,gas,planning,0.0,2023
RJ,gas,planning,1929.6999999999998,2023
RN,gas,planning,0.0,2023
RO,gas,planning,0.0,2023
RR,gas,planning,0.0,2023
RS,gas,planning,0.0,2023
SC,gas,planning,128.223,2023
SE,gas,planning,0.0,2023
SP,gas,planning,0.0,2023
TO,gas,planning,0.0,2023
AC,hydro,operation,0.0,2023
AL,hydro,operation,3562.0,2023
AM,hydro,operation,274.71,2023
AP,hydro,operation,549.0,2023
BA,hydro,operation,5672.569,2023
CE,hydro,operation,0.0,2023
DF,hydro,operation,30.0,2023
ES,hydro,operation,313.337,2023
GO,hydro,operation,4781.127,2023
MA,hydro,operation,0.0,2023
MG,hydro,operation,14177.041,2023
MS,hydro,operation,6612.7,2023
MT,hydro,operation,4397.45,2023
PA,hydro,operation,20203.85,2023
PB,hydro,operation,0.0,2023
PE,hydro,operation,1479.6,2023
PI,hydro,operation,237.3,2023
PR,hydro,operation,15930.271,2023
RJ,hydro,operation,1015.087,2023
RN,hydro,operation,0.0,2023
RO,hydro,operation,7608.25,2023
RR,hydro,operation,10.0,2023
RS,hydro,operation,2510.02,2023
SC,hydro,operation,5063.892,2023
SE,hydro,operation,0.0,2023
SP,hydro,operation,6015.869,2023
TO,hydro,operation,2731.45,2023
AC,hydro,planning,0.0,2023
AL,hydro,planning,0.0,2023
AM,hydro,planning,0.0,2023
AP,hydro,planning,0.0,2023
BA,hydro,planning,0.0,2023
CE,hydro,planning,0.0,2023
DF,hydro,planning,0.0,2023
ES,hydro,planning,0.0,2023
GO,hydro,planning,99.5,2023
MA,hydro,planning,0.0,2023
MG,hydro,planning,0.0,2023
MS,hydro,planning,0.0,2023
MT,hydro,planning,92.99799999999999,2023
PA,hydro,planning,0.0,2023
PB,hydro,planning,0.0,2023
PE,hydro,planning,0.0,2023
PI,hydro,planning,0.0,2023
PR,hydro,planning,62.0,2023
RJ,hydro,planning,150.0,2023
RN,hydro,planning,0.0,2023
RO,hydro,planning,0.0,2023
RR,hydro,planning,0.0,2023
RS,hydro,planning,0.0,2023
SC,hydro,planning,0.0,2023
SE,hydro,planning,0.0,2023
SP,hydro,planning,0.0,2023
TO,hydro,planning,0.0,2023
AC,mini_hydro,operation,0.0,2023
AL,mini_hydro,operation,3.0543,2023
AM,mini_hydro,operation,0.0,2023
AP,mini_hydro,operation,0.0,2023
BA,mini_hydro,operation,10.155100000000001,2023
CE,mini_hydro,operation,0.0,2023
DF,mini_hydro,operation,0.0,2023
ES,mini_hydro,operation,3.3715,2023
GO,mini_hydro,operation,11.75094,2023
MA,mini_hydro,operation,0.072,2023
MG,mini_hydro,operation,162.42913,2023
MS,mini_hydro,operation,17.31201,2023
MT,mini_hydro,operation,74.2362,2023
PA,mini_hydro,operation,3.05,2023
PB,mini_hydro,operation,0.0,2023
PE,mini_hydro,operation,12.19234,2023
PI,mini_hydro,operation,0.0,2023
PR,mini_hydro,operation,97.70447,2023
RJ,mini_hydro,operation,16.79554,2023
RN,mini_hydro,operation,0.0,2023
RO,mini_hydro,operation,30.09462,2023
RR,mini_hydro,operation,0.0,2023
RS,mini_hydro,operation,69.22195,2023
SC,mini_hydro,operation,260.04689,2023
SE,mini_hydro,operation,0.55,2023
SP,mini_hydro,operation,72.18332,2023
TO,mini_hydro,operation,19.419,2023
AC,mini_hydro,planning,0.0,2023
AL,mini_hydro,planning,0.0,2023
AM,mini_hydro,planning,0.0,2023
AP,mini_hydro,planning,0.0,2023
BA,mini_hydro,planning,0.0,2023
CE,mini_hydro,planning,0.0,2023
DF,mini_hydro,planning,0.0,2023
ES,mini_hydro,planning,0.0,2023
GO,mini_hydro,planning,0.0,2023
MA,mini_hydro,planning,0.0,2023
MG,mini_hydro,planning,4.6,2023
MS,mini_hydro,planning,0.0,2023
MT,mini_hydro,planning,0.0,2023
PA,mini_hydro,planning,0.0,2023
PB,mini_hydro,planning,0.0,2023
PE,mini_hydro,planning,0.0,2023
PI,mini_hydro,planning,0.0,2023
PR,mini_hydro,planning,0.0,2023
RJ,mini_hydro,planning,0.0,2023
RN,mini_hydro,planning,0.0,2023
RO,mini_hydro,planning,0.0,2023
RR,mini_hydro,planning,0.0,2023
RS,mini_hydro,planning,0.0,2023
SC,mini_hydro,planning,6.696,2023
SE,mini_hydro,planning,0.0,2023
SP,mini_hydro,planning,0.0,2023
TO,mini_hydro,planning,4.4,2023
AC,nuclear,operation,0.0,2023
AL,nuclear,operation,0.0,2023
AM,nuclear,operation,0.0,2023
AP,nuclear,operation,0.0,2023
BA,nuclear,operation,0.0,2023
CE,nuclear,operation,0.0,2023
DF,nuclear,operation,0.0,2023
ES,nuclear,operation,0.0,2023
GO,nuclear,operation,0.0,2023
MA,nuclear,operation,0.0,2023
MG,nuclear,operation,0.0,2023
MS,nuclear,operation,0.0,2023
MT,nuclear,operation,0.0,2023
PA,nuclear,operation,0.0,2023
PB,nuclear,operation,0.0,2023
PE,nuclear,operation,0.0,2023
PI,nuclear,operation,0.0,2023
PR,nuclear,operation,0.0,2023
RJ,nuclear,operation,1990.0,2023
RN,nuclear,operation,0.0,2023
RO,nuclear,operation,0.0,2023
RR,nuclear,operation,0.0,2023
RS,nuclear,operation,0.0,2023
SC,nuclear,operation,0.0,2023
SE,nuclear,operation,0.0,2023
SP,nuclear,operation,0.0,2023
TO,nuclear,operation,0.0,2023
AC,nuclear,planning,0.0,2023
AL,nuclear,planning,0.0,2023
AM,nuclear,planning,0.0,2023
AP,nuclear,planning,0.0,2023
BA,nuclear,planning,0.0,2023
CE,nuclear,planning,0.0,2023
DF,nuclear,planning,0.0,2023
ES,nuclear,planning,0.0,2023
GO,nuclear,planning,0.0,2023
MA,nuclear,planning,0.0,2023
MG,nuclear,planning,0.0,2023
MS,nuclear,planning,0.0,2023
MT,nuclear,planning,0.0,2023
PA,nuclear,planning,0.0,2023
PB,nuclear,planning,0.0,2023
PE,nuclear,planning,0.0,2023
PI,nuclear,planning,0.0,2023
PR,nuclear,planning,0.0,2023
RJ,nuclear,planning,1350.0,2023
RN,nuclear,planning,0.0,2023
RO,nuclear,planning,0.0,2023
RR,nuclear,planning,0.0,2023
RS,nuclear,planning,0.0,2023
SC,nuclear,planning,0.0,2023
SE,nuclear,planning,0.0,2023
SP,nuclear,planning,0.0,2023
TO,nuclear,planning,0.0,2023
AC,oil,operation,140.67,2023
AL,oil,operation,10.2636,2023
AM,oil,operation,730.4878,2023
AP,oil,operation,26.016,2023
BA,oil,operation,455.19190000000003,2023
CE,oil,operation,195.43910000000002,2023
DF,oil,operation,16.3584,2023
ES,oil,operation,569.5663999999999,2023
GO,oil,operation,395.88759,2023
MA,oil,operation,339.8066,2023
MG,oil,operation,323.43908,2023
MS,oil,operation,7.926,2023
MT,oil,operation,44.229,2023
PA,oil,operation,239.58675,2023
PB,oil,operation,521.4428,2023
PE,oil,operation,870.948,2023
PI,oil,operation,17.006,2023
PR,oil,operation,123.85475,2023
RJ,oil,operation,632.8854,2023
RN,oil,operation,134.89180000000002,2023
RO,oil,operation,133.322,2023
RR,oil,operation,381.9106,2023
RS,oil,operation,233.37120000000002,2023
SC,oil,operation,68.44456,2023
SE,oil,operation,32.4274,2023
SP,oil,operation,1558.57774,2023
TO,oil,operation,18.529,2023
AC,oil,planning,0.0,2023
AL,oil,planning,0.0,2023
AM,oil,planning,15.151,2023
AP,oil,planning,0.0,2023
BA,oil,planning,0.0,2023
CE,oil,planning,0.0,2023
DF,oil,planning,0.0,2023
ES,oil,planning,0.0,2023
GO,oil,planning,0.0,2023
MA,oil,planning,0.0,2023
MG,oil,planning,30.0,2023
MS,oil,planning,0.0,2023
MT,oil,planning,0.0,2023
PA,oil,planning,0.0,2023
PB,oil,planning,0.0,2023
PE,oil,planning,288.9,2023
PI,oil,planning,0.0,2023
PR,oil,planning,0.0,2023
RJ,oil,planning,0.0,2023
RN,oil,planning,0.0,2023
RO,oil,planning,0.0,2023
RR,oil,planning,0.0,2023
RS,oil,planning,0.0,2023
SC,oil,planning,0.0,2023
SE,oil,planning,0.0,2023
SP,oil,planning,0.0,2023
TO,oil,planning,0.0,2023
AC,on_wind,operation,0.0,2023
AL,on_wind,operation,0.0,2023
AM,on_wind,operation,0.0,2023
AP,on_wind,operation,0.0,2023
BA,on_wind,operation,9347.67064,2023
CE,on_wind,operation,2577.84,2023
DF,on_wind,operation,0.0,2023
ES,on_wind,operation,0.0,2023
GO,on_wind,operation,0.0,2023
MA,on_wind,operation,426.02250000000004,2023
MG,on_wind,operation,0.156,2023
MS,on_wind,operation,0.0,2023
MT,on_wind,operation,0.0,2023
PA,on_wind,operation,0.0,2023
PB,on_wind,operation,992.24,2023
PE,on_wind,operation,1088.365,2023
PI,on_wind,operation,4016.25,2023
PR,on_wind,operation,2.5,2023
RJ,on_wind,operation,28.05,2023
RN,on_wind,operation,9599.936,2023
RO,on_wind,operation,0.0,2023
RR,on_wind,operation,0.0,2023
RS,on_wind,operation,1835.89198,2023
SC,on_wind,operation,250.5995,2023
SE,on_wind,operation,34.5,2023
SP,on_wind,operation,0.00224,2023
TO,on_wind,operation,0.0,2023
AC,on_wind,planning,0.0,2023
AL,on_wind,planning,0.0,2023
AM,on_wind,planning,0.0,2023
AP,on_wind,planning,0.0,2023
BA,on_wind,planning,10556.5,2023
CE,on_wind,planning,2875.8,2023
DF,on_wind,planning,0.0,2023
ES,on_wind,planning,0.0,2023
GO,on_wind,planning,0.0,2023
MA,on_wind,planning,130.2,2023
MG,on_wind,planning,384.448,2023
MS,on_wind,planning,0.0,2023
MT,on_wind,planning,0.0,2023
PA,on_wind,planning,0.0,2023
PB,on_wind,planning,2331.3,2023
PE,on_wind,planning,529.5,2023
PI,on_wind,planning,2882.8,2023
PR,on_wind,planning,0.0,2023
RJ,on_wind,planning,0.0,2023
RN,on_wind,planning,3401.8,2023
RO,on_wind,planning,0.0,2023
RR,on_wind,planning,0.0,2023
RS,on_wind,planning,2137.32,2023
SC,on_wind,planning,0.0,2023
SE,on_wind,planning,0.0,2023
SP,on_wind,planning,0.0,2023
TO,on_wind,planning,0.0,2023
AC,small_hydro,operation,0.0,2023
AL,small_hydro,operation,0.0,2023
AM,small_hydro,operation,0.0,2023
AP,small_hydro,operation,0.0,2023
BA,small_hydro,operation,89.75,2023
CE,small_hydro,operation,0.0,2023
DF,small_hydro,operation,0.0,2023
ES,small_hydro,operation,231.96,2023
GO,small_hydro,operation,501.132,2023
MA,small_hydro,operation,0.0,2023
MG,small_hydro,operation,778.97917,2023
MS,small_hydro,operation,312.968,2023
MT,small_hydro,operation,1098.456,2023
PA,small_hydro,operation,60.0,2023
PB,small_hydro,operation,3.52,2023
PE,small_hydro,operation,13.475000000000001,2023
PI,small_hydro,operation,0.0,2023
PR,small_hydro,operation,504.7991,2023
RJ,small_hydro,operation,257.98199999999997,2023
RN,small_hydro,operation,4.7,2023
RO,small_hydro,operation,140.471,2023
RR,small_hydro,operation,0.0,2023
RS,small_hydro,operation,717.1393,2023
SC,small_hydro,operation,625.059,2023
SE,small_hydro,operation,0.0,2023
SP,small_hydro,operation,295.358,2023
TO,small_hydro,operation,188.764,2023
AC,small_hydro,planning,0.0,2023
AL,small_hydro,planning,0.0,2023
AM,small_hydro,planning,0.0,2023
AP,small_hydro,planning,7.5,2023
BA,small_hydro,planning,17.001,2023
CE,small_hydro,planning,0.0,2023
DF,small_hydro,planning,0.0,2023
ES,small_hydro,planning,8.0,2023
GO,small_hydro,planning,159.29,2023
MA,small_hydro,planning,0.0,2023
MG,small_hydro,planning,110.392,2023
MS,small_hydro,planning,32.0,2023
MT,small_hydro,planning,116.17,2023
PA,small_hydro,planning,0.0,2023
PB,small_hydro,planning,0.0,2023
PE,small_hydro,planning,0.0,2023
PI,small_hydro,planning,0.0,2023
PR,small_hydro,planning,210.89,2023
RJ,small_hydro,planning,23.594,2023
RN,small_hydro,planning,0.0,2023
RO,small_hydro,planning,73.8,2023
RR,small_hydro,planning,0.0,2023
RS,small_hydro,planning,203.91795,2023
SC,small_hydro,planning,293.7207,2023
SE,small_hydro,planning,0.0,2023
SP,small_hydro,planning,22.095,2023
TO,small_hydro,planning,5.5,2023
AC,solar_pv,operation,0.7152000000000001,2023
AL,solar_pv,operation,3.74,2023
AM,solar_pv,operation,1.21604,2023
AP,solar_pv,operation,4.0652,2023
BA,solar_pv,operation,2052.11135,2023
CE,solar_pv,operation,1251.606,2023
DF,solar_pv,operation,0.0,2023
ES,solar_pv,operation,14.88178,2023
GO,solar_pv,operation,10.4366,2023
MA,solar_pv,operation,2.43253,2023
MG,solar_pv,operation,4277.34368,2023
MS,solar_pv,operation,11.88798,2023
MT,solar_pv,operation,21.305780000000002,2023
PA,solar_pv,operation,16.76672,2023
PB,solar_pv,operation,463.5142,2023
PE,solar_pv,operation,1096.72763,2023
PI,solar_pv,operation,1514.65,2023
PR,solar_pv,operation,16.82131,2023
RJ,solar_pv,operation,5.3193,2023
RN,solar_pv,operation,1100.8116,2023
RO,solar_pv,operation,13.77048,2023
RR,solar_pv,operation,2.46,2023
RS,solar_pv,operation,30.38046,2023
SC,solar_pv,operation,16.06833,2023
SE,solar_pv,operation,0.8,2023
SP,solar_pv,operation,869.40482,2023
TO,solar_pv,operation,6.125,2023
AC,solar_pv,planning,0.0,2023
AL,solar_pv,planning,0.0,2023
AM,solar_pv,planning,0.0,2023
AP,solar_pv,planning,0.0,2023
BA,solar_pv,planning,350.0,2023
CE,solar_pv,planning,567.014,2023
DF,solar_pv,planning,0.0,2023
ES,solar_pv,planning,0.0,2023
GO,solar_pv,planning,0.0,2023
MA,solar_pv,planning,0.0,2023
MG,solar_pv,planning,3013.051,2023
MS,solar_pv,planning,0.0,2023
MT,solar_pv,planning,0.0,2023
PA,solar_pv,planning,0.0,2023
PB,solar_pv,planning,450.0,2023
PE,solar_pv,planning,173.915,2023
PI,solar_pv,planning,1540.4379999999999,2023
PR,solar_pv,planning,0.0,2023
RJ,solar_pv,planning,0.0,2023
RN,solar_pv,planning,647.63339,2023
RO,solar_pv,planning,0.0,2023
RR,solar_pv,planning,0.0,2023
RS,solar_pv,planning,0.0,2023
SC,solar_pv,planning,0.0,2023
SE,solar_pv,planning,0.0,2023
SP,solar_pv,planning,287.71542,2023
TO,solar_pv,planning,0.0,2023
