state,type,phase,value,reference_year
AC,biomass,operation,1.5,2015
AL,biomass,operation,317.462,2015
AM,biomass,operation,17.027,2015
AP,biomass,operation,1.7,2015
BA,biomass,operation,531.8,2015
CE,biomass,operation,0.0,2015
DF,biomass,operation,2.85,2015
ES,biomass,operation,277.7,2015
GO,biomass,operation,1232.368,2015
MA,biomass,operation,281.795,2015
MG,biomass,operation,1640.13885,2015
MS,biomass,operation,1460.462,2015
MT,biomass,operation,236.467,2015
PA,biomass,operation,91.2514,2015
PB,biomass,operation,71.0,2015
PE,biomass,operation,277.055,2015
PI,biomass,operation,23.5,2015
PR,biomass,operation,1027.0176,2015
RJ,biomass,operation,58.998,2015
RN,biomass,operation,61.0,2015
RO,biomass,operation,26.288,2015
RR,biomass,operation,4.8,2015
RS,biomass,operation,346.5214,2015
SC,biomass,operation,264.4656,2015
SE,biomass,operation,59.7,2015
SP,biomass,operation,5942.4372,2015
TO,biomass,operation,80.0,2015
AC,biomass,planning,0.0,2015
AL,biomass,planning,0.0,2015
AM,biomass,planning,27.6,2015
AP,biomass,planning,2.835,2015
BA,biomass,planning,132.5,2015
CE,biomass,planning,0.0,2015
DF,biomass,planning,0.0,2015
ES,biomass,planning,0.0,2015
GO,biomass,planning,138.45,2015
MA,biomass,planning,10.75,2015
MG,biomass,planning,213.0,2015
MS,biomass,planning,782.565,2015
MT,biomass,planning,333.573,2015
PA,biomass,planning,30.869999999999997,2015
PB,biomass,planning,0.0,2015
PE,biomass,planning,0.0,2015
PI,biomass,planning,0.0,2015
PR,biomass,planning,0.0,2015
RJ,biomass,planning,8.466,2015
RN,biomass,planning,0.0,2015
RO,biomass,planning,0.0,2015
RR,biomass,planning,56.952,2015
RS,biomass,planning,62.09,2015
SC,biomass,planning,0.0,2015
SE,biomass,planning,0.0,2015
SP,biomass,planning,654.168,2015
TO,biomass,planning,0.0,2015
AC,coal,operation,0.0,2015
AL,coal,operation,0.0,2015
AM,coal,operation,0.0,2015
AP,coal,operation,0.0,2015
BA,coal,operation,0.0,2015
CE,coal,operation,1303.274,2015
DF,coal,operation,0.0,2015
ES,coal,operation,0.0,2015
GO,coal,operation,0.0,2015
MA,coal,operation,435.337,2015
MG,coal,operation,113.065,2015
MS,coal,operation,0.0,2015
MT,coal,operation,0.0,2015
PA,coal,operation,103.854,2015
PB,coal,operation,0.0,2015
PE,coal,operation,0.0,2015
PI,coal,operation,0.0,2015
PR,coal,operation,20.0,2015
RJ,coal,operation,21.0,2015
RN,coal,operation,0.0,2015
RO,coal,operation,0.0,2015
RR,coal,operation,0.0,2015
RS,coal,operation,695.0,2015
SC,coal,operation,745.0,2015
SE,coal,operation,0.0,2015
SP,coal,operation,24.4,2015
TO,coal,operation,0.0,2015
AC,gas,operation,0.0,2015
AL,gas,operation,6.8774999999999995,2015
AM,gas,operation,244.54700000000003,2015
AP,gas,operation,0.0,2015
BA,gas,operation,394.256,2015
CE,gas,operation,238.374,2015
DF,gas,operation,0.0,2015
ES,gas,operation,593.566,2015
GO,gas,operation,0.0,2015
MA,gas,operation,845.544,2015
MG,gas,operation,390.69820000000004,2015
MS,gas,operation,391.774,2015
MT,gas,operation,529.2,2015
PA,gas,operation,0.0,2015
PB,gas,operation,0.0,2015
